awarding_agency_code,awarding_agency_name,AgencyID
1,NULL,NULL
2,NULL,NULL
3,LIBRARY OF CONGRESS (LOC),0300
4,NULL,NULL
5,GOVERNMENT ACCOUNTABILITY OFFICE (GAO),0559
10,NULL,NULL
12,DEPARTMENT OF AGRICULTURE (USDA),NULL
13,DEPARTMENT OF COMMERCE (DOC),NULL
14,DEPARTMENT OF THE INTERIOR (DOI),NULL
15,DEPARTMENT OF JUSTICE (DOJ),NULL
18,NULL,NULL
19,DEPARTMENT OF STATE (DOS),NULL
20,DEPARTMENT OF THE TREASURY (TREAS),NULL
23,NULL,NULL
24,OFFICE OF PERSONNEL MANAGEMENT (OPM),NULL
25,NULL,NULL
27,FEDERAL COMMUNICATIONS COMMISSION (FCC),2700
28,SOCIAL SECURITY ADMINISTRATION (SSA),NULL
29,FEDERAL TRADE COMMISSION (FTC),2900
31,NUCLEAR REGULATORY COMMISSION (NRC),NULL
34,INTERNATIONAL TRADE COMMISSION (USITC),3400
36,DEPARTMENT OF VETERANS AFFAIRS (VA),NULL
45,EQUAL EMPLOYMENT OPPORTUNITY COMMISSION (EEOC),4500
47,GENERAL SERVICES ADMINISTRATION (GSA),NULL
49,NATIONAL SCIENCE FOUNDATION (NSF),4900
50,SECURITIES AND EXCHANGE COMMISSION (SEC),5000
54,FEDERAL LABOR RELATIONS AUTHORITY (FLRA),5400
58,FEDERAL EMERGENCY MANAGEMENT AGENCY (FEMA),5800
60,RAILROAD RETIREMENT BOARD (RRB),6000
61,CONSUMER PRODUCT SAFETY COMMISSION (CPSC),6100
62,OFFICE OF SPECIAL COUNSEL (OSC),6201
65,FEDERAL MARITIME COMMISSION (FMC),NULL
68,ENVIRONMENTAL PROTECTION AGENCY (EPA),6800
69,DEPARTMENT OF TRANSPORTATION (DOT),NULL
70,DEPARTMENT OF HOMELAND SECURITY (DHS),NULL
71,OVERSEAS PRIVATE INVESTMENT CORPORATION (OPIC),7700
72,AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),NULL
73,SMALL BUSINESS ADMINISTRATION (SBA),7300
74,AMERICAN BATTLE MONUMENTS COMMISSION (ABMC),7400
75,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),NULL
77,U.S. INTERNATIONAL DEVELOPMENT FINANCE CORPORATION (DFC),7700
80,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000
83,EXPORT-IMPORT BANK OF THE UNITED STATES (EXIM),8300
84,ARMED FORCES RETIREMENT HOME (AFRH),8400
86,DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT (HUD),NULL
88,NATIONAL ARCHIVES AND RECORDS ADMINISTRATION (NARA),8800
89,DEPARTMENT OF ENERGY (DOE),NULL
90,SELECTIVE SERVICE SYSTEM (SSS),9000
91,DEPARTMENT OF EDUCATION (ED),NULL
93,FEDERAL MEDIATION AND CONCILIATION SERVICE (FMCS),9300
96,CORPS OF ENGINEERS - CIVIL WORKS (USACE),4730
97,DEPARTMENT OF DEFENSE (DOD),NULL
166,AFRICAN DEVELOPMENT FOUNDATION (EOP),1141
190,NULL,NULL
300,NULL,NULL
302,ADMINISTRATIVE CONFERENCE OF THE U.S. (ACUS),9515
306,NULL,NULL
310,NULL,NULL
323,NULL,NULL
326,COMMISSION ON CIVIL RIGHTS (USCCR),9517
338,COMMITTEE FOR PURCHASE FROM PEOPLE WHO ARE BLIND OR SEVERELY DISABLED (ABILITYONE),9518
339,COMMODITY FUTURES TRADING COMMISSION (CFTC),9507
347,DEFENSE NUCLEAR FACILITIES SAFETY BOARD (DNFSB),9516
349,DISTRICT OF COLUMBIA COURTS (DC COURTS),9534
360,FEDERAL ELECTION COMMISSION (FEC),9506
361,NULL,NULL
362,NULL,NULL
364,FEDERAL HOUSING FINANCE BOARD (FHFB),9540
368,FEDERAL MINE SAFETY AND HEALTH REVIEW COMMISSION (FMSHRC),9504
387,MARINE MAMMAL COMMISSION (MMC),9513
389,MERIT SYSTEMS PROTECTION BOARD (MSPB),4100
394,NATIONAL CAPITAL PLANNING COMMISSION (NCPC),9502
400,NATIONAL COMMISSION ON LIBRARIES & INFORMATION SCIENCE (NAN),NULL
417,NATIONAL ENDOWMENT FOR THE ARTS (NEA),5920
418,NATIONAL ENDOWMENT FOR THE HUMANITIES (NEH),NULL
420,NATIONAL LABOR RELATIONS BOARD (NLRB),6300
421,NATIONAL MEDIATION BOARD (NMB),NULL
424,NATIONAL TRANSPORTATION SAFETY BOARD (NTSB),9508
431,NUCLEAR WASTE TECHNICAL REVIEW BOARD (NWTRB),4856
432,OCCUPATIONAL SAFETY AND HEALTH REVIEW COMMISSION (OSHRC),9514
434,NULL,NULL
455,NULL,NULL
456,UNITED STATES HOLOCAUST MEMORIAL MUSEUM (USHMM),9531
471,NULL,NULL
472,NULL,NULL
474,INSTITUTE OF MUSEUM AND LIBRARY SERVICES (IMLS),5300
485,CORPORATION FOR NATIONAL AND COMMUNITY SERVICE (CNCS),9577
487,MORRIS K. UDALL AND STEWART L. UDALL FOUNDATION (UDALL),9545
500,NULL,NULL
501,NULL,NULL
510,UNITED STATES CHEMICAL SAFETY BOARD (CSB),9565
511,COURT SERVICES AND OFFENDER SUPERVISION AGENCY (CSOSA),NULL
513,NULL,NULL
514,BROADCASTING BOARD OF GOVERNORS (BBG),9568
524,MILLENNIUM CHALLENGE CORPORATION (MCC),9543
525,ELECTION ASSISTANCE COMMISSION (EAC),9523
535,NULL,NULL
