DepartmentID,AgencyID,ContractingOfficeCode,ContractingOfficeName,StartDate,EndDate,AddressLine1,AddressLine2,AddressLine3,AddressCity,AddressState,ZipCode,CountryCode,Depot,FISC,TFBSOrelated,CSIScreatedDate,CSISmodifieddDate,OCOcrisisScore,OCOcrisisPercent,CrisisPercent,PlaceIntlPercent
NULL,NULL,"  ",,2000-04-18 00:00:00.0000000,2007-06-05 00:00:00.0000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-09-27 10:14:56.3000000,2014-09-27 10:14:56.3000000,0,0.0000,0.0018,0.3566
NULL,12K2,*140,AMS-F&V,2009-08-26 00:00:00.0000000,2013-07-29 00:00:00.0000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-09-27 11:45:04.8770000,2014-09-27 11:45:04.8770000,NULL,NULL,NULL,NULL
NULL,12K2,*143,AMS-F&V DIV,2009-06-08 00:00:00.0000000,2013-09-25 00:00:00.0000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-09-27 11:45:04.8770000,2014-09-27 11:45:04.8770000,NULL,NULL,NULL,NULL
NULL,12K2,*153,AMS-F&V DIV-ECON ANALYSIS,2010-09-27 00:00:00.0000000,2013-09-11 00:00:00.0000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-09-27 11:45:04.8770000,2014-09-27 11:45:04.8770000,NULL,NULL,NULL,NULL
NULL,12K4,*249,FGIS,2009-12-28 00:00:00.0000000,2009-12-28 00:00:00.0000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-09-27 11:45:04.8770000,2014-09-27 11:45:04.8770000,NULL,NULL,NULL,NULL
NULL,12K2,*363,NULL,2012-11-27 00:00:00.0000000,2013-09-25 00:00:00.0000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-09-27 11:45:04.8770000,2014-09-27 11:45:04.8770000,NULL,NULL,NULL,NULL
NULL,12K2,*403,AMS-F&V DIV,2011-09-08 00:00:00.0000000,2011-09-08 00:00:00.0000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-09-27 11:45:04.8770000,2014-09-27 11:45:04.8770000,NULL,NULL,NULL,NULL
NULL,NULL,*419,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-12-23 17:00:56.8130000,2014-12-23 17:00:56.8130000,NULL,NULL,NULL,NULL
NULL,NULL,*441,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-12-23 17:00:56.8130000,2014-12-23 17:00:56.8130000,NULL,NULL,NULL,NULL
NULL,12K2,*476,AMS-L&S DIVISION,2012-09-14 00:00:00.0000000,2013-08-05 00:00:00.0000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-09-27 11:45:04.8770000,2014-09-27 11:45:04.8770000,NULL,NULL,NULL,NULL
