"Fiscal Year","Contracting Department ID","Contracting Department Name","Product or Service Code","Product or Service Description","Action Obligation","Actions"
"2001","1100","EXECUTIVE OFFICE OF THE PRESIDENT","2310","PASSENGER MOTOR VEHICLES","$39,000.00","1"
"2001","1100","EXECUTIVE OFFICE OF THE PRESIDENT","3610","PRINTING,DUPLICATING & BOOKBIND EQ","$487,000.00","7"
"2001","1100","EXECUTIVE OFFICE OF THE PRESIDENT","5805","TELEPHONE AND TELEGRAPH EQUIPMENT","$3,155,000.00","24"
"2001","1100","EXECUTIVE OFFICE OF THE PRESIDENT","5815","TELETYPE AND FACSIMILE EQUIPMENT","$51,000.00","1"
"2001","1100","EXECUTIVE OFFICE OF THE PRESIDENT","5895","MISC COMMUNICATION EQ","$307,000.00","2"
"2001","1100","EXECUTIVE OFFICE OF THE PRESIDENT","6145","WIRE AND CABLE, ELECTRICAL","$138,000.00","1"
"2001","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7010","ADPE SYSTEM CONFIGURATION","$3,933,000.00","31"
"2001","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7021","ADP CENTRAL PROCESSING UNIT-DIGITAL","$316,000.00","3"
"2001","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7025","ADP INPUT/OUTPUT & STORAGE DEVICES","$1,187,000.00","6"
"2001","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7030","ADP SOFTWARE","$2,150,000.00","16"
"2001","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7035","ADP SUPPORT EQUIPMENT","$70,000.00","1"
"2001","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7050","ADP COMPONENTS","$585,000.00","7"
"2001","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7105","HOUSEHOLD FURNITURE","$29,000.00","1"
"2001","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7110","OFFICE FURNITURE","$281,000.00","7"
"2001","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7125","CABINETS LOCKERS BINS & SHELVING","$35,000.00","1"
"2001","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7490","MISCELLANEOUS OFFICE MACHINES","$128,000.00","2"
"2001","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7520","OFFICE DEVICES AND ACCESSORIES","$154,000.00","2"
"2001","1100","EXECUTIVE OFFICE OF THE PRESIDENT","D301","ADP FACILITY MANAGEMENT","$3,676,000.00","21"
"2001","1100","EXECUTIVE OFFICE OF THE PRESIDENT","D304","ADP SVCS/TELECOMM & TRANSMISSION","$74,000.00","2"
"2001","1100","EXECUTIVE OFFICE OF THE PRESIDENT","D306","ADP SYSTEMS ANALYSIS SERVICES","$2,429,000.00","21"
"2001","1100","EXECUTIVE OFFICE OF THE PRESIDENT","D307","AUTOMATED INFORMATION SYSTEM SVCS","$30,000.00","1"
"2001","1100","EXECUTIVE OFFICE OF THE PRESIDENT","D308","PROGRAMMING SERVICES","$548,000.00","2"
"2001","1100","EXECUTIVE OFFICE OF THE PRESIDENT","D317","AUTO NEWS, DATA & OTHER SVCS","$2,238,000.00","21"
"2001","1100","EXECUTIVE OFFICE OF THE PRESIDENT","D399","OTHER ADP & TELECOMMUNICATIONS SVCS","$2,831,000.00","11"
"2001","1100","EXECUTIVE OFFICE OF THE PRESIDENT","J099","MAINT-REP OF MISC EQ","$33,000.00","1"
"2001","1100","EXECUTIVE OFFICE OF THE PRESIDENT","R603","TRANSCRIPTION SERVICES","$787,000.00","2"
