"Fiscal Year","Contracting Department ID","Contracting Department Name","Product or Service Code","Product or Service Description","Action Obligation","Actions"
"2005","0300","LIBRARY OF CONGRESS","7610","BOOKS AND PAMPHLETS","$0.00","9"
"2005","0300","LIBRARY OF CONGRESS","7630","NEWSPAPERS AND PERIODICALS","$0.00","7"
"2005","0300","LIBRARY OF CONGRESS","R612","INFORMATION RETRIEVAL","$0.00","7"
"2005","1100","EXECUTIVE OFFICE OF THE PRESIDENT","2310","PASSENGER MOTOR VEHICLES","$67,649.91","17"
"2005","1100","EXECUTIVE OFFICE OF THE PRESIDENT","2320","TRUCKS AND TRUCK TRACTORS, WHEELED","$91,976.36","2"
"2005","1100","EXECUTIVE OFFICE OF THE PRESIDENT","2590","MISCELLANEOUS VEHICULAR COMPONENTS","$6,950.00","1"
"2005","1100","EXECUTIVE OFFICE OF THE PRESIDENT","3610","PRINTING,DUPLICATING & BOOKBIND EQ","$321,685.26","21"
"2005","1100","EXECUTIVE OFFICE OF THE PRESIDENT","3990","MISC MATERIALS HANDLING EQ","$22,867.00","2"
"2005","1100","EXECUTIVE OFFICE OF THE PRESIDENT","4210","FIRE FIGHTING EQUIPMENT","$11,847.00","1"
"2005","1100","EXECUTIVE OFFICE OF THE PRESIDENT","5430","STORAGE TANKS","$2,462.19","1"
"2005","1100","EXECUTIVE OFFICE OF THE PRESIDENT","5450","MISC PREFABRICATED STRUCTURES","$19,207.00","1"
"2005","1100","EXECUTIVE OFFICE OF THE PRESIDENT","5805","TELEPHONE AND TELEGRAPH EQUIPMENT","$563,140.24","20"
"2005","1100","EXECUTIVE OFFICE OF THE PRESIDENT","5820","RADIO TV EQ EXCEPT AIRBORNE","$76,613.53","3"
"2005","1100","EXECUTIVE OFFICE OF THE PRESIDENT","5836","VIDEO RECORDING AND REPRODUCING EQU","$6,376.00","1"
"2005","1100","EXECUTIVE OFFICE OF THE PRESIDENT","5975","ELECTRICAL HARDWARE AND SUPPLIES","$500.00","2"
"2005","1100","EXECUTIVE OFFICE OF THE PRESIDENT","6015","FIBER OPTIC CABLES","$7,967.00","2"
"2005","1100","EXECUTIVE OFFICE OF THE PRESIDENT","6350","MISC ALARM, SIGNAL, SEC SYSTEMS","$120,452.80","2"
"2005","1100","EXECUTIVE OFFICE OF THE PRESIDENT","6530","HOSP FURNITURE,EQ,UTENSILS & SUP","$31,637.20","1"
"2005","1100","EXECUTIVE OFFICE OF THE PRESIDENT","6720","CAMERAS, STILL PICTURE","$39,142.00","1"
"2005","1100","EXECUTIVE OFFICE OF THE PRESIDENT","6760","PHOTOGRAPHIC EQ & ACCESSORIES","$51,115.15","2"
"2005","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7010","ADPE SYSTEM CONFIGURATION","$1,854,282.81","29"
"2005","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7025","ADP INPUT/OUTPUT & STORAGE DEVICES","$788,592.54","17"
"2005","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7030","ADP SOFTWARE","$3,358,980.96","77"
"2005","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7035","ADP SUPPORT EQUIPMENT","$364,414.31","14"
"2005","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7045","ADP SUPPLIES","$470,324.00","6"
"2005","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7050","ADP COMPONENTS","$3,128,997.34","38"
"2005","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7110","OFFICE FURNITURE","$524,384.94","39"
"2005","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7125","CABINETS LOCKERS BINS & SHELVING","$7,601.25","2"
"2005","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7230","DRAPERIES, AWNINGS, AND SHADES","$50,114.00","5"
"2005","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7290","MSC HOUSEHOLD FURNISHINGS APPLIANCE","$3,324.34","1"
"2005","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7435","OFFICE INFORMATION SYSTEM EQUIPMENT","$3,605.00","1"
"2005","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7460","VISIBLE RECORD EQUIPMENT","$60,837.80","4"
"2005","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7490","MISCELLANEOUS OFFICE MACHINES","$72,463.61","7"
