"Fiscal Year","Contracting Department ID","Contracting Department Name","Product or Service Code","Product or Service Description","Action Obligation","Actions"
"1997","0300","LIBRARY OF CONGRESS","7630","NEWSPAPERS AND PERIODICALS","$0.00","1"
"1997","1100","EXECUTIVE OFFICE OF THE PRESIDENT","3610","PRINTING,DUPLICATING & BOOKBIND EQ","$189,000.00","4"
"1997","1100","EXECUTIVE OFFICE OF THE PRESIDENT","5805","TELEPHONE AND TELEGRAPH EQUIPMENT","$1,777,000.00","13"
"1997","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7010","ADPE SYSTEM CONFIGURATION","$1,058,000.00","16"
"1997","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7021","ADP CENTRAL PROCESSING UNIT-DIGITAL","$125,000.00","3"
"1997","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7025","ADP INPUT/OUTPUT & STORAGE DEVICES","$114,000.00","2"
"1997","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7030","ADP SOFTWARE","$456,000.00","7"
"1997","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7050","ADP COMPONENTS","$26,000.00","1"
"1997","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7540","STANDARD FORMS","$221,000.00","3"
"1997","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7610","BOOKS AND PAMPHLETS","$31,000.00","1"
"1997","1100","EXECUTIVE OFFICE OF THE PRESIDENT","B599","OTHER SPECIAL STUDIES AND ANALYSES","$916,000.00","1"
"1997","1100","EXECUTIVE OFFICE OF THE PRESIDENT","C212","ENGINEERING DRAFTING SERVICES","$43,000.00","1"
"1997","1100","EXECUTIVE OFFICE OF THE PRESIDENT","D301","ADP FACILITY MANAGEMENT","$8,897,000.00","29"
"1997","1100","EXECUTIVE OFFICE OF THE PRESIDENT","D302","ADP SYSTEMS DEVELOPMENT SERVICES","$1,075,000.00","15"
"1997","1100","EXECUTIVE OFFICE OF THE PRESIDENT","D304","ADP SVCS/TELECOMM & TRANSMISSION","$719,000.00","6"
"1997","1100","EXECUTIVE OFFICE OF THE PRESIDENT","D306","ADP SYSTEMS ANALYSIS SERVICES","$939,000.00","10"
"1997","1100","EXECUTIVE OFFICE OF THE PRESIDENT","D308","PROGRAMMING SERVICES","-$90,000.00","1"
