"Fiscal Year","Contracting Department ID","Contracting Department Name","Product or Service Code","Product or Service Description","Action Obligation","Actions"
"1996","0300","LIBRARY OF CONGRESS","D317","AUTO NEWS, DATA & OTHER SVCS","$0.00","2"
"1996","1100","EXECUTIVE OFFICE OF THE PRESIDENT","3610","PRINTING,DUPLICATING & BOOKBIND EQ","$241,000.00","3"
"1996","1100","EXECUTIVE OFFICE OF THE PRESIDENT","5805","TELEPHONE AND TELEGRAPH EQUIPMENT","$1,857,000.00","10"
"1996","1100","EXECUTIVE OFFICE OF THE PRESIDENT","5820","RADIO TV EQ EXCEPT AIRBORNE","$53,000.00","1"
"1996","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7010","ADPE SYSTEM CONFIGURATION","$1,472,000.00","17"
"1996","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7020","ADP CENTRAL PROCESSING UNIT-ANALOG","$235,000.00","2"
"1996","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7021","ADP CENTRAL PROCESSING UNIT-DIGITAL","$701,000.00","3"
"1996","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7030","ADP SOFTWARE","$741,000.00","13"
"1996","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7035","ADP SUPPORT EQUIPMENT","$28,000.00","1"
"1996","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7042","MINI & MICRO COMPUTER CONT DEVICES","$151,000.00","4"
"1996","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7050","ADP COMPONENTS","$541,000.00","8"
"1996","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7110","OFFICE FURNITURE","$246,000.00","3"
"1996","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7450","OFFICE SOUND RECORDING REPRO MACH","$39,000.00","1"
"1996","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7540","STANDARD FORMS","$168,000.00","3"
"1996","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7610","BOOKS AND PAMPHLETS","$49,000.00","1"
"1996","1100","EXECUTIVE OFFICE OF THE PRESIDENT","D301","ADP FACILITY MANAGEMENT","$6,899,000.00","24"
