"Fiscal Year","Contracting Department ID","Contracting Department Name","Product or Service Code","Product or Service Description","Action Obligation","Actions"
"2012","0300","LIBRARY OF CONGRESS","R612","SUPPORT- ADMINISTRATIVE: INFORMATION RETRIEVAL","$0.00","10"
"2012","0500","GENERAL ACCOUNTING OFFICE","5340","HARDWARE, COMMERCIAL","$122,071.50","2"
"2012","0500","GENERAL ACCOUNTING OFFICE","5820","RADIO AND TELEVISION COMMUNICATION EQUIPMENT, EXCEPT AIRBORNE","-$0.01","1"
"2012","0500","GENERAL ACCOUNTING OFFICE","5995","CABLE, CORD, AND WIRE ASSEMBLIES: COMMUNICATION EQUIPMENT","$14,069.54","1"
"2012","0500","GENERAL ACCOUNTING OFFICE","6350","MISCELLANEOUS ALARM, SIGNAL, AND SECURITY DETECTION SYSTEMS","$1,837,150.98","5"
"2012","0500","GENERAL ACCOUNTING OFFICE","6910","TRAINING AIDS","$297,395.68","4"
"2012","0500","GENERAL ACCOUNTING OFFICE","7030","ADP SOFTWARE","$537,042.09","7"
"2012","0500","GENERAL ACCOUNTING OFFICE","7042","MINI AND MICRO COMPUTER CONTROL DEVICES","$120,335.49","2"
"2012","0500","GENERAL ACCOUNTING OFFICE","7125","CABINETS, LOCKERS, BINS, AND SHELVING","$0.00","1"
"2012","0500","GENERAL ACCOUNTING OFFICE","7435","OFFICE INFORMATION SYSTEM EQUIPMENT","$83,000.00","1"
"2012","0500","GENERAL ACCOUNTING OFFICE","7490","MISCELLANEOUS OFFICE MACHINES","-$1,929.09","1"
"2012","0500","GENERAL ACCOUNTING OFFICE","7510","OFFICE SUPPLIES","$298,990.61","6"
"2012","0500","GENERAL ACCOUNTING OFFICE","7520","OFFICE DEVICES AND ACCESSORIES","$250,000.00","3"
"2012","0500","GENERAL ACCOUNTING OFFICE","7610","BOOKS AND PAMPHLETS","$216,720.57","5"
"2012","0500","GENERAL ACCOUNTING OFFICE","7630","NEWSPAPERS AND PERIODICALS","$29,698.00","2"
"2012","0500","GENERAL ACCOUNTING OFFICE","7670","MICROFILM, PROCESSED","$138,718.67","1"
"2012","0500","GENERAL ACCOUNTING OFFICE","AD21","R&D- DEFENSE OTHER: SERVICES (BASIC RESEARCH)","$8,368,880.60","20"
"2012","0500","GENERAL ACCOUNTING OFFICE","AD26","R&D- DEFENSE OTHER: SERVICES (MANAGEMENT/SUPPORT)","-$39,997.30","1"
"2012","0500","GENERAL ACCOUNTING OFFICE","AF15","R&D- EDUCATION: EDUCATIONAL (OPERATIONAL SYSTEMS DEVELOPMENT)","$233,193.24","3"
"2012","0500","GENERAL ACCOUNTING OFFICE","B504","SPECIAL STUDIES/ANALYSIS- CHEMICAL/BIOLOGICAL","$2,655.65","7"
"2012","0500","GENERAL ACCOUNTING OFFICE","B506","SPECIAL STUDIES/ANALYSIS- DATA (OTHER THAN SCIENTIFIC)","$51,868.58","3"
"2012","0500","GENERAL ACCOUNTING OFFICE","B507","SPECIAL STUDIES/ANALYSIS- ECONOMIC","$10,000.00","1"
"2012","0500","GENERAL ACCOUNTING OFFICE","B524","SPECIAL STUDIES/ANALYSIS- MATHEMATICAL/STATISTICAL","$14,452.93","3"
"2012","0500","GENERAL ACCOUNTING OFFICE","B529","SPECIAL STUDIES/ANALYSIS- SCIENTIFIC DATA","$133,365.00","5"
"2012","0500","GENERAL ACCOUNTING OFFICE","B546","SPECIAL STUDIES/ANALYSIS- SECURITY (PHYSICAL/PERSONAL)","$1,139,078.58","3"
"2012","0500","GENERAL ACCOUNTING OFFICE","C111","BLDGS & FAC / ADMIN & SVC BLDGS","$632,250.74","3"
"2012","0500","GENERAL ACCOUNTING OFFICE","D301","IT AND TELECOM- FACILITY OPERATION AND MAINTENANCE","$64,827.33","3"
"2012","0500","GENERAL ACCOUNTING OFFICE","D307","IT AND TELECOM- IT STRATEGY AND ARCHITECTURE","-$5,421.74","2"
"2012","0500","GENERAL ACCOUNTING OFFICE","D308","IT AND TELECOM- PROGRAMMING","$975,748.69","2"
"2012","0500","GENERAL ACCOUNTING OFFICE","D313","IT AND TELECOM- COMPUTER AIDED DESIGN/COMPUTER AIDED MANUFACTURING (CAD/CAM)","$99,900.20","1"
"2012","0500","GENERAL ACCOUNTING OFFICE","D316","IT AND TELECOM- TELECOMMUNICATIONS NETWORK MANAGEMENT","-$56,376.83","2"
"2012","0500","GENERAL ACCOUNTING OFFICE","D317","IT AND TELECOM- WEB-BASED SUBSCRIPTION","$676,177.00","10"
"2012","0500","GENERAL ACCOUNTING OFFICE","D318","IT AND TELECOM- INTEGRATED HARDWARE/SOFTWARE/SERVICES SOLUTIONS, PREDOMINANTLY SERVICES","$128,650.00","3"
"2012","0500","GENERAL ACCOUNTING OFFICE","D399","IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS","-$500,076.61","3"
"2012","0500","GENERAL ACCOUNTING OFFICE","F999","OTHER ENVIRONMENTAL SERVICES","-$311,193.32","2"
"2012","0500","GENERAL ACCOUNTING OFFICE","G099","SOCIAL- OTHER","$10,078.96","1"
"2012","0500","GENERAL ACCOUNTING OFFICE","H176","QUALITY CONTROL- BOOKS, MAPS, AND OTHER PUBLICATIONS","-$40.11","1"
"2012","0500","GENERAL ACCOUNTING OFFICE","H270","EQUIPMENT AND MATERIALS TESTING- ADP EQUIPMENT/SOFTWARE/SUPPLIES/SUPPORT EQUIPMENT","$18,400.00","1"
