"Fiscal Year","Contracting Department ID","Contracting Department Name","Product or Service Code","Product or Service Description","Action Obligation","Actions"
"2010","0300","LIBRARY OF CONGRESS","7610","BOOKS AND PAMPHLETS","$0.00","29"
"2010","0300","LIBRARY OF CONGRESS","R605","LIBRARY SERVICES","$0.00","5"
"2010","0300","LIBRARY OF CONGRESS","R612","INFORMATION RETRIEVAL","$5,500.00","9"
"2010","0500","GENERAL ACCOUNTING OFFICE","5340","HARDWARE","$112,085.10","1"
"2010","0500","GENERAL ACCOUNTING OFFICE","7125","CABINETS LOCKERS BINS & SHELVING","$0.00","1"
"2010","0500","GENERAL ACCOUNTING OFFICE","7490","MISCELLANEOUS OFFICE MACHINES","$31,832.34","1"
"2010","0500","GENERAL ACCOUNTING OFFICE","B504","STUDY/CHEMICAL-BIOLOGICAL","$85,000.00","1"
"2010","0500","GENERAL ACCOUNTING OFFICE","D309","ADP INF, BROADCAST & DIST SVCS","$18,000.00","1"
"2010","0500","GENERAL ACCOUNTING OFFICE","D399","OTHER ADP & TELECOMMUNICATIONS SVCS","-$363,875.56","1"
"2010","0500","GENERAL ACCOUNTING OFFICE","J036","MAINT-REP OF SP INDUSTRY MACHINERY","$0.00","1"
"2010","0500","GENERAL ACCOUNTING OFFICE","R408","PROGRAM MANAGEMENT/SUPPORT SERVICES","$0.00","1"
"2010","0500","GENERAL ACCOUNTING OFFICE","R499","OTHER PROFESSIONAL SERVICES","$2,000.00","2"
"2010","0500","GENERAL ACCOUNTING OFFICE","R602","COURIER AND MESSENGER SERVICES","$44,300.00","2"
"2010","0500","GENERAL ACCOUNTING OFFICE","R611","CREDIT REPORTING SERVICES","$0.00","1"
"2010","0500","GENERAL ACCOUNTING OFFICE","R699","OTHER ADMINISTRATIVE SUPPORT SVCS","$0.00","1"
"2010","0500","GENERAL ACCOUNTING OFFICE","S201","CUSTODIAL JANITORIAL SERVICES","$4,895.00","1"
"2010","0500","GENERAL ACCOUNTING OFFICE","T001","ARTS/GRAPHICS SERVICES","$519,168.00","1"
"2010","1100","EXECUTIVE OFFICE OF THE PRESIDENT","2310","PASSENGER MOTOR VEHICLES","$602,262.75","25"
"2010","1100","EXECUTIVE OFFICE OF THE PRESIDENT","2320","TRUCKS AND TRUCK TRACTORS, WHEELED","$11,778.18","4"
"2010","1100","EXECUTIVE OFFICE OF THE PRESIDENT","3610","PRINTING,DUPLICATING & BOOKBIND EQ","$87,971.99","15"
"2010","1100","EXECUTIVE OFFICE OF THE PRESIDENT","3693","INDUSTRIAL ASSEMBLY MACHINES","$8,532.00","1"
"2010","1100","EXECUTIVE OFFICE OF THE PRESIDENT","4940","MISC MAINT EQ","$18,300.00","3"
"2010","1100","EXECUTIVE OFFICE OF THE PRESIDENT","5805","TELEPHONE AND TELEGRAPH EQUIPMENT","$315,944.76","3"
"2010","1100","EXECUTIVE OFFICE OF THE PRESIDENT","5810","COMM SECURITY EQ & COMPS","$36,167.00","1"
"2010","1100","EXECUTIVE OFFICE OF THE PRESIDENT","5930","SWITCHES","$6,000.00","1"
"2010","1100","EXECUTIVE OFFICE OF THE PRESIDENT","5975","ELECTRICAL HARDWARE AND SUPPLIES","-$258.26","1"
"2010","1100","EXECUTIVE OFFICE OF THE PRESIDENT","6350","MISC ALARM, SIGNAL, SEC SYSTEMS","$42,612.00","5"
"2010","1100","EXECUTIVE OFFICE OF THE PRESIDENT","6740","PHOTO DEVELOPLNG & FINISHING EQ","$8,795.00","1"
"2010","1100","EXECUTIVE OFFICE OF THE PRESIDENT","6910","TRAINING AIDS","$7,065.23","1"
"2010","1100","EXECUTIVE OFFICE OF THE PRESIDENT","6940","COMMUNICATION TRAINING DEVICES","$4,090.80","1"
"2010","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7010","ADPE SYSTEM CONFIGURATION","$860,717.48","7"
