"Fiscal Year","Contracting Department ID","Contracting Department Name","Product or Service Code","Product or Service Description","Action Obligation","Actions"
"2006","0300","LIBRARY OF CONGRESS","7630","NEWSPAPERS AND PERIODICALS","$0.00","4"
"2006","0300","LIBRARY OF CONGRESS","R612","INFORMATION RETRIEVAL","$0.00","4"
"2006","1100","EXECUTIVE OFFICE OF THE PRESIDENT","2310","PASSENGER MOTOR VEHICLES","$70,284.47","18"
"2006","1100","EXECUTIVE OFFICE OF THE PRESIDENT","2320","TRUCKS AND TRUCK TRACTORS, WHEELED","$57,947.70","3"
"2006","1100","EXECUTIVE OFFICE OF THE PRESIDENT","3610","PRINTING,DUPLICATING & BOOKBIND EQ","$388,422.47","19"
"2006","1100","EXECUTIVE OFFICE OF THE PRESIDENT","3685","SPECIAL METAL CONTAINER MFG MACH","$29,611.50","2"
"2006","1100","EXECUTIVE OFFICE OF THE PRESIDENT","3695","MISC SPECIAL INDUSTRY MACHINE","$13,554.04","1"
"2006","1100","EXECUTIVE OFFICE OF THE PRESIDENT","3990","MISC MATERIALS HANDLING EQ","$7,493.50","1"
"2006","1100","EXECUTIVE OFFICE OF THE PRESIDENT","5410","PREFABRICATED & PORTABLE BUILDINGS","$4,993.00","1"
"2006","1100","EXECUTIVE OFFICE OF THE PRESIDENT","5805","TELEPHONE AND TELEGRAPH EQUIPMENT","$15,335.26","4"
"2006","1100","EXECUTIVE OFFICE OF THE PRESIDENT","5810","COMM SECURITY EQ & COMPS","$36,342.90","1"
"2006","1100","EXECUTIVE OFFICE OF THE PRESIDENT","5815","TELETYPE AND FACSIMILE EQUIPMENT","$318,798.00","7"
"2006","1100","EXECUTIVE OFFICE OF THE PRESIDENT","5820","RADIO TV EQ EXCEPT AIRBORNE","$8,000.00","1"
"2006","1100","EXECUTIVE OFFICE OF THE PRESIDENT","5999","MSC ELECT & ELECTRONIC COMPONENTS","$11,060.82","1"
"2006","1100","EXECUTIVE OFFICE OF THE PRESIDENT","6350","MISC ALARM, SIGNAL, SEC SYSTEMS","$30,156.00","1"
"2006","1100","EXECUTIVE OFFICE OF THE PRESIDENT","6645","TIME MEASURING INSTRUMENTS","$4,620.00","1"
"2006","1100","EXECUTIVE OFFICE OF THE PRESIDENT","6720","CAMERAS, STILL PICTURE","$61,743.00","3"
"2006","1100","EXECUTIVE OFFICE OF THE PRESIDENT","6730","PHOTOGRAPHIC PROJECTION EQUIPMENT","$18,472.25","1"
