"Fiscal Year","Contracting Department ID","Contracting Department Name","Product or Service Code","Product or Service Description","Action Obligation","Actions"
"1993","1100","EXECUTIVE OFFICE OF THE PRESIDENT","5805","TELEPHONE AND TELEGRAPH EQUIPMENT","$489,000.00","3"
"1993","1100","EXECUTIVE OFFICE OF THE PRESIDENT","6099","MISC FIBER OPTIC COMPONENTS","$48,000.00","1"
"1993","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7010","ADPE SYSTEM CONFIGURATION","$95,000.00","1"
"1993","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7021","ADP CENTRAL PROCESSING UNIT-DIGITAL","$108,000.00","4"
"1993","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7025","ADP INPUT/OUTPUT & STORAGE DEVICES","$45,000.00","2"
"1993","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7030","ADP SOFTWARE","$274,000.00","6"
"1993","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7035","ADP SUPPORT EQUIPMENT","$66,000.00","2"
"1993","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7450","OFFICE SOUND RECORDING REPRO MACH","$26,000.00","1"
"1993","1100","EXECUTIVE OFFICE OF THE PRESIDENT","9999","MISCELLANEOUS ITEMS","$58,000.00","1"
"1993","1100","EXECUTIVE OFFICE OF THE PRESIDENT","B548","TRADE ISSUE STUDIES","$483,000.00","2"
"1993","1100","EXECUTIVE OFFICE OF THE PRESIDENT","D301","ADP FACILITY MANAGEMENT","$3,998,000.00","8"
"1993","1100","EXECUTIVE OFFICE OF THE PRESIDENT","D302","ADP SYSTEMS DEVELOPMENT SERVICES","$933,000.00","17"
"1993","1100","EXECUTIVE OFFICE OF THE PRESIDENT","D306","ADP SYSTEMS ANALYSIS SERVICES","$300,000.00","1"
"1993","1100","EXECUTIVE OFFICE OF THE PRESIDENT","D310","ADP BACKUP AND SECURITY SERVICES","$123,000.00","1"
"1993","1100","EXECUTIVE OFFICE OF THE PRESIDENT","D314","ADP ACQUISITION SUP SVCS","$60,000.00","1"
"1993","1100","EXECUTIVE OFFICE OF THE PRESIDENT","D317","AUTO NEWS, DATA & OTHER SVCS","$320,000.00","5"
"1993","1100","EXECUTIVE OFFICE OF THE PRESIDENT","D399","OTHER ADP & TELECOMMUNICATIONS SVCS","$32,000.00","1"
"1993","1100","EXECUTIVE OFFICE OF THE PRESIDENT","J070","MAINT-REP OF ADP EQ & SUPPLIES","$975,000.00","5"
"1993","1100","EXECUTIVE OFFICE OF THE PRESIDENT","R406","POLICY REVIEW/DEVELOPMENT SERVICES","$2,341,000.00","7"
"1993","1100","EXECUTIVE OFFICE OF THE PRESIDENT","R408","PROGRAM MANAGEMENT/SUPPORT SERVICES","$97,000.00","2"
"1993","1100","EXECUTIVE OFFICE OF THE PRESIDENT","R415","PROF SVCS/TECH SHARING-UTIL","-$33,000.00","1"
"1993","1100","EXECUTIVE OFFICE OF THE PRESIDENT","R499","OTHER PROFESSIONAL SERVICES","$11,000.00","1"
"1993","1100","EXECUTIVE OFFICE OF THE PRESIDENT","W070","LEASE-RENT OF ADP EQ & SUPPLIES","$200,000.00","3"
"1993","1100","EXECUTIVE OFFICE OF THE PRESIDENT","W074","LEASE-RENT OF OFFICE MACHINES","$334,000.00","6"
"1993","1100","EXECUTIVE OFFICE OF THE PRESIDENT","W099","LEASE-RENT OF MISC EQ","$33,000.00","1"
"1993","1100","EXECUTIVE OFFICE OF THE PRESIDENT","X112","LEASE-RENT OF CONF SPACE & FAC","$27,000.00","1"
"1993","1100","EXECUTIVE OFFICE OF THE PRESIDENT","Z249","MAINT-REP-ALT/OTHER UTILITIES","$27,000.00","1"
"1993","1145","PEACE CORPS","2310","PASSENGER MOTOR VEHICLES","$236,000.00","6"
"1993","1145","PEACE CORPS","2340","MOTORCYCLE,MOTOR SCOOTERS & BIKES","$37,000.00","1"
"1993","1145","PEACE CORPS","5895","MISC COMMUNICATION EQ","$32,000.00","1"
"1993","1145","PEACE CORPS","6115","GENERATORS & GENERATOR SETS ELECT","$30,000.00","1"
"1993","1145","PEACE CORPS","7030","ADP SOFTWARE","$221,000.00","3"
"1993","1145","PEACE CORPS","7490","MISCELLANEOUS OFFICE MACHINES","$82,000.00","1"
