"Fiscal Year","Contracting Department ID","Contracting Department Name","Product or Service Code","Product or Service Description","Action Obligation","Actions"
"1990","1100","EXECUTIVE OFFICE OF THE PRESIDENT","5805","TELEPHONE AND TELEGRAPH EQUIPMENT","$59,000.00","1"
"1990","1100","EXECUTIVE OFFICE OF THE PRESIDENT","5810","COMM SECURITY EQ & COMPS","$82,000.00","1"
"1990","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7010","ADPE SYSTEM CONFIGURATION","$879,000.00","7"
"1990","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7020","ADP CENTRAL PROCESSING UNIT-ANALOG","$506,000.00","6"
"1990","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7030","ADP SOFTWARE","$208,000.00","4"
"1990","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7035","ADP SUPPORT EQUIPMENT","$205,000.00","4"
"1990","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7042","MINI & MICRO COMPUTER CONT DEVICES","$132,000.00","2"
"1990","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7110","OFFICE FURNITURE","$184,000.00","4"
"1990","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7435","OFFICE INFORMATION SYSTEM EQUIPMENT","$163,000.00","4"
"1990","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7450","OFFICE SOUND RECORDING REPRO MACH","$94,000.00","3"
"1990","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7490","MISCELLANEOUS OFFICE MACHINES","$31,000.00","1"
"1990","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7630","NEWSPAPERS AND PERIODICALS","$77,000.00","2"
"1990","1100","EXECUTIVE OFFICE OF THE PRESIDENT","9390","MISC FABRICATED NONMETAL MATERIALS","$47,000.00","1"
"1990","1100","EXECUTIVE OFFICE OF THE PRESIDENT","C116","RESIDENTIAL BUILDINGS","$197,000.00","1"
"1990","1100","EXECUTIVE OFFICE OF THE PRESIDENT","D301","ADP FACILITY MANAGEMENT","$217,000.00","2"
"1990","1100","EXECUTIVE OFFICE OF THE PRESIDENT","D302","ADP SYSTEMS DEVELOPMENT SERVICES","$851,000.00","9"
"1990","1100","EXECUTIVE OFFICE OF THE PRESIDENT","D308","PROGRAMMING SERVICES","$347,000.00","1"
"1990","1100","EXECUTIVE OFFICE OF THE PRESIDENT","D310","ADP BACKUP AND SECURITY SERVICES","$30,000.00","1"
"1990","1100","EXECUTIVE OFFICE OF THE PRESIDENT","D316","TELECOMMUNICATION NETWORK MGMT SVCS","$63,000.00","1"
"1990","1100","EXECUTIVE OFFICE OF THE PRESIDENT","D317","AUTO NEWS, DATA & OTHER SVCS","$113,000.00","2"
"1990","1100","EXECUTIVE OFFICE OF THE PRESIDENT","D399","OTHER ADP & TELECOMMUNICATIONS SVCS","$38,000.00","1"
"1990","1100","EXECUTIVE OFFICE OF THE PRESIDENT","F099","OTHER NAT RES MGMT & CONSERV","$379,000.00","4"
"1990","1100","EXECUTIVE OFFICE OF THE PRESIDENT","F999","OTHER ENVIR SVC/STUD/SUP","$107,000.00","1"
"1990","1100","EXECUTIVE OFFICE OF THE PRESIDENT","J070","MAINT-REP OF ADP EQ & SUPPLIES","$1,022,000.00","10"
"1990","1100","EXECUTIVE OFFICE OF THE PRESIDENT","J074","MAINT-REP OF OFFICE MACHINES","$157,000.00","3"
"1990","1100","EXECUTIVE OFFICE OF THE PRESIDENT","R409","PROGRAM REVIEW/DEVELOPMENT SERVICES","$229,000.00","2"
"1990","1100","EXECUTIVE OFFICE OF THE PRESIDENT","R415","PROF SVCS/TECH SHARING-UTIL","$190,000.00","3"
"1990","1100","EXECUTIVE OFFICE OF THE PRESIDENT","R421","TECHNICAL ASSISTANCE","$215,000.00","2"
"1990","1100","EXECUTIVE OFFICE OF THE PRESIDENT","R499","OTHER PROFESSIONAL SERVICES","$3,164,000.00","6"
"1990","1100","EXECUTIVE OFFICE OF THE PRESIDENT","R604","MAILING AND DISTRIBUTION SERVICES","$475,000.00","4"
"1990","1100","EXECUTIVE OFFICE OF THE PRESIDENT","R699","OTHER ADMINISTRATIVE SUPPORT SVCS","$95,000.00","1"
"1990","1100","EXECUTIVE OFFICE OF THE PRESIDENT","T006","FILM/VIDEO TAPE PRODUCTION SERVICES","$25,000.00","1"
"1990","1100","EXECUTIVE OFFICE OF THE PRESIDENT","W070","LEASE-RENT OF ADP EQ & SUPPLIES","$378,000.00","2"
"1990","1100","EXECUTIVE OFFICE OF THE PRESIDENT","W074","LEASE-RENT OF OFFICE MACHINES","$246,000.00","5"
"1990","1100","EXECUTIVE OFFICE OF THE PRESIDENT","X111","LEASE/RENTAL OF OFFICE BUILDINGS","$403,000.00","1"
"1990","1100","EXECUTIVE OFFICE OF THE PRESIDENT","X112","LEASE-RENT OF CONF SPACE & FAC","$140,000.00","2"
"1990","1100","EXECUTIVE OFFICE OF THE PRESIDENT","X169","LEASE-RENT OF OTHER RESIDENTIAL BLD","$40,000.00","1"
"1990","1100","EXECUTIVE OFFICE OF THE PRESIDENT","Z249","MAINT-REP-ALT/OTHER UTILITIES","$301,000.00","2"
"1990","1145","PEACE CORPS","2310","PASSENGER MOTOR VEHICLES","$34,000.00","1"
"1990","1145","PEACE CORPS","2340","MOTORCYCLE,MOTOR SCOOTERS & BIKES","$137,000.00","2"
"1990","1145","PEACE CORPS","6115","GENERATORS & GENERATOR SETS ELECT","$26,000.00","1"
"1990","1145","PEACE CORPS","7010","ADPE SYSTEM CONFIGURATION","$2,000.00","1"
"1990","1145","PEACE CORPS","7025","ADP INPUT/OUTPUT & STORAGE DEVICES","$11,000.00","1"
"1990","1145","PEACE CORPS","7030","ADP SOFTWARE","$53,000.00","1"
"1990","1145","PEACE CORPS","7490","MISCELLANEOUS OFFICE MACHINES","$28,000.00","1"
"1990","1145","PEACE CORPS","7610","BOOKS AND PAMPHLETS","$316,000.00","5"
"1990","1145","PEACE CORPS","B545","STUDY/HOUSING AND COMMUNITY DEVELOP","$30,000.00","3"
"1990","1145","PEACE CORPS","D301","ADP FACILITY MANAGEMENT","$183,000.00","10"
"1990","1145","PEACE CORPS","J099","MAINT-REP OF MISC EQ","$25,000.00","1"
"1990","1145","PEACE CORPS","Q201","GENERAL HEALTH CARE SERVICES","$36,000.00","1"
"1990","1145","PEACE CORPS","Q401","NURSING SERVICES","$400,000.00","12"
"1990","1145","PEACE CORPS","R407","PROGRAM EVALUATION SERVICES","$97,000.00","1"
"1990","1145","PEACE CORPS","R497","PERSONAL SERVICES CONTRACTS","$210,000.00","7"
"1990","1145","PEACE CORPS","R604","MAILING AND DISTRIBUTION SERVICES","$33,000.00","3"
"1990","1145","PEACE CORPS","R699","OTHER ADMINISTRATIVE SUPPORT SVCS","$283,000.00","10"
"1990","1145","PEACE CORPS","R701","ADVERTISING SERVICES","$241,000.00","1"
"1990","1145","PEACE CORPS","R702","DATA COLLECTION SERVICES","$150,000.00","3"
"1990","1145","PEACE CORPS","R706","LOGISTICS SUPPORT SERVICES","$246,000.00","2"
"1990","1145","PEACE CORPS","S206","GUARD SERVICES","$215,000.00","4"
"1990","1145","PEACE CORPS","T011","PRINT/BINDING SERVICES","$33,000.00","2"
"1990","1145","PEACE CORPS","U002","PERSONNEL TESTING","$130,000.00","1"
"1990","1145","PEACE CORPS","U006","VOCATIONAL/TECHNICAL","$6,426,000.00","35"
"1990","1145","PEACE CORPS","V231","LODGING - HOTEL/MOTEL","$221,000.00","6"
"1990","1145","PEACE CORPS","W070","LEASE-RENT OF ADP EQ & SUPPLIES","$41,000.00","1"
"1990","1145","PEACE CORPS","X111","LEASE/RENTAL OF OFFICE BUILDINGS","$395,000.00","9"
"1990","1145","PEACE CORPS","X161","LEASE-RENT OF FAMILY HOUSING","$28,000.00","1"
"1990","1152","AGENCY FOR INTERNATIONAL DEVELOPMENT","2310","PASSENGER MOTOR VEHICLES","$2,645,000.00","10"
"1990","1152","AGENCY FOR INTERNATIONAL DEVELOPMENT","2320","TRUCKS AND TRUCK TRACTORS, WHEELED","$854,000.00","6"
"1990","1152","AGENCY FOR INTERNATIONAL DEVELOPMENT","2340","MOTORCYCLE,MOTOR SCOOTERS & BIKES","$160,000.00","2"
"1990","1152","AGENCY FOR INTERNATIONAL DEVELOPMENT","2590","MISCELLANEOUS VEHICULAR COMPONENTS","$326,000.00","4"
"1990","1152","AGENCY FOR INTERNATIONAL DEVELOPMENT","3650","CHEMICAL & PHARMACEUTICAL MACHINE","$688,000.00","2"
"1990","1152","AGENCY FOR INTERNATIONAL DEVELOPMENT","3895","MISC CONTRUCT EQ","$104,000.00","2"
"1990","1152","AGENCY FOR INTERNATIONAL DEVELOPMENT","3990","MISC MATERIALS HANDLING EQ","$34,000.00","1"
"1990","1152","AGENCY FOR INTERNATIONAL DEVELOPMENT","4110","REFRIGERATION EQUIPMENT","$190,000.00","2"
"1990","1152","AGENCY FOR INTERNATIONAL DEVELOPMENT","4120","AIR CONDITIONING EQUIPMENT","$42,000.00","1"
"1990","1152","AGENCY FOR INTERNATIONAL DEVELOPMENT","4240","SAFETY AND RESCUE EQUIPMENT","$76,000.00","1"
"1990","1152","AGENCY FOR INTERNATIONAL DEVELOPMENT","4730","FITTINGS - HOSE PIPE & TUBE","$1,708,000.00","9"
"1990","1152","AGENCY FOR INTERNATIONAL DEVELOPMENT","4820","VALVES, NONPOWERED","$282,000.00","1"
"1990","1152","AGENCY FOR INTERNATIONAL DEVELOPMENT","5680","MISC CONTRUCT MATERIALS","$2,002,000.00","8"
"1990","1152","AGENCY FOR INTERNATIONAL DEVELOPMENT","5810","COMM SECURITY EQ & COMPS","$89,000.00","1"
"1990","1152","AGENCY FOR INTERNATIONAL DEVELOPMENT","5999","MSC ELECT & ELECTRONIC COMPONENTS","$8,386,000.00","10"
"1990","1152","AGENCY FOR INTERNATIONAL DEVELOPMENT","6515","MED & SURGICAL INSTRUMENTS,EQ & SUP","$1,993,000.00","11"
"1990","1152","AGENCY FOR INTERNATIONAL DEVELOPMENT","6840","PEST CONT AGENTS & DISINFECTANTS","$430,000.00","1"
"1990","1152","AGENCY FOR INTERNATIONAL DEVELOPMENT","7010","ADPE SYSTEM CONFIGURATION","$148,000.00","2"
"1990","1152","AGENCY FOR INTERNATIONAL DEVELOPMENT","7042","MINI & MICRO COMPUTER CONT DEVICES","$80,000.00","1"
"1990","1152","AGENCY FOR INTERNATIONAL DEVELOPMENT","7045","ADP SUPPLIES","$67,000.00","1"
"1990","1152","AGENCY FOR INTERNATIONAL DEVELOPMENT","7050","ADP COMPONENTS","$485,000.00","7"
"1990","1152","AGENCY FOR INTERNATIONAL DEVELOPMENT","7210","HOUSEHOLD FURNISHINGS","$49,000.00","1"
"1990","1152","AGENCY FOR INTERNATIONAL DEVELOPMENT","7290","MSC HOUSEHOLD FURNISHINGS APPLIANCE","$2,499,000.00","5"
"1990","1152","AGENCY FOR INTERNATIONAL DEVELOPMENT","7610","BOOKS AND PAMPHLETS","$351,000.00","3"
"1990","1152","AGENCY FOR INTERNATIONAL DEVELOPMENT","9330","PLASTICS FABRICATED MATERIALS","$129,000.00","1"
"1990","1152","AGENCY FOR INTERNATIONAL DEVELOPMENT","9930","MEMORIALS-CEMETERY & MORTUARY EQ","$115,000.00","1"
"1990","1152","AGENCY FOR INTERNATIONAL DEVELOPMENT","9999","MISCELLANEOUS ITEMS","$1,926,000.00","2"
"1990","1152","AGENCY FOR INTERNATIONAL DEVELOPMENT","AA20","R&D-AGRI MARKETING","$1,777,000.00","15"
"1990","1152","AGENCY FOR INTERNATIONAL DEVELOPMENT","AA24","AGRICULTURE MARKETING (ENGINEERING)","$1,567,000.00","3"
"1990","1152","AGENCY FOR INTERNATIONAL DEVELOPMENT","AA40",,"$33,000.00","1"
"1990","1152","AGENCY FOR INTERNATIONAL DEVELOPMENT","AA90","R&D-OTHER AGRI","$1,581,000.00","2"
"1990","1152","AGENCY FOR INTERNATIONAL DEVELOPMENT","AA94","OTHER AGRICULTURE (ENGINEERING)","$1,792,000.00","3"
"1990","1152","AGENCY FOR INTERNATIONAL DEVELOPMENT","AA96","R&D-OTHER AGRI-MGMT SUP","$1,226,000.00","1"
"1990","1152","AGENCY FOR INTERNATIONAL DEVELOPMENT","AB94","R&D-OTHER SVC & DEVELOP-ENG DEV","$26,000.00","1"
