"Fiscal Year","Contracting Department ID","Contracting Department Name","Product or Service Code","Product or Service Description","Action Obligation","Actions"
"2008","0300","LIBRARY OF CONGRESS","7610","BOOKS AND PAMPHLETS","$0.00","48"
"2008","0300","LIBRARY OF CONGRESS","R605","LIBRARY SERVICES","$0.00","5"
"2008","0300","LIBRARY OF CONGRESS","R612","INFORMATION RETRIEVAL","$1,712,900.00","60"
"2008","0500","GENERAL ACCOUNTING OFFICE","6910","TRAINING AIDS","$0.00","1"
"2008","0500","GENERAL ACCOUNTING OFFICE","7030","ADP SOFTWARE","$27,560.80","1"
"2008","0500","GENERAL ACCOUNTING OFFICE","7490","MISCELLANEOUS OFFICE MACHINES","$7,711.59","1"
"2008","0500","GENERAL ACCOUNTING OFFICE","C111","BLDGS & FAC / ADMIN & SVC BLDGS","$250,000.00","1"
"2008","0500","GENERAL ACCOUNTING OFFICE","D316","TELECOMMUNICATION NETWORK MGMT SVCS","$9,132,449.19","1"
"2008","0500","GENERAL ACCOUNTING OFFICE","D399","OTHER ADP & TELECOMMUNICATIONS SVCS","$3,174,644.60","2"
"2008","0500","GENERAL ACCOUNTING OFFICE","F999","OTHER ENVIR SVC/STUD/SUP","$92,185.90","1"
"2008","0500","GENERAL ACCOUNTING OFFICE","R408","PROGRAM MANAGEMENT/SUPPORT SERVICES","$99,220.00","1"
"2008","0500","GENERAL ACCOUNTING OFFICE","R418","LEGAL SERVICES","$8,000.00","1"
"2008","0500","GENERAL ACCOUNTING OFFICE","R499","OTHER PROFESSIONAL SERVICES","$2,500.00","1"
"2008","0500","GENERAL ACCOUNTING OFFICE","R605","LIBRARY SERVICES","$176,739.44","1"
"2008","0500","GENERAL ACCOUNTING OFFICE","R699","OTHER ADMINISTRATIVE SUPPORT SVCS","$70,986.70","1"
"2008","0500","GENERAL ACCOUNTING OFFICE","R799","OTHER MANAGEMENT SUPPORT SERVICES","$2,155,727.84","2"
"2008","0500","GENERAL ACCOUNTING OFFICE","S111","GAS SERVICES","$1,216.91","1"
"2008","0500","GENERAL ACCOUNTING OFFICE","S216","FACILITIES OPERATIONS SUPPORT SVCS","$835,913.92","1"
"2008","0500","GENERAL ACCOUNTING OFFICE","T099","OTHER PHOTO MAPPING PRINTING SVC","$203,855.00","2"
"2008","0500","GENERAL ACCOUNTING OFFICE","U008","TRAINING/CURRICULUM DEVELOPMENT","$240,837.50","1"
"2008","1100","EXECUTIVE OFFICE OF THE PRESIDENT","2310","PASSENGER MOTOR VEHICLES","$118,040.00","8"
