"Fiscal Year","Contracting Department ID","Contracting Department Name","Contracting Agency Name","Contracting Agency ID","Action Obligation","Actions"
"2000","1100","EXECUTIVE OFFICE OF THE PRESIDENT","EXECUTIVE OFFICE OF THE PRESIDENT","1100","$18,936,000.00","94"
"2000","1145","PEACE CORPS","PEACE CORPS","1145","$9,651,247.00","92"
"2000","1153","UNITED STATES TRADE AND DEVELOPMENT AGENCY","UNITED STATES TRADE AND DEVELOPMENT AGENCY","1153","$3,811,000.00","49"
"2000","1200","AGRICULTURE, DEPARTMENT OF","AGRICULTURAL MARKETING SERVICE","1241","$38,000.00","1"
"2000","1200","AGRICULTURE, DEPARTMENT OF","AGRICULTURAL RESEARCH SERVICE","1230","$95,512,000.00","939"
"2000","1200","AGRICULTURE, DEPARTMENT OF","AGRICULTURAL RESEARCH SERVICE","12H2","$3,248,614.71","118"
"2000","1200","AGRICULTURE, DEPARTMENT OF","AGRICULTURAL STABILIZATION AND CONSERVATION SERVICE","1220","$57,158,000.00","229"
"2000","1200","AGRICULTURE, DEPARTMENT OF","ANIMAL AND PLANT HEALTH INSPECTION SERVICE","1242","$18,315,000.00","136"
"2000","1200","AGRICULTURE, DEPARTMENT OF","ANIMAL AND PLANT HEALTH INSPECTION SERVICE","12K3","$922,130.00","13"
"2000","1200","AGRICULTURE, DEPARTMENT OF","FARM SERVICE AGENCY","12D2","$3,513,256.00","31"
"2000","1200","AGRICULTURE, DEPARTMENT OF","FARMERS HOME ADMINISTRATION","1236","$26,818,000.00","336"
"2000","1200","AGRICULTURE, DEPARTMENT OF","FOOD AND NUTRITION SERVICE","1251","$20,788,000.00","70"
"2000","1200","AGRICULTURE, DEPARTMENT OF","FOOD AND NUTRITION SERVICE","12F2","$288,210.00","12"
"2000","1200","AGRICULTURE, DEPARTMENT OF","FOOD SAFETY AND INSPECTION SERVICE","1252","$16,934,000.00","204"
"2000","1200","AGRICULTURE, DEPARTMENT OF","FOREST SERVICE","12C2","$61,810,625.30","1,371"
"2000","1200","AGRICULTURE, DEPARTMENT OF","NATURAL RESOURCES CONSERVATION SERVICE","12C3","$6,479,517.00","25"
"2000","1200","AGRICULTURE, DEPARTMENT OF","OFFICE OF FINANCE AND MANAGEMENT","1217","$6,273,000.00","33"
"2000","1200","AGRICULTURE, DEPARTMENT OF","OFFICE OF INSPECTOR GENERAL","1204","$611,000.00","18"
"2000","1200","AGRICULTURE, DEPARTMENT OF","RURAL HOUSING SERVICE","12E3","$1,237,491.00","63"
"2000","1200","AGRICULTURE, DEPARTMENT OF","SOIL CONSERVATION SERVICE","1227","$39,327,000.00","481"
"2000","1200","AGRICULTURE, DEPARTMENT OF","USDA, ASSISTANT SECRETARY FOR ADMINISTRATION","12B0","$5,018,473.12","15"
"2000","1200","AGRICULTURE, DEPARTMENT OF","USDA, OFFICE OF OPERATIONS","1215","$45,701,000.00","198"
"2000","1200","AGRICULTURE, DEPARTMENT OF","USDA, OFFICE OF THE CHIEF FINANCIAL OFFICER","1205","$291,652.00","3"
"2000","1300","COMMERCE, DEPARTMENT OF","BUREAU OF ECONOMIC ANALYSIS","1321","$509,000.00","14"
"2000","1300","COMMERCE, DEPARTMENT OF","BUREAU OF THE CENSUS","1323","$590,057,000.00","927"
"2000","1300","COMMERCE, DEPARTMENT OF","ECONOMIC AFFAIRS","131E","$125,000.00","19"
"2000","1300","COMMERCE, DEPARTMENT OF","ECONOMIC DEVELOPMENT ADMINISTRATION","1325","$400,000.00","2"
"2000","1300","COMMERCE, DEPARTMENT OF","INTERNATIONAL TRADE ADMINISTRATION","1350","$10,865,000.00","164"
"2000","1300","COMMERCE, DEPARTMENT OF","MINORITY BUSINESS DEVELOPMENT AGENCY","1352","$5,317,000.00","11"
"2000","1300","COMMERCE, DEPARTMENT OF","NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY","1341","$245,632,499.44","822"
"2000","1300","COMMERCE, DEPARTMENT OF","NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION","1330","$277,487,783.12","2,296"
"2000","1300","COMMERCE, DEPARTMENT OF","NATIONAL TECHNICAL INFORMATION SERVICE","1342","$4,723,000.00","25"
"2000","1300","COMMERCE, DEPARTMENT OF","NATIONAL TELECOMMUNICATIONS AND INFORMATION ADMINISTRATION","1335","$742,000.00","14"
"2000","1300","COMMERCE, DEPARTMENT OF","OFFICE OF THE INSPECTOR GENERAL","1304","$3,180,000.00","13"
"2000","1300","COMMERCE, DEPARTMENT OF","OFFICE OF THE SECRETARY","1301","$23,135,807.50","164"
"2000","1300","COMMERCE, DEPARTMENT OF","PATENT AND TRADEMARK OFFICE","1344","$187,043,341.92","540"
"2000","1400","INTERIOR, DEPARTMENT OF THE","BUREAU OF INDIAN AFFAIRS","1450","$43,194,968.00","322"
"2000","1400","INTERIOR, DEPARTMENT OF THE","BUREAU OF LAND MANAGEMENT","1422","$96,213,019.97","1,796"
"2000","1400","INTERIOR, DEPARTMENT OF THE","BUREAU OF OCEAN ENERGY MANAGEMENT","1435","$202,010,172.89","806"
"2000","1400","INTERIOR, DEPARTMENT OF THE","BUREAU OF RECLAMATION","1425","$146,782,045.20","1,239"
"2000","1400","INTERIOR, DEPARTMENT OF THE","GEOLOGICAL SURVEY","1434","$117,477,347.00","1,768"
"2000","1400","INTERIOR, DEPARTMENT OF THE","INTERIOR, DEPARTMENT OF THE","1400","$0.00","1"
"2000","1400","INTERIOR, DEPARTMENT OF THE","NATIONAL PARK SERVICE","1443","$205,983,203.22","2,340"
"2000","1400","INTERIOR, DEPARTMENT OF THE","OFFICE OF POLICY, BUDGET AND ADMINISTRATION","1406","$104,539,977.00","1,089"
"2000","1400","INTERIOR, DEPARTMENT OF THE","OFFICE OF SURFACE MINING, RECLAMATION AND ENFORCEMENT","1438","$8,069,550.00","322"
"2000","1400","INTERIOR, DEPARTMENT OF THE","U.S. FISH AND WILDLIFE SERVICE","1448","$84,540,628.83","1,803"
"2000","1500","JUSTICE, DEPARTMENT OF","DRUG ENFORCEMENT ADMINISTRATION","1524","$140,005,990.86","927"
"2000","1500","JUSTICE, DEPARTMENT OF","FEDERAL BUREAU OF INVESTIGATION","1549","$179,670,000.00","546"
"2000","1500","JUSTICE, DEPARTMENT OF","FEDERAL PRISON SYSTEM","1540","$927,586,978.53","4,207"
"2000","1500","JUSTICE, DEPARTMENT OF","IMMIGRATION AND NATURALIZATION SERVICE","1528","$402,754,000.00","1,102"
"2000","1500","JUSTICE, DEPARTMENT OF","OFFICE OF JUSTICE PROGRAMS","1550","$69,121,911.54","219"
"2000","1500","JUSTICE, DEPARTMENT OF","OFFICES, BOARDS AND DIVISIONS","1501","$470,653,101.00","3,780"
"2000","1500","JUSTICE, DEPARTMENT OF","U.S. MARSHALS SERVICE","1544","$332,920,000.00","1,827"
"2000","1600","LABOR, DEPARTMENT OF","BENEFITS REVIEW BOARD","1615","$24,000.00","1"
"2000","1600","LABOR, DEPARTMENT OF","BUREAU OF INTERNATIONAL LABOR AFFAIRS","1609","$10,084,000.00","35"
"2000","1600","LABOR, DEPARTMENT OF","BUREAU OF LABOR STATISTICS","1625","$38,835,000.00","67"
"2000","1600","LABOR, DEPARTMENT OF","EMPLOYEE BENEFITS SECURITY ADMINISTRATION","1621","$21,772,000.00","48"
"2000","1600","LABOR, DEPARTMENT OF","EMPLOYMENT AND TRAINING ADMINISTRATION","1630","$1,020,763,154.00","1,247"
"2000","1600","LABOR, DEPARTMENT OF","EMPLOYMENT STANDARDS ADMINISTRATION","1635","$31,562,000.00","107"
"2000","1600","LABOR, DEPARTMENT OF","IMMEDIATE OFFICE OF THE SECRETARY OF LABOR","1601","$220,000.00","3"
"2000","1600","LABOR, DEPARTMENT OF","LABOR, DEPARTMENT OF","1600","$0.00","1"
"2000","1600","LABOR, DEPARTMENT OF","MINE SAFETY AND HEALTH ADMINISTRATION","1645","$3,178,000.00","69"
"2000","1600","LABOR, DEPARTMENT OF","NATIONAL OCCUPATIONAL INFORMATION COORDINATING COMMITTEE","1669","$84,000.00","3"
"2000","1600","LABOR, DEPARTMENT OF","OCCUPATIONAL SAFETY AND HEALTH ADMINISTRATION","1650","$12,848,000.00","89"
"2000","1600","LABOR, DEPARTMENT OF","OFFICE OF ADMINISTRATIVE LAW JUDGES","1613","$503,000.00","18"
"2000","1600","LABOR, DEPARTMENT OF","OFFICE OF INFORMATION AND PUBLIC AFFAIRS","1608","$804,000.00","18"
"2000","1600","LABOR, DEPARTMENT OF","OFFICE OF INSPECTOR GENERAL","1604","$8,193,000.00","78"
"2000","1600","LABOR, DEPARTMENT OF","OFFICE OF SMALL AND DISADVANTAGED BUSINESS UTILIZATION","1618","$38,000.00","1"
"2000","1600","LABOR, DEPARTMENT OF","OFFICE OF THE ASSISTANT SECRETARY FOR ADMIN AND MANAGEMENT","1605","$37,425,000.00","236"
"2000","1600","LABOR, DEPARTMENT OF","OFFICE OF THE ASSISTANT SECRETARY FOR POLICY","1606","$6,105,000.00","31"
"2000","1600","LABOR, DEPARTMENT OF","OFFICE OF THE CHIEF FINANCIAL OFFICER","1622","$10,811,000.00","37"
"2000","1600","LABOR, DEPARTMENT OF","OFFICE OF THE SOLICITOR","1603","$3,799,000.00","15"
"2000","1600","LABOR, DEPARTMENT OF","PENSION BENEFIT GUARANTY CORPORATION","1665","$6,065,753.48","2"
"2000","1600","LABOR, DEPARTMENT OF","PRESIDENT'S COMMITTEE ON EMPLOYMENT OF THE HANDICAPPED","1667","$1,829,000.00","11"
"2000","1600","LABOR, DEPARTMENT OF","VETERANS EMPLOYMENT AND TRAINING SERVICES","1653","$4,753,000.00","18"
"2000","1900","STATE, DEPARTMENT OF","STATE, DEPARTMENT OF","1900","$1,025,842,925.40","3,620"
"2000","2000","TREASURY, DEPARTMENT OF THE","ALCOHOL AND TOBACCO TAX AND TRADE BUREAU","2022","$48,456,000.00","221"
"2000","2000","TREASURY, DEPARTMENT OF THE","BUREAU OF ENGRAVING AND PRINTING","2041","$36,033,000.00","190"
"2000","2000","TREASURY, DEPARTMENT OF THE","BUREAU OF THE PUBLIC DEBT","2036","$132,375,779.76","2,324"
"2000","2000","TREASURY, DEPARTMENT OF THE","DEPARTMENTAL OFFICES","2001","$67,246,536.88","473"
"2000","2000","TREASURY, DEPARTMENT OF THE","FEDERAL LAW ENFORCEMENT TRAINING CENTER","2024","$62,840,000.00","868"
"2000","2000","TREASURY, DEPARTMENT OF THE","FINANCIAL CRIME ENFORCEMENT NETWORK","2026","$250,626,000.00","685"
"2000","2000","TREASURY, DEPARTMENT OF THE","FINANCIAL MANAGEMENT SERVICE","2033","$31,150,000.00","191"
"2000","2000","TREASURY, DEPARTMENT OF THE","INTERNAL REVENUE SERVICE","2050","$803,007,686.89","2,576"
"2000","2000","TREASURY, DEPARTMENT OF THE","OFFICE OF THE COMPTROLLER OF THE CURRENCY","2046","$24,350,000.00","180"
"2000","2000","TREASURY, DEPARTMENT OF THE","OFFICE OF THRIFT SUPERVISION","2047","$11,633,000.00","181"
"2000","2000","TREASURY, DEPARTMENT OF THE","U.S. SECRET SERVICE","2028","$20,019,000.00","144"
"2000","2000","TREASURY, DEPARTMENT OF THE","UNITED STATES MINT","2044","$139,067,587.00","702"
"2000","2400","OFFICE OF PERSONNEL MANAGEMENT","OFFICE OF PERSONNEL MANAGEMENT","2400","$198,304,601.29","2,922"
"2000","2700","FEDERAL COMMUNICATIONS COMMISSION","FEDERAL COMMUNICATIONS COMMISSION","2700","$3,586,000.00","171"
"2000","2800","SOCIAL SECURITY ADMINISTRATION","SOCIAL SECURITY ADMINISTRATION","2800","$281,782,435.32","2,970"
"2000","2900","FEDERAL TRADE COMMISSION","FEDERAL TRADE COMMISSION","2900","$8,218,000.00","82"
"2000","3100","NUCLEAR REGULATORY COMMISSION","NUCLEAR REGULATORY COMMISSION","3100","$51,343,203.00","553"
"2000","3300","SMITHSONIAN INSTITUTION","SMITHSONIAN INSTITUTION","3300","$76,958,250.97","539"
"2000","3352","J. F. KENNEDY CENTER FOR THE PERFORMING ARTS","J. F. KENNEDY CENTER FOR THE PERFORMING ARTS","3352","$9,531,000.00","73"
"2000","3355","NATIONAL GALLERY OF ART","NATIONAL GALLERY OF ART","3355","$6,819,000.00","74"
"2000","3400","INTERNATIONAL TRADE COMMISSION","INTERNATIONAL TRADE COMMISSION","3400","$2,469,000.00","38"
"2000","3600","VETERANS AFFAIRS, DEPARTMENT OF","VETERANS AFFAIRS, DEPARTMENT OF","3600","$1,786,864,297.15","18,402"
"2000","4500","EQUAL EMPLOYMENT OPPORTUNITY COMMISSION","EQUAL EMPLOYMENT OPPORTUNITY COMMISSION","4500","$32,197,000.00","263"
"2000","4700","GENERAL SERVICES ADMINISTRATION","FEDERAL ACQUISITION SERVICE","4730","$2,375,000.00","2,787"
"2000","4700","GENERAL SERVICES ADMINISTRATION","FEDERAL ACQUISITION SERVICE","4735","$3,705,538,548.15","10,767"
"2000","4700","GENERAL SERVICES ADMINISTRATION","OFFICE OF THE ADMINISTRATOR(ACMD)","4705","$1,467,000.00","11"
"2000","4700","GENERAL SERVICES ADMINISTRATION","OFFICE OF THE CHIEF FINANCIAL OFFICER","4717","$55,000.00","2"
"2000","4700","GENERAL SERVICES ADMINISTRATION","PUBLIC BUILDINGS SERVICE","4740","$4,546,296,804.48","29,440"
"2000","4900","NATIONAL SCIENCE FOUNDATION","NATIONAL SCIENCE FOUNDATION","4900","$148,944,000.00","266"
"2000","5000","SECURITIES AND EXCHANGE COMMISSION","SECURITIES AND EXCHANGE COMMISSION","5000","$24,620,000.00","79"
"2000","5800","FEDERAL EMERGENCY MANAGEMENT AGENCY","FEDERAL EMERGENCY MANAGEMENT AGENCY","5800","$208,609,000.00","1,376"
"2000","5920","NATIONAL ENDOWMENT FOR THE ARTS","NATIONAL ENDOWMENT FOR THE ARTS","5920","$337,000.00","4"
"2000","5940","NATIONAL ENDOWMENT FOR THE HUMANITIES","NATIONAL ENDOWMENT FOR THE HUMANITIES","5940","$68,000.00","2"
"2000","6000","RAILROAD RETIREMENT BOARD","RAILROAD RETIREMENT BOARD","6000","$5,394,000.00","27"
"2000","6100","CONSUMER PRODUCT SAFETY COMMISSION","CONSUMER PRODUCT SAFETY COMMISSION","6100","$1,999,627.00","69"
"2000","6300","NATIONAL LABOR RELATIONS BOARD","NATIONAL LABOR RELATIONS BOARD","6300","$5,907,000.00","49"
"2000","6400","TENNESSEE VALLEY AUTHORITY","TENNESSEE VALLEY AUTHORITY","6400","$1,279,863,000.00","1,465"
"2000","6500","FEDERAL MARITIME COMMISSION","FEDERAL MARITIME COMMISSION","6500","$238,000.00","8"
"2000","6800","ENVIRONMENTAL PROTECTION AGENCY","ENVIRONMENTAL PROTECTION AGENCY","6800","$1,002,209,307.93","7,376"
"2000","6900","TRANSPORTATION, DEPARTMENT OF","FEDERAL AVIATION ADMINISTRATION","6920","$31,688,000.00","158"
"2000","6900","TRANSPORTATION, DEPARTMENT OF","FEDERAL HIGHWAY ADMINISTRATION","6925","$398,716,313.76","1,163"
"2000","6900","TRANSPORTATION, DEPARTMENT OF","FEDERAL MOTOR CARRIER SAFETY ADMINISTRATION","6959","$375,000.00","2"
"2000","6900","TRANSPORTATION, DEPARTMENT OF","FEDERAL RAILROAD ADMINISTRATION","6930","$18,454,000.00","115"
"2000","6900","TRANSPORTATION, DEPARTMENT OF","FEDERAL TRANSIT ADMINISTRATION","6955","$42,252,000.00","119"
"2000","6900","TRANSPORTATION, DEPARTMENT OF","IMMEDIATE OFFICE OF THE SECRETARY OF TRANSPORTATION","6901","$166,640,000.00","319"
"2000","6900","TRANSPORTATION, DEPARTMENT OF","MARITIME ADMINISTRATION","6938","$304,918,448.00","3,168"
"2000","6900","TRANSPORTATION, DEPARTMENT OF","NATIONAL HIGHWAY TRAFFIC SAFETY ADMINISTRATION","6940","$48,977,000.00","453"
"2000","6900","TRANSPORTATION, DEPARTMENT OF","RESEARCH AND INNOVATIVE TECHNOLOGY ADMINISTRATION","6943","$108,222,208.79","861"
"2000","6900","TRANSPORTATION, DEPARTMENT OF","SAINT LAWRENCE SEAWAY DEVELOPMENT CORPORATION","6947","$117,000.00","12"
"2000","6900","TRANSPORTATION, DEPARTMENT OF","TRANSPORTATION SECURITY ADMINISTRATION","6965","$0.00","1"
"2000","6900","TRANSPORTATION, DEPARTMENT OF","UNITED STATES COAST GUARD","6950","$436,382,500.00","6,051"
"2000","7000","HOMELAND SECURITY, DEPARTMENT OF","U.S. COAST GUARD","7008","$1,482,799.14","28"
"2000","7200","AGENCY FOR INTERNATIONAL DEVELOPMENT","AGENCY FOR INTERNATIONAL DEVELOPMENT","7200","$318,729,667.22","787"
"2000","7300","SMALL BUSINESS ADMINISTRATION","SMALL BUSINESS ADMINISTRATION","7300","$31,938,338.00","176"
"2000","7400","AMERICAN BATTLE MONUMENTS COMMISSION","AMERICAN BATTLE MONUMENTS COMMISSION","7400","$47,000.00","1"
"2000","7500","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","AGENCY FOR HEALTH CARE POLICY AND RESEARCH","7528","$64,776,574.00","134"
"2000","7500","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","CENTERS FOR DISEASE CONTROL","7523","$447,327,697.13","3,439"
"2000","7500","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","CENTERS FOR MEDICARE AND MEDICAID SERVICES","7530","$331,879,108.00","552"
"2000","7500","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","FOOD AND DRUG ADMINISTRATION","7524","$172,729,840.00","1,742"
"2000","7500","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","HEALTH RESOURCES AND SERVICES ADMINISTRATION","7526","$117,432,000.00","611"
"2000","7500","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","INDIAN HEALTH SERVICE","7527","$30,396,957.02","177"
"2000","7500","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","NATIONAL INSTITUTES OF HEALTH","7529","$1,690,015,056.85","2,935"
