"Fiscal Year","Contracting Department ID","Contracting Department Name","Product or Service Code","Product or Service Description","Action Obligation","Actions"
"2002","0300","LIBRARY OF CONGRESS","R612","INFORMATION RETRIEVAL","$0.00","4"
"2002","1100","EXECUTIVE OFFICE OF THE PRESIDENT","1040","CHEMICAL WEAPONS AND EQUIPMENT","$1,255,000.00","4"
"2002","1100","EXECUTIVE OFFICE OF THE PRESIDENT","2310","PASSENGER MOTOR VEHICLES","$50,000.00","2"
"2002","1100","EXECUTIVE OFFICE OF THE PRESIDENT","3610","PRINTING,DUPLICATING & BOOKBIND EQ","$287,000.00","9"
"2002","1100","EXECUTIVE OFFICE OF THE PRESIDENT","3695","MISC SPECIAL INDUSTRY MACHINE","$69,000.00","1"
"2002","1100","EXECUTIVE OFFICE OF THE PRESIDENT","5805","TELEPHONE AND TELEGRAPH EQUIPMENT","$4,944,000.00","33"
"2002","1100","EXECUTIVE OFFICE OF THE PRESIDENT","5810","COMM SECURITY EQ & COMPS","$95,000.00","2"
"2002","1100","EXECUTIVE OFFICE OF THE PRESIDENT","5815","TELETYPE AND FACSIMILE EQUIPMENT","$32,000.00","1"
"2002","1100","EXECUTIVE OFFICE OF THE PRESIDENT","5895","MISC COMMUNICATION EQ","$35,000.00","1"
"2002","1100","EXECUTIVE OFFICE OF THE PRESIDENT","6015","FIBER OPTIC CABLES","$27,000.00","1"
"2002","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7010","ADPE SYSTEM CONFIGURATION","$5,550,000.00","59"
"2002","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7025","ADP INPUT/OUTPUT & STORAGE DEVICES","$245,000.00","5"
"2002","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7030","ADP SOFTWARE","$4,019,000.00","29"
"2002","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7035","ADP SUPPORT EQUIPMENT","$151,000.00","2"
"2002","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7045","ADP SUPPLIES","$61,000.00","1"
"2002","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7050","ADP COMPONENTS","$3,724,000.00","11"
"2002","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7110","OFFICE FURNITURE","$489,000.00","4"
"2002","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7490","MISCELLANEOUS OFFICE MACHINES","$49,000.00","2"
"2002","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7610","BOOKS AND PAMPHLETS","$68,000.00","2"
"2002","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7670","MICROFILM, PROCESSED","$57,000.00","2"
"2002","1100","EXECUTIVE OFFICE OF THE PRESIDENT","AD23","SERVICES (ADVANCED)","$33,000.00","1"
"2002","1100","EXECUTIVE OFFICE OF THE PRESIDENT","B546","STUDY/SECURITY (PHYSICAL & PERSONAL","$200,000.00","1"
"2002","1100","EXECUTIVE OFFICE OF THE PRESIDENT","C214","A&E MANAGEMENT ENGINEERING SERVICES","$66,000.00","1"
"2002","1100","EXECUTIVE OFFICE OF THE PRESIDENT","C219","OTHER ARCHITECTS & ENGIN GEN","$1,486,000.00","2"
"2002","1100","EXECUTIVE OFFICE OF THE PRESIDENT","D301","ADP FACILITY MANAGEMENT","$12,920,000.00","34"
"2002","1100","EXECUTIVE OFFICE OF THE PRESIDENT","D302","ADP SYSTEMS DEVELOPMENT SERVICES","$1,069,000.00","5"
"2002","1100","EXECUTIVE OFFICE OF THE PRESIDENT","D304","ADP SVCS/TELECOMM & TRANSMISSION","$2,091,000.00","7"
"2002","1100","EXECUTIVE OFFICE OF THE PRESIDENT","D306","ADP SYSTEMS ANALYSIS SERVICES","$1,231,000.00","14"
"2002","1100","EXECUTIVE OFFICE OF THE PRESIDENT","D307","AUTOMATED INFORMATION SYSTEM SVCS","$876,000.00","3"
"2002","1100","EXECUTIVE OFFICE OF THE PRESIDENT","D308","PROGRAMMING SERVICES","$1,474,000.00","9"
"2002","1100","EXECUTIVE OFFICE OF THE PRESIDENT","D309","ADP INF, BROADCAST & DIST SVCS","$159,000.00","1"
"2002","1100","EXECUTIVE OFFICE OF THE PRESIDENT","D314","ADP ACQUISITION SUP SVCS","$96,000.00","2"
"2002","1100","EXECUTIVE OFFICE OF THE PRESIDENT","D316","TELECOMMUNICATION NETWORK MGMT SVCS","$69,000.00","1"
"2002","1100","EXECUTIVE OFFICE OF THE PRESIDENT","D317","AUTO NEWS, DATA & OTHER SVCS","$1,820,000.00","16"
"2002","1100","EXECUTIVE OFFICE OF THE PRESIDENT","D399","OTHER ADP & TELECOMMUNICATIONS SVCS","$3,239,000.00","12"
"2002","1100","EXECUTIVE OFFICE OF THE PRESIDENT","R407","PROGRAM EVALUATION SERVICES","$98,000.00","1"
"2002","1100","EXECUTIVE OFFICE OF THE PRESIDENT","R499","OTHER PROFESSIONAL SERVICES","$44,000.00","2"
"2002","1100","EXECUTIVE OFFICE OF THE PRESIDENT","R603","TRANSCRIPTION SERVICES","$614,000.00","4"
"2002","1100","EXECUTIVE OFFICE OF THE PRESIDENT","R708","PUBLIC RELATIONS SERVICES","$929,000.00","10"
"2002","1100","EXECUTIVE OFFICE OF THE PRESIDENT","R799","OTHER MANAGEMENT SUPPORT SERVICES","$43,000.00","4"
"2002","1100","EXECUTIVE OFFICE OF THE PRESIDENT","S113","TELEPHONE AND-OR COMMUNICATIONS SER","$115,000.00","1"
"2002","1100","EXECUTIVE OFFICE OF THE PRESIDENT","S206","GUARD SERVICES","$895,000.00","1"
"2002","1100","EXECUTIVE OFFICE OF THE PRESIDENT","T006","FILM/VIDEO TAPE PRODUCTION SERVICES","$558,000.00","2"
"2002","1100","EXECUTIVE OFFICE OF THE PRESIDENT","T016","AUDIO/VISUAL SERVICES","$72,000.00","2"
"2002","1100","EXECUTIVE OFFICE OF THE PRESIDENT","U099","OTHER ED & TRNG SVCS","$48,000.00","2"
"2002","1100","EXECUTIVE OFFICE OF THE PRESIDENT","X224","LEASE-RENT OF PARKING FACILITIES","$31,000.00","1"
"2002","1100","EXECUTIVE OFFICE OF THE PRESIDENT",,,"$0.00","1"
"2002","1145","PEACE CORPS","2310","PASSENGER MOTOR VEHICLES","$115,000.00","1"
"2002","1145","PEACE CORPS","5935","CONNECTORS, ELECTRICAL","$35,000.00","1"
"2002","1145","PEACE CORPS","7010","ADPE SYSTEM CONFIGURATION","$45,000.00","1"
"2002","1145","PEACE CORPS","7490","MISCELLANEOUS OFFICE MACHINES","$49,000.00","1"
"2002","1145","PEACE CORPS","D303","ADP DATA ENTRY SERVICES","$216,000.00","1"
"2002","1145","PEACE CORPS","D306","ADP SYSTEMS ANALYSIS SERVICES","$390,000.00","1"
"2002","1145","PEACE CORPS","D307","AUTOMATED INFORMATION SYSTEM SVCS","$8,556,235.00","17"
"2002","1145","PEACE CORPS","R497","PERSONAL SERVICES CONTRACTS","$2,544,347.00","74"
"2002","1145","PEACE CORPS","R498","PATENT AND TRADEMARK SERVICES","$42,000.00","1"
"2002","1145","PEACE CORPS","R499","OTHER PROFESSIONAL SERVICES","$0.00","1"
"2002","1145","PEACE CORPS","R699","OTHER ADMINISTRATIVE SUPPORT SVCS","$205,000.00","1"
"2002","1145","PEACE CORPS","R703","ACCOUNTING SERVICES","$1,374,000.00","4"
"2002","1145","PEACE CORPS","R799","OTHER MANAGEMENT SUPPORT SERVICES","$7,000,000.00","3"
"2002","1145","PEACE CORPS","S206","GUARD SERVICES","$91,000.00","3"
"2002","1145","PEACE CORPS","S215","WAREHOUSING AND STORAGE SERVICES","$263,632.00","2"
"2002","1145","PEACE CORPS","U008","TRAINING/CURRICULUM DEVELOPMENT","$65,000.00","2"
"2002","1145","PEACE CORPS","V231","LODGING - HOTEL/MOTEL","$281,960.00","4"
"2002","1145","PEACE CORPS","X111","LEASE/RENTAL OF OFFICE BUILDINGS","$127,000.00","3"
"2002","1145","PEACE CORPS","X199","LEASE-RENT OF MISC BLDGS","$25,000.00","1"
"2002","1152","AGENCY FOR INTERNATIONAL DEVELOPMENT","R421","TECHNICAL ASSISTANCE","$60,000.00","1"
"2002","1153","UNITED STATES TRADE AND DEVELOPMENT AGENCY","7030","ADP SOFTWARE","$26,000.00","1"
"2002","1153","UNITED STATES TRADE AND DEVELOPMENT AGENCY","7420","ACCOUNTING AND CALCULATING MACHINES","$33,000.00","1"
"2002","1153","UNITED STATES TRADE AND DEVELOPMENT AGENCY","AD21","SERVICES (BASIC)","$40,000.00","1"
"2002","1153","UNITED STATES TRADE AND DEVELOPMENT AGENCY","AD26","SERVICES (MANAGEMENT/SUPPORT)","$111,000.00","3"
"2002","1153","UNITED STATES TRADE AND DEVELOPMENT AGENCY","B544","TECHNOLOGY STUDIES","$35,000.00","1"
"2002","1153","UNITED STATES TRADE AND DEVELOPMENT AGENCY",,,"$0.00","6"
"2002","1200","AGRICULTURE, DEPARTMENT OF","1005","GUNS, THROUGH 30 MM","$1,422,310.00","7"
