"Fiscal Year","Contracting Department ID","Contracting Department Name","Contracting Agency Name","Contracting Agency ID","Action Obligation","Actions"
"1995","1100","EXECUTIVE OFFICE OF THE PRESIDENT","EXECUTIVE OFFICE OF THE PRESIDENT","1100","$14,062,000.00","117"
"1995","1145","PEACE CORPS","PEACE CORPS","1145","$8,856,000.00","159"
"1995","1152","AGENCY FOR INTERNATIONAL DEVELOPMENT","AGENCY FOR INTERNATIONAL DEVELOPMENT","1152","$1,347,512,000.00","2,355"
"1995","1153","UNITED STATES TRADE AND DEVELOPMENT AGENCY","UNITED STATES TRADE AND DEVELOPMENT AGENCY","1153","$2,229,000.00","39"
"1995","1200","AGRICULTURE, DEPARTMENT OF","AGRICULTURAL MARKETING SERVICE","1241","$623,822,000.00","1,335"
"1995","1200","AGRICULTURE, DEPARTMENT OF","AGRICULTURAL RESEARCH SERVICE","1230","$114,307,000.00","1,429"
"1995","1200","AGRICULTURE, DEPARTMENT OF","AGRICULTURAL STABILIZATION AND CONSERVATION SERVICE","1220","$1,053,448,000.00","1,753"
"1995","1200","AGRICULTURE, DEPARTMENT OF","ANIMAL AND PLANT HEALTH INSPECTION SERVICE","1242","$26,343,000.00","160"
"1995","1200","AGRICULTURE, DEPARTMENT OF","ECONOMICS MANAGEMENT STAFF","1259","$1,534,000.00","69"
"1995","1200","AGRICULTURE, DEPARTMENT OF","FARMERS HOME ADMINISTRATION","1236","$70,941,000.00","1,822"
"1995","1200","AGRICULTURE, DEPARTMENT OF","FOOD AND NUTRITION SERVICE","1251","$48,949,000.00","262"
"1995","1200","AGRICULTURE, DEPARTMENT OF","FOOD SAFETY AND INSPECTION SERVICE","1252","$2,626,000.00","67"
"1995","1200","AGRICULTURE, DEPARTMENT OF","FOREIGN AGRICULTURAL SERVICE","1223","$242,000.00","9"
"1995","1200","AGRICULTURE, DEPARTMENT OF","OFFICE OF FINANCE AND MANAGEMENT","1217","$1,790,000.00","55"
"1995","1200","AGRICULTURE, DEPARTMENT OF","OFFICE OF INSPECTOR GENERAL","1204","$1,460,000.00","30"
"1995","1200","AGRICULTURE, DEPARTMENT OF","SOIL CONSERVATION SERVICE","1227","$106,196,000.00","1,834"
"1995","1200","AGRICULTURE, DEPARTMENT OF","USDA, OFFICE OF OPERATIONS","1215","$70,160,000.00","504"
"1995","1300","COMMERCE, DEPARTMENT OF","BUREAU OF ECONOMIC ANALYSIS","1321","$4,273,000.00","45"
"1995","1300","COMMERCE, DEPARTMENT OF","BUREAU OF THE CENSUS","1323","$27,581,000.00","392"
