"Fiscal Year","Contracting Department ID","Contracting Department Name","Product or Service Code","Product or Service Description","Action Obligation","Actions"
"1992","1100","EXECUTIVE OFFICE OF THE PRESIDENT","3610","PRINTING,DUPLICATING & BOOKBIND EQ","$44,000.00","1"
"1992","1100","EXECUTIVE OFFICE OF THE PRESIDENT","5895","MISC COMMUNICATION EQ","$76,000.00","1"
"1992","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7010","ADPE SYSTEM CONFIGURATION","$31,000.00","1"
"1992","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7020","ADP CENTRAL PROCESSING UNIT-ANALOG","$697,000.00","8"
"1992","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7021","ADP CENTRAL PROCESSING UNIT-DIGITAL","$63,000.00","1"
"1992","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7030","ADP SOFTWARE","$946,000.00","6"
"1992","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7035","ADP SUPPORT EQUIPMENT","$67,000.00","2"
"1992","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7050","ADP COMPONENTS","$87,000.00","3"
"1992","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7110","OFFICE FURNITURE","$64,000.00","2"
"1992","1100","EXECUTIVE OFFICE OF THE PRESIDENT","7450","OFFICE SOUND RECORDING REPRO MACH","$56,000.00","2"
"1992","1100","EXECUTIVE OFFICE OF THE PRESIDENT","D301","ADP FACILITY MANAGEMENT","$4,168,000.00","5"
"1992","1100","EXECUTIVE OFFICE OF THE PRESIDENT","D302","ADP SYSTEMS DEVELOPMENT SERVICES","$1,156,000.00","19"
"1992","1100","EXECUTIVE OFFICE OF THE PRESIDENT","D308","PROGRAMMING SERVICES","$70,000.00","1"
"1992","1100","EXECUTIVE OFFICE OF THE PRESIDENT","D310","ADP BACKUP AND SECURITY SERVICES","$31,000.00","1"
"1992","1100","EXECUTIVE OFFICE OF THE PRESIDENT","D316","TELECOMMUNICATION NETWORK MGMT SVCS","-$41,000.00","1"
"1992","1100","EXECUTIVE OFFICE OF THE PRESIDENT","D317","AUTO NEWS, DATA & OTHER SVCS","$88,000.00","2"
"1992","1100","EXECUTIVE OFFICE OF THE PRESIDENT","D399","OTHER ADP & TELECOMMUNICATIONS SVCS","$148,000.00","3"
"1992","1100","EXECUTIVE OFFICE OF THE PRESIDENT","J070","MAINT-REP OF ADP EQ & SUPPLIES","$781,000.00","6"
"1992","1100","EXECUTIVE OFFICE OF THE PRESIDENT","R406","POLICY REVIEW/DEVELOPMENT SERVICES","$1,005,000.00","2"
"1992","1100","EXECUTIVE OFFICE OF THE PRESIDENT","R408","PROGRAM MANAGEMENT/SUPPORT SERVICES","$134,000.00","1"
"1992","1100","EXECUTIVE OFFICE OF THE PRESIDENT","R409","PROGRAM REVIEW/DEVELOPMENT SERVICES","$1,000,000.00","3"
"1992","1100","EXECUTIVE OFFICE OF THE PRESIDENT","R415","PROF SVCS/TECH SHARING-UTIL","$103,000.00","1"
"1992","1100","EXECUTIVE OFFICE OF THE PRESIDENT","R418","LEGAL SERVICES","$30,000.00","1"
