"Fiscal Year","Contracting Department ID","Contracting Department Name","Contracting Agency Name","Contracting Agency ID","Action Obligation","Actions"
"1995","1100","EXECUTIVE OFFICE OF THE PRESIDENT","EXECUTIVE OFFICE OF THE PRESIDENT","1100","$11,044,000.00","63"
"1995","1100","EXECUTIVE OFFICE OF THE PRESIDENT",,,"$0.00","2"
"1995","1145","PEACE CORPS","PEACE CORPS","1145","$8,758,000.00","147"
"1995","1145","PEACE CORPS",,,"$0.00","2"
"1995","1152","AGENCY FOR INTERNATIONAL DEVELOPMENT","AGENCY FOR INTERNATIONAL DEVELOPMENT","1152","$1,303,622,000.00","2,266"
"1995","1152","AGENCY FOR INTERNATIONAL DEVELOPMENT",,,"$0.00","563"
"1995","1153","UNITED STATES TRADE AND DEVELOPMENT AGENCY","UNITED STATES TRADE AND DEVELOPMENT AGENCY","1153","$2,229,000.00","39"
"1995","1153","UNITED STATES TRADE AND DEVELOPMENT AGENCY",,,"$0.00","5"
"1995","1200","AGRICULTURE, DEPARTMENT OF","AGRICULTURAL RESEARCH SERVICE","1230","$102,167,000.00","1,064"
"1995","1200","AGRICULTURE, DEPARTMENT OF","AGRICULTURAL STABILIZATION AND CONSERVATION SERVICE","1220","$44,105,000.00","196"
"1995","1200","AGRICULTURE, DEPARTMENT OF","ANIMAL AND PLANT HEALTH INSPECTION SERVICE","1242","$18,696,000.00","115"
"1995","1200","AGRICULTURE, DEPARTMENT OF","ECONOMICS MANAGEMENT STAFF","1259","$863,000.00","37"
"1995","1200","AGRICULTURE, DEPARTMENT OF","FARMERS HOME ADMINISTRATION","1236","$55,124,000.00","1,717"
"1995","1200","AGRICULTURE, DEPARTMENT OF","FOOD AND NUTRITION SERVICE","1251","$23,892,000.00","98"
"1995","1200","AGRICULTURE, DEPARTMENT OF","FOOD SAFETY AND INSPECTION SERVICE","1252","$1,996,000.00","63"
"1995","1200","AGRICULTURE, DEPARTMENT OF","FOREIGN AGRICULTURAL SERVICE","1223","$118,000.00","7"
"1995","1200","AGRICULTURE, DEPARTMENT OF","OFFICE OF FINANCE AND MANAGEMENT","1217","$497,000.00","41"
"1995","1200","AGRICULTURE, DEPARTMENT OF","OFFICE OF INSPECTOR GENERAL","1204","$633,000.00","15"
"1995","1200","AGRICULTURE, DEPARTMENT OF","SOIL CONSERVATION SERVICE","1227","$97,364,000.00","1,462"
"1995","1200","AGRICULTURE, DEPARTMENT OF","USDA, OFFICE OF OPERATIONS","1215","$33,446,000.00","268"
"1995","1200","AGRICULTURE, DEPARTMENT OF",,,"$0.00","152"
"1995","1300","COMMERCE, DEPARTMENT OF","BUREAU OF ECONOMIC ANALYSIS","1321","$2,263,000.00","25"
