principalnaicscode,principalnaicscodeText,principalNAICS2DigitCode,principalNAICS3DigitCode,principalNAICS4DigitCode,NAICS_shorthand,NAICS_unabbreviated,CriticalTech
,NULL,NULL,NULL,NULL,NULL,NULL,Remaining Sectors
: ,NULL,NULL,NULL,NULL,NULL,NULL,Remaining Sectors
11,"Agriculture, Forestry, Fishing and Hunting",11,NULL,NULL,NULL,NULL,Remaining Sectors
111,Crop Production,11,111,NULL,NULL,NULL,Remaining Sectors
1111,Oilseed and Grain Farming,11,111,1111,NULL,NULL,Remaining Sectors
111110,Soybean Farming,11,111,1111,NULL,NULL,Remaining Sectors
111120,Oilseed (Except Soybean) Farming,11,111,1111,NULL,NULL,Remaining Sectors
111130,Dry Pea and Bean Farming,11,111,1111,NULL,NULL,Remaining Sectors
111140,Wheat Farming,11,111,1111,NULL,NULL,Remaining Sectors
111150,Corn Farming,11,111,1111,NULL,NULL,Remaining Sectors
111160,Rice Farming,11,111,1111,NULL,NULL,Remaining Sectors
111191,Oilseed and Grain Combination Farming,11,111,1111,NULL,NULL,Remaining Sectors
111199,All Other Grain Farming,11,111,1111,NULL,NULL,Remaining Sectors
1112,Vegetable and Melon Farming,11,111,1112,NULL,NULL,Remaining Sectors
111211,Potato Farming,11,111,1112,NULL,NULL,Remaining Sectors
111219,Other Vegetable (Except Potato) and Melon Farming,11,111,1112,NULL,NULL,Remaining Sectors
1113,Fruit and Tree Nut Farming,11,111,1113,NULL,NULL,Remaining Sectors
111310,Orange Groves,11,111,1113,NULL,NULL,Remaining Sectors
111320,Citrus (Except Orange) Groves,11,111,1113,NULL,NULL,Remaining Sectors
111331,Apple Orchards,11,111,1113,NULL,NULL,Remaining Sectors
111332,Grape Vineyards,11,111,1113,NULL,NULL,Remaining Sectors
111333,Strawberry Farming,11,111,1113,NULL,NULL,Remaining Sectors
111334,Berry (Except Strawberry) Farming,11,111,1113,NULL,NULL,Remaining Sectors
111335,Tree Nut Farming,11,111,1113,NULL,NULL,Remaining Sectors
111336,Fruit and Tree Nut Combination Farming,11,111,1113,NULL,NULL,Remaining Sectors
111339,Other Noncitrus Fruit Farming,11,111,1113,NULL,NULL,Remaining Sectors
1114,"Greenhouse, Nursery, and Floriculture Production",11,111,1114,NULL,NULL,Remaining Sectors
111411,Mushroom Production,11,111,1114,NULL,NULL,Remaining Sectors
111419,Other Food Crops Grown Under Cover,11,111,1114,NULL,NULL,Remaining Sectors
11142,Nursery and Floriculture Production,11,111,1114,NULL,NULL,Remaining Sectors
111421,Nursery and Tree Production,11,111,1114,NULL,NULL,Remaining Sectors
111422,Floriculture Production,11,111,1114,NULL,NULL,Remaining Sectors
1119,Other Crop Farming,11,111,1119,NULL,NULL,Remaining Sectors
111910,Tobacco Farming,11,111,1119,NULL,NULL,Remaining Sectors
111920,Cotton Farming,11,111,1119,NULL,NULL,Remaining Sectors
111930,Sugarcane Farming,11,111,1119,NULL,NULL,Remaining Sectors
111940,Hay Farming,11,111,1119,NULL,NULL,Remaining Sectors
111991,Sugar Beet Farming,11,111,1119,NULL,NULL,Remaining Sectors
111992,Peanut Farming,11,111,1119,NULL,NULL,Remaining Sectors
111998,All Other Miscellaneous Crop Farming,11,111,1119,NULL,NULL,Remaining Sectors
112,Animal Production and Aquaculture,11,112,NULL,NULL,NULL,Remaining Sectors
1121,Cattle Ranching and Farming,11,112,1121,NULL,NULL,Remaining Sectors
112111,Beef Cattle Ranching and Farming,11,112,1121,NULL,NULL,Remaining Sectors
112112,Cattle Feedlots,11,112,1121,NULL,NULL,Remaining Sectors
112120,Dairy Cattle and Milk Production,11,112,1121,NULL,NULL,Remaining Sectors
112130,Dual-Purpose Cattle Ranching and Farming,11,112,1121,NULL,NULL,Remaining Sectors
1122,Hog and Pig Farming,11,112,1122,NULL,NULL,Remaining Sectors
112210,Hog and Pig Farming,11,112,1122,NULL,NULL,Remaining Sectors
1123,Poultry and Egg Production,11,112,1123,NULL,NULL,Remaining Sectors
112310,Chicken Egg Production,11,112,1123,NULL,NULL,Remaining Sectors
112320,Broilers and Other Meat Type Chicken Production,11,112,1123,NULL,NULL,Remaining Sectors
112330,Turkey Production,11,112,1123,NULL,NULL,Remaining Sectors
112340,Poultry Hatcheries,11,112,1123,NULL,NULL,Remaining Sectors
112390,Other Poultry Production,11,112,1123,NULL,NULL,Remaining Sectors
1124,Sheep and Goat Farming,11,112,1124,NULL,NULL,Remaining Sectors
112410,Sheep Farming,11,112,1124,NULL,NULL,Remaining Sectors
112420,Goat Farming,11,112,1124,NULL,NULL,Remaining Sectors
1125,Aquaculture,11,112,1125,NULL,NULL,Remaining Sectors
11251,Aquaculture,11,112,1125,NULL,NULL,Remaining Sectors
112511,Finfish Farming and Fish Hatcheries,11,112,1125,NULL,NULL,Remaining Sectors
112512,Shellfish Farming,11,112,1125,NULL,NULL,Remaining Sectors
112519,"Other Aquaculture (2007), Other Animal Aquaculture (2002)",11,112,1125,NULL,NULL,Remaining Sectors
1129,Other Animal Production,11,112,1129,NULL,NULL,Remaining Sectors
112910,Apiculture,11,112,1129,NULL,NULL,Remaining Sectors
112920,Horses and Other Equine Production,11,112,1129,NULL,NULL,Remaining Sectors
112930,Fur-Bearing Animal and Rabbit Production,11,112,1129,NULL,NULL,Remaining Sectors
112990,All Other Animal Production,11,112,1129,NULL,NULL,Remaining Sectors
113,Forestry and Logging,11,113,NULL,NULL,NULL,Remaining Sectors
1131,Timber Tract Operations,11,113,1131,NULL,NULL,Remaining Sectors
113110,Timber Tract Operations,11,113,1131,NULL,NULL,Remaining Sectors
1132,Forest Nurseries and Gathering of Forest Products,11,113,1132,NULL,NULL,Remaining Sectors
11321,Forest Nurseries and Gathering of Forest Products,11,113,1132,NULL,NULL,Remaining Sectors
113210,Forest Nurseries and Gathering of Forest Products,11,113,1132,NULL,NULL,Remaining Sectors
1133,Logging,11,113,1133,NULL,NULL,Remaining Sectors
113310,Logging,11,113,1133,NULL,NULL,Remaining Sectors
114,"Fishing, Hunting and Trapping",11,114,NULL,NULL,NULL,Remaining Sectors
1141,Fishing,11,114,1141,NULL,NULL,Remaining Sectors
114111,Finfish Fishing,11,114,1141,NULL,NULL,Remaining Sectors
114112,Shellfish Fishing,11,114,1141,NULL,NULL,Remaining Sectors
114119,Other Marine Fishing,11,114,1141,NULL,NULL,Remaining Sectors
1142,Hunting and Trapping,11,114,1142,NULL,NULL,Remaining Sectors
114210,Hunting and Trapping,11,114,1142,NULL,NULL,Remaining Sectors
115,Support Activities for Agriculture and Forestry,11,115,NULL,NULL,NULL,Remaining Sectors
1151,Support Activities for Crop Production,11,115,1151,NULL,NULL,Remaining Sectors
11511,Support Activities for Crop Production,11,115,1151,NULL,NULL,Remaining Sectors
115111,Cotton Ginning,11,115,1151,NULL,NULL,Remaining Sectors
115112,"Soil Preparation, Planting, and Cultivating",11,115,1151,NULL,NULL,Remaining Sectors
115113,"Crop Harvesting, Primarily by Machine",11,115,1151,NULL,NULL,Remaining Sectors
115114,Postharvest Crop Activities (except Cotton Ginning),11,115,1151,NULL,NULL,Remaining Sectors
115115,Farm Labor Contractors and Crew Leaders,11,115,1151,NULL,NULL,Remaining Sectors
115116,Farm Management Services,11,115,1151,NULL,NULL,Remaining Sectors
1152,Support Activities for Animal Production,11,115,1152,NULL,NULL,Remaining Sectors
11521,Support Activities for Animal Production,11,115,1152,NULL,NULL,Remaining Sectors
115210,Support Activities for Animal Production,11,115,1152,NULL,NULL,Remaining Sectors
1153,Support Activities for Forestry,11,115,1153,NULL,NULL,Remaining Sectors
11531,Support Activities for Forestry,11,115,1153,NULL,NULL,Remaining Sectors
115310,Support Activities for Forestry,11,115,1153,NULL,NULL,Remaining Sectors
21,"Mining, Quarrying, and Oil and Gas Extraction",21,NULL,NULL,NULL,NULL,Remaining Sectors
211,Oil and Gas Extraction,21,211,NULL,NULL,NULL,Remaining Sectors
2111,Oil and Gas Extraction,21,211,2111,NULL,NULL,Remaining Sectors
211111,Crude Petroleum and Natural Gas Extraction,21,211,2111,NULL,NULL,Remaining Sectors
211112,Natural Gas Liquid Extraction,21,211,2111,NULL,NULL,Remaining Sectors
212,Mining (except Oil and Gas),21,212,NULL,NULL,NULL,Remaining Sectors
2121,Coal Mining,21,212,2121,NULL,NULL,Remaining Sectors
212111,Bituminous Coal and Lignite Surface Mining,21,212,2121,NULL,NULL,Remaining Sectors
212112,Bituminous Coal Underground Mining,21,212,2121,NULL,NULL,Remaining Sectors
212113,Anthracite Mining,21,212,2121,NULL,NULL,Remaining Sectors
2122,Metal Ore Mining,21,212,2122,NULL,NULL,Remaining Sectors
212210,Iron Ore Mining,21,212,2122,NULL,NULL,Remaining Sectors
212221,Gold Ore Mining,21,212,2122,NULL,NULL,Remaining Sectors
212222,Silver Ore Mining,21,212,2122,NULL,NULL,Remaining Sectors
212231,Lead Ore and Zinc Ore Mining,21,212,2122,NULL,NULL,Remaining Sectors
212234,Copper Ore and Nickel Ore Mining,21,212,2122,NULL,NULL,Remaining Sectors
212291,Uranium-Radium-Vanadium Ore Mining,21,212,2122,NULL,NULL,Remaining Sectors
212299,All Other Metal Ore Mining,21,212,2122,NULL,NULL,Remaining Sectors
2123,Nonmetallic Mineral Mining and Quarrying,21,212,2123,NULL,NULL,Remaining Sectors
212311,Dimension Stone Mining and Quarrying,21,212,2123,NULL,NULL,Remaining Sectors
212312,Crushed and Broken Limestone Mining and Quarrying,21,212,2123,NULL,NULL,Remaining Sectors
212313,Crushed and Broken Granite Mining and Quarrying,21,212,2123,NULL,NULL,Remaining Sectors
212319,Other Crushed and Broken Stone Mining and Quarrying,21,212,2123,NULL,NULL,Remaining Sectors
212321,Construction Sand and Gravel Mining,21,212,2123,NULL,NULL,Remaining Sectors
212322,Industrial Sand Mining,21,212,2123,NULL,NULL,Remaining Sectors
212324,Kaolin and Ball Clay Mining,21,212,2123,NULL,NULL,Remaining Sectors
212325,Clay and Ceramic and Refractory Minerals Mining,21,212,2123,NULL,NULL,Remaining Sectors
212391,"Potash, Soda, and Borate Mineral Mining",21,212,2123,NULL,NULL,Remaining Sectors
212392,Phosphate Rock Mining,21,212,2123,NULL,NULL,Remaining Sectors
212393,Other Chemical and Fertilizer Mineral Mining,21,212,2123,NULL,NULL,Remaining Sectors
212399,All Other Nonmetallic Mineral Mining,21,212,2123,NULL,NULL,Remaining Sectors
213,Support Activities for Mining,21,213,NULL,NULL,NULL,Remaining Sectors
2131,Support Activities for Mining,21,213,2131,NULL,NULL,Remaining Sectors
213111,Drilling Oil and Gas Wells,21,213,2131,NULL,NULL,Remaining Sectors
213112,Support Activities for Oil and Gas Operations,21,213,2131,NULL,NULL,Remaining Sectors
213113,Support Activities for Coal Mining,21,213,2131,NULL,NULL,Remaining Sectors
213114,Support Activities for Metal Mining,21,213,2131,NULL,NULL,Remaining Sectors
213115,Support Activities for Nonmetallic Minerals (except Fuels) Mining,21,213,2131,NULL,NULL,Remaining Sectors
22,Utilities,22,NULL,NULL,NULL,NULL,Remaining Sectors
221,Utilities,22,221,NULL,NULL,NULL,Remaining Sectors
2211,"Electric Power Generation, Transmission and Distribution",22,221,2211,NULL,NULL,Remaining Sectors
22111,Electric Power Generation,22,221,2211,NULL,NULL,Remaining Sectors
221111,Hydroelectric Power Generation,22,221,2211,NULL,NULL,Renewables
221112,Fossil Fuel Electric Power Generation,22,221,2211,NULL,NULL,Remaining Sectors
221113,Nuclear Electric Power Generation,22,221,2211,NULL,NULL,Renewables
221114,Solar Electric Power Generation,22,221,2211,NULL,NULL,Renewables
221115,Wind Electric Power Generation,22,221,2211,NULL,NULL,Renewables
221116,Geothermal Electric Power Generation,22,221,2211,NULL,NULL,Renewables
221117,Biomass Electric Power Generation,22,221,2211,NULL,NULL,Renewables
221118,Other Electric Power Generation,22,221,2211,NULL,NULL,Remaining Sectors
221119,Other Electric Power Generation,22,221,2211,NULL,NULL,Remaining Sectors
221121,Electric Bulk Power Transmission and Control,22,221,2211,NULL,NULL,Remaining Sectors
221122,Electric Power Distribution,22,221,2211,NULL,NULL,Remaining Sectors
2212,Natural Gas Distribution,22,221,2212,NULL,NULL,Remaining Sectors
22121,Natural Gas Distribution,22,221,2212,NULL,NULL,Remaining Sectors
221210,Natural Gas Distribution,22,221,2212,NULL,NULL,Remaining Sectors
2213,"Water, Sewage and Other Systems",22,221,2213,NULL,NULL,Remaining Sectors
22131,Water Supply and Irrigation Systems,22,221,2213,NULL,NULL,Remaining Sectors
221310,Water Supply and Irrigation Systems,22,221,2213,NULL,NULL,Remaining Sectors
22132,Sewage Treatment Facilities,22,221,2213,NULL,NULL,Remaining Sectors
221320,Sewage Treatment Facilities,22,221,2213,NULL,NULL,Remaining Sectors
221330,Steam and Air-Conditioning Supply,22,221,2213,NULL,NULL,Remaining Sectors
23,Construction,23,NULL,NULL,NULL,NULL,Remaining Sectors
233,"Building, Developing, and General Contracting",23,233,NULL,NULL,NULL,Remaining Sectors
23311,Land Subdivision and Land Development,23,233,2331,NULL,NULL,Remaining Sectors
233110,Land Subdivision and Land Development,23,233,2331,NULL,NULL,Remaining Sectors
2332,Residential Building Construction,23,233,2332,NULL,NULL,Remaining Sectors
23321,Single Family Housing Construction,23,233,2332,NULL,NULL,Remaining Sectors
233210,Single Family Housing Construction,23,233,2332,NULL,NULL,Remaining Sectors
233220,Multifamily Housing Construction,23,233,2332,NULL,NULL,Remaining Sectors
2333,Nonresidential Building Construction,23,233,2333,NULL,NULL,Remaining Sectors
23331,Manufacturing and Industrial Building Construction,23,233,2333,NULL,NULL,Remaining Sectors
233310,Manufacturing and Industrial Building Construction,23,233,2333,NULL,NULL,Remaining Sectors
23332,Commercial and Institutional Building Construction,23,233,2333,NULL,NULL,Remaining Sectors
233320,Commercial and Institutional Building Construction,23,233,2333,NULL,NULL,Remaining Sectors
234,NULL,23,234,NULL,NULL,NULL,Remaining Sectors
23411,Highway and Street Construction,23,234,2341,NULL,NULL,Remaining Sectors
234110,Highway and Street Construction,23,234,2341,NULL,NULL,Remaining Sectors
