Fiscal Year,"GDP (in
billions of
dollars)","GDP
(Chained)
Price Index",Total,"Total
Defense","Total
Nondefense",Payment for IndividualsTotal,Payment for IndividualsDirect,Payment for IndividualsGrants,"Other
Grants",Net Interest,"Undis-
tributed
Offsetting
Receipts",All Other,Addendum: Direct CapitalTotal,Addendum: Direct CapitalDefense,Addendum: Direct CapitalNondefense
1940,98.2,0.0771,0.0653,0.0614,0.0662,0.0741,0.0741,0.0741,0.0463,0.0771,0.0442,0.0627,0.1378,0.1430,0.1357
1941,116.2,0.0800,0.0724,0.0756,0.0697,0.0767,0.0767,0.0767,0.0419,0.0800,0.0439,0.0641,0.1487,0.1516,0.1421
1942,147.7,0.0860,0.0823,0.0925,0.0633,0.0839,0.0839,0.0839,0.0411,0.0860,0.0471,0.0553,0.1555,0.1557,0.1533
1943,184.6,0.0915,0.0912,0.0993,0.0625,0.0929,0.0929,0.0929,0.0438,0.0915,0.0516,0.0542,0.1525,0.1525,0.1562
1944,213.8,0.0948,0.0837,0.0869,0.0676,0.0998,0.0998,0.0998,0.0461,0.0948,0.0568,0.0578,0.1481,0.1480,0.1633
1945,226.4,0.0971,0.0789,0.0790,0.0778,0.1050,0.1050,0.1047,0.0466,0.0971,0.0599,0.0614,0.1381,0.1380,0.1690
1946,228.0,0.1045,0.0793,0.0754,0.0958,0.1106,0.1106,0.1104,0.0514,0.1045,0.0623,0.0667,0.1402,0.1398,0.1596
1947,238.9,0.1159,0.0897,0.0813,0.0955,0.1189,0.1189,0.1188,0.1246,0.1159,0.0661,0.0688,0.1561,0.1557,0.1581
1948,261.9,0.1269,0.0932,0.0763,0.1034,0.1299,0.1299,0.1298,0.0700,0.1269,0.0714,0.0757,0.1736,0.1708,0.1840
1949,276.5,0.1312,0.0896,0.0759,0.0988,0.1333,0.1333,0.1332,0.0737,0.1312,0.0694,0.0737,0.1823,0.1800,0.1877
1950,278.7,0.1294,0.0942,0.0767,0.1056,0.1316,0.1317,0.1312,0.0699,0.1294,0.0731,0.0788,0.1804,0.1793,0.1821
1951,327.1,0.1363,0.0947,0.0813,0.1151,0.1390,0.1391,0.1385,0.0836,0.1363,0.0721,0.0805,0.1924,0.1930,0.1898
1952,357.1,0.1418,0.0944,0.0845,0.1259,0.1446,0.1446,0.1441,0.0839,0.1418,0.0776,0.0877,0.2019,0.2018,0.2025
1953,382.1,0.1444,0.1015,0.0933,0.1268,0.1467,0.1468,0.1463,0.0879,0.1444,0.0821,0.0922,0.2045,0.2042,0.2089
1954,387.2,0.1461,0.1047,0.0949,0.1366,0.1486,0.1486,0.1484,0.0842,0.1461,0.0850,0.0987,0.2026,0.2023,0.2073
1955,406.3,0.1472,0.1081,0.0980,0.1306,0.1485,0.1485,0.1484,0.0858,0.1472,0.0873,0.0954,0.2083,0.2086,0.2033
1956,438.3,0.1510,0.1130,0.1039,0.1302,0.1503,0.1503,0.1502,0.0871,0.1510,0.0883,0.0951,0.2193,0.2198,0.2107
1957,463.4,0.1566,0.1186,0.1093,0.1353,0.1545,0.1545,0.1544,0.0950,0.1566,0.0904,0.0984,0.2315,0.2322,0.2212
1958,473.5,0.1613,0.1256,0.1144,0.1441,0.1591,0.1591,0.1590,0.1053,0.1613,0.0967,0.1069,0.2388,0.2397,0.2280
1959,504.6,0.1638,0.1308,0.1223,0.1420,0.1613,0.1613,0.1612,0.1126,0.1638,0.1015,0.1106,0.2430,0.2440,0.2317
1960,534.3,0.1661,0.1328,0.1210,0.1486,0.1643,0.1644,0.1642,0.1132,0.1661,0.1007,0.1143,0.2447,0.2459,0.2348
1961,546.6,0.1683,0.1358,0.1233,0.1516,0.1666,0.1666,0.1665,0.1111,0.1683,0.1057,0.1205,0.2461,0.2473,0.2366
