HtsNum,Description,Classification,Classification2,Classification3,MinYear
3603.00.0000,"SAFETY FUSES; DETONATING FUSES; PERCUSSION OR DETONATING CAPS, IGNITERS; ELECTRIC DETONATORS",Other Products,NA,NA,1989
4011.30.0000,"NEW PNEUMATIC TIRES, OF RUBBER, USED ON AIRCRAFT",Aircraft,NA,NA,1989
4012.10.5020,"RETREADED TIRES, OF RUBBER, FOR ON-THE-HIGHWAY TRUCK AND BUS",Land Vehicles,NA,NA,1989
4012.10.6000,"RETREADED TIRES, OF RUBBER, EXCEPT FOR ON-THE-HIGHWAY TRUCK AND BUS, NESOI",Land Vehicles,NA,NA,1989
4012.13.0000,"RETREADED TIRES OF RUBBER,  OF A KIND USED ON AIRCRAFT",Aircraft,NA,NA,2002
4012.20.0000,USED PNEUMATIC TIRES OF RUBBER,Land Vehicles,Aircraft,NA,1989
8407.10.0090,"SPARK-IGNITION RECIPROCATING OR ROTARY INTERNAL COMBUSTION PISTON TYPE AIRCRAFT ENGINES, EXCEPT CIVIL AIRCRAFT USE",Aircraft,NA,NA,1989
8407.21.0000,OUTBOARD ENGINES FOR MARINE PROPULSION,Ships/Subs,NA,NA,1989
8407.29.0010,"SPARK-IGNITION RECIPROCATING OR ROTARY INTERNAL COMBUSTION PISTON ENGINES FOR MARINE PROPULSION, INBOARD ENGINES WITH OUTBOARD DRIVE",Ships/Subs,NA,NA,1989
8407.29.0050,INBOARD ENGINES WITH INBOARD DRIVE FOR MARINE PROPULSION,Ships/Subs,NA,NA,1989
8407.31.0000,"SPARK-IGNITION RECIPROCATING PISTON ENGINES OF A KIND USED FOR THE PROPULSION OF VEHICLES OF CHAPTER 87, NOT EXCEEDING 50 CC CYLINDER CAPACITY",Land Vehicles,NA,NA,1989
8407.32.2000,"SPARK-IGNITION PISTON ENGINES EXCEEDING 50 CC BUT NOT EXCEEDING 250 CC,TO BE INSTALLED IN ROAD TRACTORS,MOTOR BUSES,AUTOMOBILES OR TRUCKS,NEW OR USED",Land Vehicles,NA,NA,1989
