s,CNKEY,CN_CODE,SelfText_EN,HTS.Number.Filter,ArmsDual,PlatformPortfolio.USITC,PlatformPortfolio.Ordnance
http://data.europa.eu/xsp/cn2023/360300000080,360300000080,3603,"Safety fuses; detonating cords; percussion or detonating caps; igniters; electric detonators (excl. grenade detonators and cartridge cases, whether or not with percussion caps)",Arms,Ordnance and Missiles,Other Munitions,
http://data.europa.eu/xsp/cn2023/360310000080,360310000080,3603 10 00,Safety fuses,Arms,Ordnance and Missiles,Other Munitions,
http://data.europa.eu/xsp/cn2023/360320000080,360320000080,3603 20 00,Detonating cords,Arms,Ordnance and Missiles,Other Munitions,
http://data.europa.eu/xsp/cn2023/360330000080,360330000080,3603 30 00,Percussion caps (excl. cartridge cases with percussion caps),Arms,Ordnance and Missiles,Other Munitions,
http://data.europa.eu/xsp/cn2023/360340000080,360340000080,3603 40 00,Detonating caps,Arms,Ordnance and Missiles,Other Munitions,
http://data.europa.eu/xsp/cn2023/360350000080,360350000080,3603 50 00,Igniters,Arms,Ordnance and Missiles,Other Munitions,
http://data.europa.eu/xsp/cn2023/360360000080,360360000080,3603 60 00,Electric detonators (excl. grenade detonators),Arms,Ordnance and Missiles,Other Munitions,
http://data.europa.eu/xsp/cn2023/401100000080,401100000080,4011,"New pneumatic tyres, of rubber",,,,
http://data.europa.eu/xsp/cn2023/401110000080,401110000080,4011 10 00,"New pneumatic tyres, of rubber, of a kind used for motor cars, incl. station wagons and racing cars",Dual,Land Vehicles,Land Vehicles,
http://data.europa.eu/xsp/cn2023/401120000080,401120000080,4011 20,"New pneumatic tyres, of rubber, of a kind used for buses and lorries (excl. tyres with lug, corner or similar treads)",Dual,Land Vehicles,Land Vehicles,
http://data.europa.eu/xsp/cn2023/401120100080,401120100080,4011 20 10,"Pneumatic tyres, new, of rubber, of a kind used for buses or lorries, with a load index of <= 121",Dual,Land Vehicles,Land Vehicles,
http://data.europa.eu/xsp/cn2023/401120900080,401120900080,4011 20 90,"Pneumatic tyres, new, of rubber, of a kind used for buses or lorries, with a load index of > 121",Dual,Land Vehicles,Land Vehicles,
http://data.europa.eu/xsp/cn2023/401130000080,401130000080,4011 30 00,"New pneumatic tyres, of rubber, of a kind used for aircraft",Dual,Aerospace,Aerospace,
http://data.europa.eu/xsp/cn2023/401140000080,401140000080,4011 40 00,"New pneumatic tyres, of rubber, of a kind used for motorcycles",Dual,Land Vehicles,Land Vehicles,
http://data.europa.eu/xsp/cn2023/401150000080,401150000080,4011 50 00,"New pneumatic tyres, of rubber, of a kind used for bicycles",Dual,Land Vehicles,Land Vehicles,
http://data.europa.eu/xsp/cn2023/401170000080,401170000080,4011 70 00,"New pneumatic tyres, of rubber, of a kind used on agricultural or forestry vehicles and machines",Dual,Land Vehicles,Land Vehicles,
http://data.europa.eu/xsp/cn2023/401180000080,401180000080,4011 80 00,"New pneumatic tyres, of rubber, of a kind used on construction, mining or industrial handling vehicles and machines",Dual,Land Vehicles,Land Vehicles,
http://data.europa.eu/xsp/cn2023/401190000080,401190000080,4011 90 00,"New pneumatic tyres, of rubber (excl. of a kind used on agricultural, forestry, construction, mining or industrial handling vehicles and machines, for motor cars, station wagons, racing cars, buses, lorries, aircraft, motorcycles and bicycles)",Dual,Land Vehicles,Land Vehicles,
http://data.europa.eu/xsp/cn2023/401200000080,401200000080,4012,"Retreaded or used pneumatic tyres of rubber; solid or cushion tyres, tyre treads and tyre flaps, of rubber",,,,
http://data.europa.eu/xsp/cn2023/401211000080,401211000080,4012 11 00,"Retreaded pneumatic tyres, of rubber, of a kind used on motor cars ""incl. station wagons and racing cars""",Dual,Land Vehicles,Land Vehicles,
http://data.europa.eu/xsp/cn2023/401212000080,401212000080,4012 12 00,"Retreaded pneumatic tyres, of rubber, of a kind used on buses or lorries",Dual,Land Vehicles,Land Vehicles,
http://data.europa.eu/xsp/cn2023/401213000080,401213000080,4012 13 00,"Retreaded pneumatic tyres, of rubber, of a kind used on aircraft",Dual,Aerospace,Aerospace,
http://data.europa.eu/xsp/cn2023/401219000080,401219000080,4012 19 00,"Retreaded pneumatic tyres, of rubber (excl. of a kind used on motor cars, station wagons, racing cars, buses, lorries and aircraft)",Dual,Land Vehicles,Land Vehicles,
http://data.europa.eu/xsp/cn2023/401220000080,401220000080,4012 20 00,Used pneumatic tyres of rubber,Dual,Cross-Platform,Cross-Platform,
http://data.europa.eu/xsp/cn2023/401290000080,401290000080,4012 90,"Solid or cushion tyres, interchangeable tyre treads and tyre flaps, of rubber",,,,
http://data.europa.eu/xsp/cn2023/401290200080,401290200080,4012 90 20,"Solid or cushion tyres, of rubber",,,,
