TreasuryAgencyCode,MainAccountCode,GWAagencyName,a,Acct_Type,Acct_Type_Description,Admin_Bureau,ATA,Fund_Type,Fund_Type_Description,SP,MinOfBPOA,MaxOfEPOA,GWA_TAS_Name,OMBaccountName,USAIDgreenbookAccountName,FundingAgencyID,ImplementingAgencyID,AgencyCode,BureauCode,SubfunctionCode,BEAcategory,dac_sector_code,USAIDgreenbookImplementingAgencyID,USAIDgreenbookImplementingSubagencyID,USAIDgreenbookFundingAgencyID,implementing_partner_type,assistance_category_id,CSIScreatedDate,CSISmodifiedDate,CSISmodifiedBy,totalFPDSandFAADSamount,topFundingAgencyIDtotalamount,IsManualOverride,IsOffsetAccount,IsGWATAScode,istofix,IsManualOMBagencyOrBureau,AccountTitle,IsOMBvsGreenbookContradiction,IsOperatingExpense,IsMultiFundingAgency,IsMultiImplementingAgency,FPDSandFAADSaccountTitle,IsFMS,ColorOfMoney
-1,-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2016-03-04 12:12:47.8870000,2016-03-04 12:12:47.8870000,CSIS\GSanders,NULL,NULL,0,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2016-03-04 12:12:47.8870000,2016-03-04 12:12:47.8870000,CSIS\GSanders,NULL,NULL,0,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-1,46,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,National Transportation Policy Study Commission,NULL,NULL,NULL,423,0,407,Discretionary,NULL,NULL,NULL,NULL,NULL,NULL,2016-03-04 12:12:47.8870000,2016-03-04 12:12:47.8870000,CSIS\GSanders,NULL,NULL,0,NULL,0,0,0,National Transportation Policy Study Commission,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-1,52,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Salaries and expenses,NULL,NULL,NULL,325,0,403,Discretionary,NULL,NULL,NULL,NULL,NULL,NULL,2016-03-04 12:12:47.8870000,2016-03-04 12:12:47.8870000,CSIS\GSanders,NULL,NULL,0,NULL,0,0,0,Salaries and expenses,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-1,53,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Salaries and expenses,NULL,NULL,NULL,332,0,401,Discretionary,NULL,NULL,NULL,NULL,NULL,NULL,2016-03-04 12:12:47.8870000,2016-03-04 12:12:47.8870000,CSIS\GSanders,NULL,NULL,0,NULL,0,0,0,Salaries and expenses,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-1,58,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Salaries and expenses,NULL,NULL,NULL,384,0,452,Discretionary,NULL,NULL,NULL,NULL,NULL,NULL,2016-03-04 12:12:47.8870000,2016-03-04 12:12:47.8870000,CSIS\GSanders,NULL,NULL,0,NULL,0,0,0,Salaries and expenses,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-1,59,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,National commission on the financing of postsecondary educ,NULL,NULL,NULL,407,0,502,Discretionary,NULL,NULL,NULL,NULL,NULL,NULL,2016-03-04 12:12:47.8870000,2016-03-04 12:12:47.8870000,CSIS\GSanders,NULL,NULL,0,NULL,0,0,0,National commission on the financing of postsecondary educ,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-1,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Salaries and expenses,NULL,NULL,NULL,334,0,153,Discretionary,NULL,NULL,NULL,NULL,NULL,NULL,2016-03-04 12:12:47.8870000,2016-03-04 12:12:47.8870000,CSIS\GSanders,NULL,NULL,0,NULL,0,0,0,Salaries and expenses,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-1,61,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Salaries and expenses,NULL,NULL,NULL,410,0,304,Discretionary,NULL,NULL,NULL,NULL,NULL,NULL,2016-03-04 12:12:47.8870000,2016-03-04 12:12:47.8870000,CSIS\GSanders,NULL,NULL,0,NULL,0,0,0,Salaries and expenses,NULL,NULL,NULL,NULL,NULL,NULL,NULL
-1,63,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,National Commission for the Review of Federal and State,NULL,NULL,NULL,396,0,751,Discretionary,NULL,NULL,NULL,NULL,NULL,NULL,2016-03-04 12:12:47.8870000,2016-03-04 12:12:47.8870000,CSIS\GSanders,NULL,NULL,0,NULL,0,0,0,National Commission for the Review of Federal and State,NULL,NULL,NULL,NULL,NULL,NULL,NULL
