"Fiscal Year","Product or Service Code","Product or Service Description","Action Obligation","Actions"
"1995","1005","GUNS, THROUGH 30 MM","$334,929,000.00","532"
"1995","1010","GUNS, OVER 30 MM UP TO 75 MM","$36,476,000.00","40"
"1995","1015","GUNS, 75 MM THROUGH 125 MM","$30,919,000.00","114"
"1995","1020","GUNS OVER 125 MM THROUGH 150 MM","$22,433,000.00","14"
"1995","1025","GUNS OVER 150 MM THROUGH 200 MM","$120,341,000.00","53"
"1995","1030","GUNS OVER 200 MM THROUGH 300 MM","$72,000.00","4"
"1995","1040","CHEMICAL WEAPONS AND EQUIPMENT","$272,000.00","9"
"1995","1045","LAUNCHERS, TORPEDO AND DEPTH CHARGE","$1,182,000.00","10"
"1995","1055","LAUNCHERS, ROCKET AND PYROTECHNIC","$8,146,000.00","46"
"1995","1075","DEGAUSSING & MINE SWEEPING EQUIPMEN","$5,012,000.00","62"
"1995","1080","CAMOUFLAGE AND DECEPTION EQUIPMENT","$505,000.00","8"
"1995","1090","WPNS ASSY INTERCHANGE BETWN 2/MORE","$1,262,000.00","12"
"1995","1095","MISCELLANEOUS WEAPONS","$370,329,000.00","160"
"1995","1110","NUCLEAR PROJECTILES","$2,063,000.00","9"
"1995","1135","FUZING & FIRING DEVICES, NUCLEAR OR","$63,000.00","2"
"1995","1140","NUCLEAR COMPONENTS","$11,010,200.00","22"
"1995","1145","EXPLOSIVE & PYROTECHNIC COMPS, NUCL","$41,000.00","2"
"1995","1190","SPEC TEST & HANDLING EQ, NUCLEAR EQ","$14,270,000.00","19"
"1995","1195","MISCELLANEOUS NUCLEAR ORDNANCE","$1,770,000.00","6"
"1995","1210","FIRE CONTROL DIRECTORS","$11,222,000.00","6"
"1995","1220","FIRE CONT COMPUTING SIGHTS & DEVICE","$2,862,000.00","35"
"1995","1230","FIRE CONTROL SYSTEMS, COMPLETE","$9,037,000.00","22"
"1995","1240","OPTICAL SIGHTING & RANGING EQUIPMEN","$19,867,000.00","119"
"1995","1250","FIRE CONTROL STABILIZING MECHANISMS","$5,967,000.00","15"
"1995","1260","FIRE CONT DESIGNATING-INDICATING EQ","$45,979,000.00","40"
"1995","1265","FIRE CONT EQ EXCEPT AIRBORNE","$2,691,000.00","11"
"1995","1270","AIRCRAFT GUNNERY FIRE CONT COMPS","$348,582,000.00","265"
"1995","1280","AIRCRAFT BOMBING FIRE CONT COMPS","$45,802,000.00","34"
"1995","1285","FIRE CONT RADAR EQ EXCEPT AIRBORNE","$25,719,000.00","168"
"1995","1287","FIRE CONTROL SONAR EQUIPMENT","$15,705,000.00","12"
"1995","1290","MISC FIRE CONT EQUIPMENT","$80,421,000.00","160"
"1995","1305","AMMUNITION, THROUGH 30 MM","$146,352,000.00","530"
"1995","1310","AMMUNITION, OVER 30 MM UP TO 75 MM","$31,754,000.00","46"
"1995","1315","AMMUNITION, 75 MM THROUGH 125 MM.","$159,077,000.00","65"
"1995","1320","AMMUNITION, OVER 125 MM","$39,505,000.00","35"
"1995","1325","BOMBS","$138,783,000.00","87"
"1995","1330","GRENADES","$3,043,000.00","14"
"1995","1336","GUIDED MSL WARHDS-EXPLOSIVE COMPS","$95,263,000.00","36"
"1995","1337","MSL & SPACE VEH EXPLOSIVE PROPULSN","$17,559,000.00","25"
"1995","1338","MSL & SPACE VEH INERT PROPULSION","$6,817,000.00","13"
"1995","1340","ROCKETS & ROCKET AMMUNITION","$152,504,000.00","41"
"1995","1345","LAND MINES","$91,774,000.00","21"
"1995","1350","UNDERWATER MINE INERT COMPONENTS","$1,408,000.00","10"
"1995","1351","UNDERWATER MINE EXPLOSIVE COMPS","$586,000.00","4"
"1995","1355","TORPEDO INERT COMPONENTS","$85,809,000.00","75"
"1995","1356","TORPEDO EXPLOSIVE COMPONENTS","$962,000.00","5"
"1995","1365","MILITARY CHEMICAL AGENTS","$214,000.00","5"
"1995","1370","PYROTECHNICS","$50,509,000.00","73"
"1995","1375","DEMOLITION MATERIALS","$15,002,000.00","66"
"1995","1376","BULK EXPLOSIVES","$11,877,000.00","21"
"1995","1377","CARTRIDGE & PROPELLANT DEVICES","$68,726,000.00","599"
"1995","1385","SURFACE EXPLOSIVE ORD DISPOSAL TOOL","$1,845,000.00","17"
"1995","1386","UNDERWATER EXPLOSIVE ORD DISPOSAL","$215,000.00","13"
"1995","1390","FUZES AND PRIMERS","$88,421,000.00","70"
"1995","1395","MISCELLANEOUS AMMUNITION","$1,207,000.00","20"
"1995","1398","AMMUNITION HANDLING & SERVICING EQ","$464,000.00","7"
"1995","1410","GUIDED MISSILES","$1,636,476,000.00","328"
"1995","1420","GUIDED MISSILE COMPONENTS","$967,270,000.00","449"
"1995","1425","GUIDED MISSILE SYSTEMS, COMPLETE","$200,897,000.00","76"
"1995","1427","GUIDED MISSILE SUBSYSTEMS","$269,838,000.00","82"
"1995","1430","GUIDED MISSILE REMOTE CONT SYSTEMS","$82,363,000.00","202"
"1995","1440","LAUNCHERS, GUIDED MISSILE","$674,752,000.00","309"
"1995","1450","GUIDED MISSILE HANDLING SERVICE EQ","$86,312,000.00","78"
"1995","1510","AIRCRAFT, FIXED WING","$7,908,800,000.00","675"
"1995","1520","AIRCRAFT, ROTARY WING","$798,935,000.00","119"
"1995","1540","GLIDERS","$381,000.00","2"
"1995","1550","DRONES","$42,927,000.00","19"
"1995","1560","AIRFRAME STRUCTURAL COMPONENTS","$689,551,000.00","2,653"
"1995","1610","AIRCRAFT PROPELLERS AND COMPONENTS","$20,792,000.00","103"
