"Fiscal Year","Product or Service Code","Product or Service Description","Action Obligation","Actions"
"2005","1005","GUNS, THROUGH 30 MM","$1,064,533,874.79","4,035"
"2005","1010","GUNS, OVER 30 MM UP TO 75 MM","$82,333,404.75","574"
"2005","1015","GUNS, 75 MM THROUGH 125 MM","$45,053,183.74","655"
"2005","1020","GUNS OVER 125 MM THROUGH 150 MM","$63,861,892.97","123"
"2005","1025","GUNS OVER 150 MM THROUGH 200 MM","$251,881,491.20","305"
"2005","1030","GUNS OVER 200 MM THROUGH 300 MM","$596,878.50","36"
"2005","1035","GUNS, OVER 300 MM","$1,079,610.64","22"
"2005","1040","CHEMICAL WEAPONS AND EQUIPMENT","$21,979,560.99","138"
"2005","1045","LAUNCHERS, TORPEDO AND DEPTH CHARGE","$19,533,333.51","82"
"2005","1055","LAUNCHERS, ROCKET AND PYROTECHNIC","$57,755,547.58","233"
"2005","1070","NETS AND BOOMS, ORDNANCE","$767,782.21","15"
"2005","1075","DEGAUSSING & MINE SWEEPING EQUIPMEN","$19,884,687.50","104"
"2005","1080","CAMOUFLAGE AND DECEPTION EQUIPMENT","$136,507,472.62","92"
"2005","1090","WPNS ASSY INTERCHANGE BETWN 2/MORE","$7,541,860.30","91"
"2005","1095","MISCELLANEOUS WEAPONS","$860,216,620.10","1,294"
"2005","1105","NUCLEAR BOMBS","$196,469.00","7"
"2005","1110","NUCLEAR PROJECTILES","$142,489.23","2"
"2005","1115","NUCLEAR WARHEADS & WARHEAD SECTIONS","$5,067,420.00","2"
"2005","1127","NUCLEAR ROCKETS","-$887.00","1"
"2005","1130","CONVERSION KITS, NUCLEAR ORDNANCE","$70,941.44","3"
"2005","1135","FUZING & FIRING DEVICES, NUCLEAR OR","$3,303,426.00","9"
"2005","1140","NUCLEAR COMPONENTS","$625,649,327.00","4"
"2005","1145","EXPLOSIVE & PYROTECHNIC COMPS, NUCL","$734,261.93","16"
"2005","1190","SPEC TEST & HANDLING EQ, NUCLEAR EQ","$14,539,386.07","71"
"2005","1195","MISCELLANEOUS NUCLEAR ORDNANCE","$24,206.00","4"
"2005","1210","FIRE CONTROL DIRECTORS","$2,343,071.00","21"
"2005","1220","FIRE CONT COMPUTING SIGHTS & DEVICE","$309,253,573.95","117"
"2005","1230","FIRE CONTROL SYSTEMS, COMPLETE","$132,632,118.27","166"
"2005","1240","OPTICAL SIGHTING & RANGING EQUIPMEN","$571,388,987.56","872"
"2005","1250","FIRE CONTROL STABILIZING MECHANISMS","$398,018.99","21"
"2005","1260","FIRE CONT DESIGNATING-INDICATING EQ","$62,127,879.24","97"
"2005","1265","FIRE CONT EQ EXCEPT AIRBORNE","$176,276,092.00","92"
"2005","1270","AIRCRAFT GUNNERY FIRE CONT COMPS","$115,286,115.00","314"
"2005","1280","AIRCRAFT BOMBING FIRE CONT COMPS","$5,931,978.00","77"
"2005","1285","FIRE CONT RADAR EQ EXCEPT AIRBORNE","$5,727,422.00","133"
"2005","1287","FIRE CONTROL SONAR EQUIPMENT","$181,210,857.20","49"
"2005","1290","MISC FIRE CONT EQUIPMENT","$50,154,163.14","386"
"2005","1305","AMMUNITION, THROUGH 30 MM","$1,009,213,678.44","1,023"
"2005","1310","AMMUNITION, OVER 30 MM UP TO 75 MM","$349,850,672.84","487"
"2005","1315","AMMUNITION, 75 MM THROUGH 125 MM.","$352,033,514.56","181"
"2005","1320","AMMUNITION, OVER 125 MM","$165,945,106.04","103"
"2005","1325","BOMBS","$1,065,823,113.00","171"
"2005","1330","GRENADES","$57,792,283.12","77"
"2005","1336","GUIDED MSL WARHDS-EXPLOSIVE COMPS","$21,178,347.51","49"
"2005","1337","MSL & SPACE VEH EXPLOSIVE PROPULSN","$172,752,807.50","61"
"2005","1338","MSL & SPACE VEH INERT PROPULSION","$1,903,316.00","16"
"2005","1340","ROCKETS & ROCKET AMMUNITION","$368,141,605.09","157"
"2005","1345","LAND MINES","$15,390,852.98","19"
"2005","1350","UNDERWATER MINE INERT COMPONENTS","$626,984.00","10"
"2005","1351","UNDERWATER MINE EXPLOSIVE COMPS","$484,784.00","3"
"2005","1355","TORPEDO INERT COMPONENTS","$4,014,328.00","23"
"2005","1356","TORPEDO EXPLOSIVE COMPONENTS","$174,400.00","3"
"2005","1360","DEPTH CHARGE INERT COMPONENTS","$12,932.20","1"
"2005","1361","DEPTH CHARGE EXPLOSIVE COMPONENTS","$104,133.00","4"
"2005","1365","MILITARY CHEMICAL AGENTS","$418,493.81","48"
"2005","1370","PYROTECHNICS","$229,693,535.64","207"
"2005","1375","DEMOLITION MATERIALS","$48,494,605.01","200"
"2005","1376","BULK EXPLOSIVES","$77,459,299.14","92"
"2005","1377","CARTRIDGE & PROPELLANT DEVICES","$87,192,704.53","524"
"2005","1385","SURFACE EXPLOSIVE ORD DISPOSAL TOOL","$110,621,211.69","116"
"2005","1386","UNDERWATER EXPLOSIVE ORD DISPOSAL","$392,635.00","20"
"2005","1390","FUZES AND PRIMERS","$149,617,063.55","406"
"2005","1395","MISCELLANEOUS AMMUNITION","$154,564,388.99","296"
"2005","1398","AMMUNITION HANDLING & SERVICING EQ","$7,748,895.09","124"
"2005","1410","GUIDED MISSILES","$2,670,930,213.88","465"
"2005","1420","GUIDED MISSILE COMPONENTS","$1,654,024,331.00","528"
"2005","1425","GUIDED MISSILE SYSTEMS, COMPLETE","$257,263,784.00","78"
"2005","1427","GUIDED MISSILE SUBSYSTEMS","$145,874,970.00","64"
"2005","1430","GUIDED MISSILE REMOTE CONT SYSTEMS","$45,487,753.00","333"
"2005","1440","LAUNCHERS, GUIDED MISSILE","$255,608,330.54","446"
"2005","1450","GUIDED MISSILE HANDLING SERVICE EQ","$25,919,315.00","149"
"2005","1510","AIRCRAFT, FIXED WING","$11,757,457,488.31","1,534"
"2005","1520","AIRCRAFT, ROTARY WING","$2,398,276,923.65","359"
