"Fiscal Year","Product or Service Code","Product or Service Description","Action Obligation","Actions"
"2000","1005","GUNS, THROUGH 30 MM","$241,042,145.00","532"
"2000","1010","GUNS, OVER 30 MM UP TO 75 MM","$46,001,245.00","112"
"2000","1015","GUNS, 75 MM THROUGH 125 MM","$13,238,799.00","90"
"2000","1020","GUNS OVER 125 MM THROUGH 150 MM","$129,644,312.00","32"
"2000","1025","GUNS OVER 150 MM THROUGH 200 MM","$12,088,090.00","26"
"2000","1030","GUNS OVER 200 MM THROUGH 300 MM","$230,852.00","1"
"2000","1035","GUNS, OVER 300 MM","$47,414.00","1"
"2000","1040","CHEMICAL WEAPONS AND EQUIPMENT","$16,515,649.00","15"
"2000","1045","LAUNCHERS, TORPEDO AND DEPTH CHARGE","$4,857,880.00","13"
"2000","1055","LAUNCHERS, ROCKET AND PYROTECHNIC","$120,897,851.00","38"
"2000","1070","NETS AND BOOMS, ORDNANCE","$38,899,870.00","121"
"2000","1075","DEGAUSSING & MINE SWEEPING EQUIPMEN","$2,222,587.00","29"
"2000","1080","CAMOUFLAGE AND DECEPTION EQUIPMENT","$8,805,889.00","15"
"2000","1090","WPNS ASSY INTERCHANGE BETWN 2/MORE","$679,829.00","8"
"2000","1095","MISCELLANEOUS WEAPONS","$587,002,468.00","242"
"2000","1115","NUCLEAR WARHEADS & WARHEAD SECTIONS","$40,920.00","1"
"2000","1127","NUCLEAR ROCKETS","$2,400,000.00","1"
"2000","1130","CONVERSION KITS, NUCLEAR ORDNANCE","$90,000.00","1"
"2000","1135","FUZING & FIRING DEVICES, NUCLEAR OR","$80,657.00","2"
"2000","1140","NUCLEAR COMPONENTS","-$3,410,000.00","5"
"2000","1190","SPEC TEST & HANDLING EQ, NUCLEAR EQ","$4,164,694.00","14"
"2000","1195","MISCELLANEOUS NUCLEAR ORDNANCE","$1,378,893.00","2"
"2000","1210","FIRE CONTROL DIRECTORS","$7,517,737.00","2"
"2000","1220","FIRE CONT COMPUTING SIGHTS & DEVICE","$36,952,127.00","20"
"2000","1230","FIRE CONTROL SYSTEMS, COMPLETE","$72,367,430.00","36"
"2000","1240","OPTICAL SIGHTING & RANGING EQUIPMEN","$79,602,649.00","154"
"2000","1250","FIRE CONTROL STABILIZING MECHANISMS","$821,144.00","2"
"2000","1260","FIRE CONT DESIGNATING-INDICATING EQ","$10,207,153.00","60"
"2000","1265","FIRE CONT EQ EXCEPT AIRBORNE","$23,389,824.00","20"
"2000","1270","AIRCRAFT GUNNERY FIRE CONT COMPS","$115,877,521.00","196"
"2000","1280","AIRCRAFT BOMBING FIRE CONT COMPS","$38,433,760.00","25"
"2000","1285","FIRE CONT RADAR EQ EXCEPT AIRBORNE","$17,707,414.00","49"
"2000","1287","FIRE CONTROL SONAR EQUIPMENT","$277,970.00","7"
"2000","1290","MISC FIRE CONT EQUIPMENT","$57,711,754.00","131"
"2000","1305","AMMUNITION, THROUGH 30 MM","$333,327,153.00","625"
"2000","1310","AMMUNITION, OVER 30 MM UP TO 75 MM","$79,622,806.00","61"
"2000","1315","AMMUNITION, 75 MM THROUGH 125 MM.","$200,835,920.00","93"
"2000","1320","AMMUNITION, OVER 125 MM","$86,585,288.00","52"
"2000","1325","BOMBS","$358,595,694.00","68"
"2000","1330","GRENADES","$15,766,346.00","20"
"2000","1336","GUIDED MSL WARHDS-EXPLOSIVE COMPS","$45,489,139.00","39"
"2000","1337","MSL & SPACE VEH EXPLOSIVE PROPULSN","$9,850,896.00","6"
"2000","1338","MSL & SPACE VEH INERT PROPULSION","$212,552,000.00","35"
"2000","1340","ROCKETS & ROCKET AMMUNITION","$284,643,206.00","52"
"2000","1345","LAND MINES","$24,782,450.00","17"
"2000","1350","UNDERWATER MINE INERT COMPONENTS","$125,209.00","3"
"2000","1351","UNDERWATER MINE EXPLOSIVE COMPS","$15,985,256.00","4"
"2000","1355","TORPEDO INERT COMPONENTS","$35,470,301.00","25"
"2000","1356","TORPEDO EXPLOSIVE COMPONENTS","$1,212,340.00","4"
"2000","1365","MILITARY CHEMICAL AGENTS","$657,117.00","8"
"2000","1370","PYROTECHNICS","$70,314,577.00","73"
"2000","1375","DEMOLITION MATERIALS","$11,471,414.00","45"
"2000","1376","BULK EXPLOSIVES","$31,910,644.00","14"
"2000","1377","CARTRIDGE & PROPELLANT DEVICES","$69,037,168.00","296"
"2000","1385","SURFACE EXPLOSIVE ORD DISPOSAL TOOL","$10,515,079.00","18"
"2000","1386","UNDERWATER EXPLOSIVE ORD DISPOSAL","$4,767,110.00","4"
"2000","1390","FUZES AND PRIMERS","$69,072,584.00","37"
"2000","1395","MISCELLANEOUS AMMUNITION","$56,987,465.90","49"
"2000","1398","AMMUNITION HANDLING & SERVICING EQ","$1,817,795.00","11"
"2000","1410","GUIDED MISSILES","$1,803,071,774.00","234"
"2000","1420","GUIDED MISSILE COMPONENTS","$486,977,575.00","230"
"2000","1425","GUIDED MISSILE SYSTEMS, COMPLETE","$491,904,256.00","60"
"2000","1427","GUIDED MISSILE SUBSYSTEMS","$409,215,843.00","58"
"2000","1430","GUIDED MISSILE REMOTE CONT SYSTEMS","$111,686,081.00","152"
"2000","1440","LAUNCHERS, GUIDED MISSILE","$300,366,140.00","171"
"2000","1450","GUIDED MISSILE HANDLING SERVICE EQ","$98,435,887.00","50"
"2000","1510","AIRCRAFT, FIXED WING","$11,561,969,668.00","755"
"2000","1520","AIRCRAFT, ROTARY WING","$1,531,954,360.00","149"
"2000","1550","DRONES","$106,274,990.00","62"
"2000","1560","AIRFRAME STRUCTURAL COMPONENTS","$1,069,542,725.00","3,020"
"2000","1610","AIRCRAFT PROPELLERS AND COMPONENTS","$11,282,693.00","62"
"2000","1615","HELICOPTER ROTOR BLADES-DRIVE MECH","$383,636,788.00","659"
"2000","1620","AIRCRAFT LANDING GEAR COMPONENTS","$135,057,328.00","439"
"2000","1630","AIRCRAFT WHEEL AND BRAKE SYSTEMS","$178,678,741.00","383"
"2000","1650","AIRCRAFT HYDRAULIC VACUUM DE-ICING","$164,852,409.00","1,050"
"2000","1660","AIRCRAFT AIR CONDITION HEATING EQ","$92,282,203.00","675"
"2000","1670","PARACHUTE RECOVER SYS & TIE DOWN EQ","$81,323,663.00","317"
"2000","1680","MISCL AIRCRAFT ACCESSORIES COMPS","$1,399,486,435.00","1,855"
"2000","1710","AIRCRAFT LANDING EQUIPMENT","$40,115,080.00","75"
"2000","1720","AIRCRAFT LAUNCHING EQUIPMENT","$57,043,324.00","50"
"2000","1730","AIRCRAFT GROUND SERVICING EQUIPMENT","$97,464,982.00","350"
"2000","1740","AIRFIELD SPECIAL TRUCKS & TRAILERS","$17,930,054.00","57"
"2000","1810","SPACE VEHICLES","$379,422,774.09","182"
"2000","1820","SPACE VEHICLE COMPONENTS","$109,462,492.00","108"
"2000","1830","SPACE VEHICLE REMOTE CONT SYSTEMS","$35,740,525.00","12"
"2000","1840","SPACE VEHICLE LAUNCHERS","$28,161,337.00","8"
"2000","1850","SPACE VEHICLE HANDLING & SERVICE EQ","$4,748,762.00","10"
"2000","1860","SPACE SURVIVAL EQUIPMENT","$4,869,567.00","20"
"2000","1900","Frigates and Corvettes","$649,000.00","1"
"2000","1901","AIRCRAFT CARRIERS","$236,031,048.00","202"
"2000","1902","CRUISERS","$36,093,384.00","83"
"2000","1903","DESTROYERS","$1,187,972,417.00","1,004"
"2000","1904","SUBMARINES","$342,609,258.00","445"
"2000","1905","COMBAT SHIPS AND LANDING VESSELS","$100,000.00","1"
"2000","1906","MINELAYERS ADN MINESWEEPERS","$12,970,716.00","6"
"2000","1907","LANDING CRAFT","$1,241,428.00","14"
"2000","1908","TORPEDO BOATS AND GUN BOATS","$12,714,866.00","56"
"2000","1910","TRANSPORT VESSELS-PASSENGER & TROOP","$20,537,916.00","38"
"2000","1911","AMPHIBIOUS ASSAULT SHIPS","$1,085,679,769.00","160"
"2000","1915","CARGO AND TANKER VESSELS","$20,520,787.00","2"
"2000","1920","FISHING VESSELS","$1,826,881.00","25"
