"Fiscal Year","Contracting Department ID","Contracting Department Name","Contracting Agency Name","Contracting Agency ID","Action Obligation","Actions"
"2010","0300","LIBRARY OF CONGRESS","LIBRARY OF CONGRESS","0300","$5,500.00","14"
"2010","0500","GENERAL ACCOUNTING OFFICE","GAO, EXCEPT COMPTROLLER GENERAL","0559","$511,920.65","17"
"2010","1100","EXECUTIVE OFFICE OF THE PRESIDENT","EXECUTIVE OFFICE OF THE PRESIDENT","1100","$54,515,678.91","602"
"2010","1145","PEACE CORPS","PEACE CORPS","1145","$18,076,318.00","439"
"2010","1153","UNITED STATES TRADE AND DEVELOPMENT AGENCY","UNITED STATES TRADE AND DEVELOPMENT AGENCY","1153","$13,223,055.03","161"
"2010","1200","AGRICULTURE, DEPARTMENT OF","AGRICULTURAL MARKETING SERVICE","12K2","$1,576,752.40","266"
"2010","1200","AGRICULTURE, DEPARTMENT OF","AGRICULTURAL RESEARCH SERVICE","12H2","$279,963,103.00","2,931"
"2010","1200","AGRICULTURE, DEPARTMENT OF","ANIMAL AND PLANT HEALTH INSPECTION SERVICE","12K3","$89,231,436.26","2,707"
"2010","1200","AGRICULTURE, DEPARTMENT OF","FARM SERVICE AGENCY","12D2","$121,955,915.58","647"
"2010","1200","AGRICULTURE, DEPARTMENT OF","FOOD AND NUTRITION SERVICE","12F2","$79,086,008.35","539"
"2010","1200","AGRICULTURE, DEPARTMENT OF","FOOD SAFETY AND INSPECTION SERVICE","12G2","$53,361,994.29","694"
"2010","1200","AGRICULTURE, DEPARTMENT OF","FOREST SERVICE","12C2","$1,581,138,067.99","32,749"
"2010","1200","AGRICULTURE, DEPARTMENT OF","NATURAL RESOURCES CONSERVATION SERVICE","12C3","$173,198,138.52","4,196"
"2010","1200","AGRICULTURE, DEPARTMENT OF","OFFICE OF INSPECTOR GENERAL","1204","$1,592,918.43","81"
"2010","1200","AGRICULTURE, DEPARTMENT OF","RISK MANAGEMENT AGENCY","12D4","-$6,298.03","2"
"2010","1200","AGRICULTURE, DEPARTMENT OF","RURAL HOUSING SERVICE","12E3","$134,851,433.29","8,031"
"2010","1200","AGRICULTURE, DEPARTMENT OF","USDA, OFFICE OF THE CHIEF FINANCIAL OFFICER","1205","$357,572,480.90","1,981"
"2010","1300","COMMERCE, DEPARTMENT OF","BUREAU OF THE CENSUS","1323","$1,230,216,013.01","2,401"
"2010","1300","COMMERCE, DEPARTMENT OF","NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY","1341","$359,200,952.01","2,749"
"2010","1300","COMMERCE, DEPARTMENT OF","NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION","1330","$1,295,746,853.44","9,747"
