"Fiscal Year","Product or Service Code","Product or Service Description","Action Obligation","Actions"
"1990","1005","GUNS, THROUGH 30 MM","$336,100,000.00","475"
"1990","1010","GUNS, OVER 30 MM UP TO 75 MM","$18,021,000.00","24"
"1990","1015","GUNS, 75 MM THROUGH 125 MM","$39,600,000.00","148"
"1990","1020","GUNS OVER 125 MM THROUGH 150 MM","$15,437,000.00","22"
"1990","1025","GUNS OVER 150 MM THROUGH 200 MM","$13,182,000.00","60"
"1990","1030","GUNS OVER 200 MM THROUGH 300 MM","$313,000.00","4"
"1990","1035","GUNS, OVER 300 MM","$208,000.00","4"
"1990","1040","CHEMICAL WEAPONS AND EQUIPMENT","$7,362,000.00","15"
"1990","1045","LAUNCHERS, TORPEDO AND DEPTH CHARGE","$17,292,000.00","27"
"1990","1055","LAUNCHERS, ROCKET AND PYROTECHNIC","$92,544,000.00","49"
"1990","1070","NETS AND BOOMS, ORDNANCE","$84,000.00","2"
"1990","1075","DEGAUSSING & MINE SWEEPING EQUIPMEN","$7,963,000.00","54"
"1990","1080","CAMOUFLAGE AND DECEPTION EQUIPMENT","$44,700,000.00","38"
"1990","1090","WPNS ASSY INTERCHANGE BETWN 2/MORE","$3,919,000.00","25"
"1990","1095","MISCELLANEOUS WEAPONS","$593,643,000.00","114"
"1990","1105","NUCLEAR BOMBS","$4,085,000.00","9"
"1990","1115","NUCLEAR WARHEADS & WARHEAD SECTIONS","$23,573,000.00","6"
"1990","1135","FUZING & FIRING DEVICES, NUCLEAR OR","$624,000.00","10"
"1990","1140","NUCLEAR COMPONENTS","$57,181,400.00","40"
"1990","1145","EXPLOSIVE & PYROTECHNIC COMPS, NUCL","$168,000.00","3"
"1990","1190","SPEC TEST & HANDLING EQ, NUCLEAR EQ","$1,691,000.00","26"
"1990","1195","MISCELLANEOUS NUCLEAR ORDNANCE","$489,000.00","7"
"1990","1210","FIRE CONTROL DIRECTORS","$44,887,000.00","18"
"1990","1220","FIRE CONT COMPUTING SIGHTS & DEVICE","$30,865,000.00","36"
"1990","1230","FIRE CONTROL SYSTEMS, COMPLETE","$380,999,000.00","100"
"1990","1240","OPTICAL SIGHTING & RANGING EQUIPMEN","$169,043,000.00","114"
"1990","1250","FIRE CONTROL STABILIZING MECHANISMS","$69,000.00","1"
"1990","1260","FIRE CONT DESIGNATING-INDICATING EQ","$39,790,000.00","66"
"1990","1265","FIRE CONT EQ EXCEPT AIRBORNE","$73,009,000.00","84"
"1990","1270","AIRCRAFT GUNNERY FIRE CONT COMPS","$335,644,000.00","285"
"1990","1280","AIRCRAFT BOMBING FIRE CONT COMPS","$112,223,000.00","109"
"1990","1285","FIRE CONT RADAR EQ EXCEPT AIRBORNE","$23,485,000.00","147"
"1990","1287","FIRE CONTROL SONAR EQUIPMENT","$11,875,000.00","21"
"1990","1290","MISC FIRE CONT EQUIPMENT","$98,089,000.00","133"
"1990","1305","AMMUNITION, THROUGH 30 MM","$166,263,000.00","495"
"1990","1310","AMMUNITION, OVER 30 MM UP TO 75 MM","$60,047,000.00","51"
"1990","1315","AMMUNITION, 75 MM THROUGH 125 MM.","$419,222,000.00","98"
"1990","1320","AMMUNITION, OVER 125 MM","$172,920,000.00","69"
"1990","1325","BOMBS","$358,732,000.00","91"
"1990","1330","GRENADES","$74,144,000.00","31"
"1990","1336","GUIDED MSL WARHDS-EXPLOSIVE COMPS","$20,284,000.00","26"
"1990","1337","MSL & SPACE VEH EXPLOSIVE PROPULSN","$44,982,000.00","23"
"1990","1338","MSL & SPACE VEH INERT PROPULSION","$3,231,000.00","11"
"1990","1340","ROCKETS & ROCKET AMMUNITION","$328,288,000.00","72"
"1990","1345","LAND MINES","$127,896,000.00","61"
"1990","1350","UNDERWATER MINE INERT COMPONENTS","$18,382,000.00","31"
"1990","1351","UNDERWATER MINE EXPLOSIVE COMPS","$4,545,000.00","9"
"1990","1355","TORPEDO INERT COMPONENTS","$469,232,000.00","106"
