"Fiscal Year","Product or Service Code","Product or Service Description","Action Obligation","Actions"
"2010","1005","GUNS, THROUGH 30 MM","$717,943,417.47","4,040"
"2010","1010","GUNS, OVER 30 MM UP TO 75 MM","$150,180,383.91","701"
"2010","1015","GUNS, 75 MM THROUGH 125 MM","$76,991,899.76","673"
"2010","1020","GUNS OVER 125 MM THROUGH 150 MM","$63,928,884.35","196"
"2010","1025","GUNS OVER 150 MM THROUGH 200 MM","$205,962,590.13","409"
"2010","1030","GUNS OVER 200 MM THROUGH 300 MM","$349,012.63","26"
"2010","1035","GUNS, OVER 300 MM","$1,259,848.27","18"
"2010","1040","CHEMICAL WEAPONS AND EQUIPMENT","$6,823,602.91","132"
"2010","1045","LAUNCHERS, TORPEDO AND DEPTH CHARGE","$25,292,729.25","60"
"2010","1055","LAUNCHERS, ROCKET AND PYROTECHNIC","$53,464,797.62","252"
"2010","1070","NETS AND BOOMS, ORDNANCE","$597,123.03","27"
"2010","1075","DEGAUSSING & MINE SWEEPING EQUIPMEN","$21,570,908.67","112"
"2010","1080","CAMOUFLAGE AND DECEPTION EQUIPMENT","$17,947,251.99","92"
"2010","1090","WPNS ASSY INTERCHANGE BETWN 2/MORE","$20,640,227.88","104"
"2010","1095","MISCELLANEOUS WEAPONS","$540,905,840.73","1,765"
"2010","1105","NUCLEAR BOMBS","$12,818.03","2"
"2010","1110","NUCLEAR PROJECTILES","$1,262,865.50","5"
"2010","1115","NUCLEAR WARHEADS & WARHEAD SECTIONS","$0.00","3"
"2010","1120","NUCLEAR DEPTH CHARGES","$36,420.00","1"
"2010","1130","CONVERSION KITS, NUCLEAR ORDNANCE","-$119,002.98","7"
"2010","1135","FUZING & FIRING DEVICES, NUCLEAR OR","$2,240,974.14","4"
"2010","1140","NUCLEAR COMPONENTS","$16,977.50","4"
"2010","1145","EXPLOSIVE & PYROTECHNIC COMPS, NUCL","$82,232,946.43","51"
"2010","1190","SPEC TEST & HANDLING EQ, NUCLEAR EQ","$1,585,184.27","42"
"2010","1195","MISCELLANEOUS NUCLEAR ORDNANCE","-$25,494.78","6"
"2010","1210","FIRE CONTROL DIRECTORS","$12,168,141.87","42"
"2010","1220","FIRE CONT COMPUTING SIGHTS & DEVICE","$7,292,402.38","161"
"2010","1230","FIRE CONTROL SYSTEMS, COMPLETE","$247,099,490.50","254"
"2010","1240","OPTICAL SIGHTING & RANGING EQUIPMEN","$869,186,482.90","1,266"
"2010","1250","FIRE CONTROL STABILIZING MECHANISMS","$16,428,637.59","21"
"2010","1260","FIRE CONT DESIGNATING-INDICATING EQ","$836,751,126.70","314"
"2010","1265","FIRE CONT EQ EXCEPT AIRBORNE","$167,042,816.44","69"
"2010","1270","AIRCRAFT GUNNERY FIRE CONT COMPS","$64,802,895.27","339"
"2010","1280","AIRCRAFT BOMBING FIRE CONT COMPS","$15,407,440.88","27"
"2010","1285","FIRE CONT RADAR EQ EXCEPT AIRBORNE","$85,452,776.42","161"
"2010","1287","FIRE CONTROL SONAR EQUIPMENT","$196,036,105.90","58"
"2010","1290","MISC FIRE CONT EQUIPMENT","$88,338,711.02","448"
"2010","1305","AMMUNITION, THROUGH 30 MM","$1,267,092,623.52","1,854"
"2010","1310","AMMUNITION, OVER 30 MM UP TO 75 MM","$413,353,955.53","359"
"2010","1315","AMMUNITION, 75 MM THROUGH 125 MM.","$284,112,285.01","254"
"2010","1320","AMMUNITION, OVER 125 MM","$398,868,702.75","288"
"2010","1325","BOMBS","$743,016,291.28","244"
"2010","1330","GRENADES","$103,910,982.06","183"
"2010","1336","GUIDED MSL WARHDS-EXPLOSIVE COMPS","$882,279,364.41","214"
"2010","1337","MSL & SPACE VEH EXPLOSIVE PROPULSN","$167,723,075.21","236"
"2010","1338","MSL & SPACE VEH INERT PROPULSION","$88,494.48","12"
"2010","1340","ROCKETS & ROCKET AMMUNITION","$48,696,621.06","181"
"2010","1345","LAND MINES","$185,804,985.62","171"
"2010","1350","UNDERWATER MINE INERT COMPONENTS","$340,816.82","14"
"2010","1351","UNDERWATER MINE EXPLOSIVE COMPS","$34,914.02","10"
"2010","1352","UNDERWATER MINE DISPOAL INERT DEVICES","$1,485,743.00","5"
"2010","1355","TORPEDO INERT COMPONENTS","$29,419,772.53","128"
"2010","1356","TORPEDO EXPLOSIVE COMPONENTS","$740,130.86","20"
"2010","1360","DEPTH CHARGE INERT COMPONENTS","$976,697,057.19","16"
"2010","1361","DEPTH CHARGE EXPLOSIVE COMPONENTS","-$140.00","1"
"2010","1365","MILITARY CHEMICAL AGENTS","$3,297,044.72","66"
"2010","1367","TACTICAL SETS, KITS, AND OUTFITS","$60,155,898.12","233"
"2010","1370","PYROTECHNICS","$273,639,833.64","363"
"2010","1375","DEMOLITION MATERIALS","$42,224,933.22","256"
"2010","1376","BULK EXPLOSIVES","$115,071,933.97","108"
"2010","1377","CARTRIDGE & PROPELLANT DEVICES","$173,035,559.17","1,310"
"2010","1385","SURFACE EXPLOSIVE ORD DISPOSAL TOOL","$254,515,697.68","335"
"2010","1386","UNDERWATER EXPLOSIVE ORD DISPOSAL","$871,890.22","19"
"2010","1390","FUZES AND PRIMERS","$185,212,202.62","123"
"2010","1395","MISCELLANEOUS AMMUNITION","$289,473,072.81","705"
"2010","1398","AMMUNITION HANDLING & SERVICING EQ","$6,196,603.76","141"
"2010","1410","GUIDED MISSILES","$5,156,726,041.21","1,124"
"2010","1420","GUIDED MISSILE COMPONENTS","$1,212,603,651.36","606"
"2010","1425","GUIDED MISSILE SYSTEMS, COMPLETE","$420,898,760.56","240"
"2010","1427","GUIDED MISSILE SUBSYSTEMS","$479,907,249.42","82"
"2010","1430","GUIDED MISSILE REMOTE CONT SYSTEMS","$88,665,587.40","278"
"2010","1440","LAUNCHERS, GUIDED MISSILE","$744,883,096.85","652"
"2010","1450","GUIDED MISSILE HANDLING SERVICE EQ","$15,265,241.10","177"
"2010","1510","AIRCRAFT, FIXED WING","$15,561,531,138.29","2,694"
"2010","1520","AIRCRAFT, ROTARY WING","$7,646,453,292.45","1,269"
"2010","1540","GLIDERS","$2,337,749.95","6"
"2010","1550","DRONES","$1,478,532,799.90","454"
"2010","1560","AIRFRAME STRUCTURAL COMPONENTS","$3,381,191,796.00","36,542"
"2010","1610","AIRCRAFT PROPELLERS AND COMPONENTS","$114,090,684.17","229"
"2010","1615","HELICOPTER ROTOR BLADES-DRIVE MECH","$372,794,806.13","1,411"
"2010","1620","AIRCRAFT LANDING GEAR COMPONENTS","$400,769,228.62","1,687"
"2010","1630","AIRCRAFT WHEEL AND BRAKE SYSTEMS","$152,985,268.96","916"
"2010","1640","AIRCRAFT CONTROL CABLE PRODUCTS","$6,110,046.80","330"
"2010","1650","AIRCRAFT HYDRAULIC VACUUM DE-ICING","$144,851,840.26","2,709"
"2010","1660","AIRCRAFT AIR CONDITION HEATING EQ","$94,346,734.80","2,134"
"2010","1670","PARACHUTE RECOVER SYS & TIE DOWN EQ","$381,713,557.42","1,146"
"2010","1680","MISCL AIRCRAFT ACCESSORIES COMPS","$3,752,213,388.91","12,059"
"2010","1710","AIRCRAFT LANDING EQUIPMENT","$248,365,152.24","590"
"2010","1720","AIRCRAFT LAUNCHING EQUIPMENT","$289,070,201.45","254"
"2010","1730","AIRCRAFT GROUND SERVICING EQUIPMENT","$290,339,186.71","1,904"
"2010","1740","AIRFIELD SPECIAL TRUCKS & TRAILERS","$27,477,573.34","305"
"2010","1810","SPACE VEHICLES","$2,464,883,221.98","343"
"2010","1820","SPACE VEHICLE COMPONENTS","$663,001,925.13","365"
"2010","1830","SPACE VEHICLE REMOTE CONT SYSTEMS","$33,252,286.68","30"
"2010","1840","SPACE VEHICLE LAUNCHERS","$291,893,945.59","33"
"2010","1850","SPACE VEHICLE HANDLING & SERVICE EQ","$24,537,786.61","26"
"2010","1860","SPACE SURVIVAL EQUIPMENT","$8,838,105.71","9"
"2010","1900","Frigates and Corvettes","$106,599.86","13"
"2010","1901","AIRCRAFT CARRIERS","$2,144,006,939.41","2,013"
"2010","1902","CRUISERS","$64,855,837.80","57"
"2010","1903","DESTROYERS","$194,694,054.06","1,061"
"2010","1904","SUBMARINES","$3,149,839,901.84","696"
"2010","1905","COMBAT SHIPS AND LANDING VESSELS","$450,530,892.81","111"
"2010","1906","MINELAYERS ADN MINESWEEPERS","$3,943,818.12","7"
"2010","1907","LANDING CRAFT","$2,639,607.93","66"
"2010","1908","TORPEDO BOATS AND GUN BOATS","$412,888.00","2"
"2010","1910","TRANSPORT VESSELS-PASSENGER & TROOP","$322,421,690.54","185"
"2010","1911","AMPHIBIOUS ASSAULT SHIPS","$267,208,941.67","370"
"2010","1915","CARGO AND TANKER VESSELS","$926,599,263.66","164"
"2010","1920","FISHING VESSELS","$85,857,309.83","100"
"2010","1921","TUGS AND TOWBOATS","$17,215,513.44","31"
"2010","1922","Fire Boats","$608,259.33","2"
"2010","1923","ICE BREAKERS","$108,404.25","11"
"2010","1924","REPAIR SHIPS","$57,323,446.94","303"
"2010","1925","SPECIAL SERVICE VESSELS","$23,036,333.63","124"
"2010","1926","Lightships","$60,538.96","5"
"2010","1928","SALVAGE VESSELS","$146,378.68","6"
"2010","1929","RESCUE VESSELS","$2,421,839.19","17"
"2010","1930","BARGES AND LIGHTERS, CARGO","$8,586,089.88","41"
"2010","1935","BARGES & LIGHTERS SPECIAL PURPOSE","$28,059,428.61","66"
"2010","1940","SMALL CRAFT","$326,229,226.37","1,018"
"2010","1945","PONTOONS AND FLOATING DOCKS","$4,683,140.82","111"
"2010","1950","FLOATING DRYDOCKS","$456,979.69","16"
"2010","1955","DREDGES","$27,903,672.39","40"
"2010","1990","MISCELLANEOUS VESSELS","$215,302,739.55","435"
"2010","2010","SHIP AND BOAT PROPULSION COMPONENTS","$792,959,066.42","1,239"
"2010","2020","RIGGING AND RIGGING GEAR","$1,769,266.76","110"
"2010","2030","DECK MACHINERY","$4,859,312.67","162"
"2010","2040","MARINE HARDWARE AND HULL ITEMS","$34,180,434.62","1,430"
"2010","2050","BUOYS","$21,933,088.84","237"
"2010","2060","COMMERCIAL FISHING EQUIPMENT","$175,137.60","27"
"2010","2090","MISC SHIP & MARINE EQ","$270,892,466.94","5,450"
"2010","2210","LOCOMOTIVES","$3,322,225.01","17"
"2010","2220","RAIL CARS","$865,589.89","28"
"2010","2230","RAILROAD RIGHT OF WAY CONSTR EQ","$8,062,494.29","28"
"2010","2240","LOCOMOTIVE & RAIL CAR ACCESSORIES","$25,790,656.63","69"
"2010","2250","TRACK MATERIAL, RAILROAD","$4,536,313.23","34"
"2010","2305","GROUND EFFECT VEHICLES","$1,240,473,060.09","891"
"2010","2310","PASSENGER MOTOR VEHICLES","$946,427,906.54","18,181"
"2010","2320","TRUCKS AND TRUCK TRACTORS, WHEELED","$7,203,272,422.75","5,767"
"2010","2330","TRAILERS","$446,253,213.15","2,073"
"2010","2340","MOTORCYCLE,MOTOR SCOOTERS & BIKES","$22,888,454.66","1,301"
"2010","2350","COMBAT ASSAULT & TACTICAL VEH","$5,621,724,067.26","1,646"
"2010","2355","COMBAT ASSAULT AND TACTICAL VEHICLES WHEELED","$3,601,477,599.53","218"
"2010","2410","TRACTORS, FULL TRACKED, LOW SPEED","$7,276,481.31","251"
"2010","2420","TRACTORS, WHEELED","$30,014,630.01","700"
"2010","2430","TRACTORS, FULL TRACKED, HIGH SPEED","$11,276,938.93","35"
"2010","2510","VEH CAB BODY FRAME STRUCTURAL COMP","$531,477,018.39","3,865"
"2010","2520","VEH POWER TRANSMISSION COMPONENTS","$156,096,714.15","1,785"
"2010","2530","VEH BRAKE STEERING AXLE WHEEL COMP","$252,632,147.53","3,495"
"2010","2540","VEHICULAR FURNITURE AND ACCESSORIES","$170,028,201.76","3,999"
"2010","2541","VEH ACCESSORY/WEAPONS SYS SPECIFIC","$1,000,659,825.22","322"
"2010","2590","MISCELLANEOUS VEHICULAR COMPONENTS","$502,562,101.77","11,467"
"2010","2610","TIRES & TUBES PNEUMATIC EXCEPT AIR","$117,548,775.76","5,169"
"2010","2620","TIRES & TUBES PNEUMATIC AIRCRAFT","$72,319,896.84","3,433"
"2010","2630","TIRES, SOLID AND CUSHION","$3,357,514.21","227"
"2010","2640","TIRES & TUBES REBUILDING-REP MTL","$7,093,926.61","187"
"2010","2805","GAS RECIPROCATING ENG - EXCEPT AIR","$12,184,829.11","257"
"2010","2810","GAS RECIPROCATING ENG - AIRCRAFT","$9,371,303.37","121"
"2010","2815","DIESEL ENGINES AND COMPONENTS","$230,731,020.93","2,307"
