"Fiscal Year","Contracting Department ID","Contracting Department Name","Product or Service Code","Product or Service Description","Action Obligation","Actions"
"2012","0300","LIBRARY OF CONGRESS","R612","SUPPORT- ADMINISTRATIVE: INFORMATION RETRIEVAL","$0.00","10"
"2012","0500","GENERAL ACCOUNTING OFFICE","5340","HARDWARE, COMMERCIAL","$122,071.50","2"
"2012","0500","GENERAL ACCOUNTING OFFICE","5820","RADIO AND TELEVISION COMMUNICATION EQUIPMENT, EXCEPT AIRBORNE","-$0.01","1"
"2012","0500","GENERAL ACCOUNTING OFFICE","5995","CABLE, CORD, AND WIRE ASSEMBLIES: COMMUNICATION EQUIPMENT","$14,069.54","1"
"2012","0500","GENERAL ACCOUNTING OFFICE","6350","MISCELLANEOUS ALARM, SIGNAL, AND SECURITY DETECTION SYSTEMS","$1,832,150.98","4"
"2012","0500","GENERAL ACCOUNTING OFFICE","6910","TRAINING AIDS","$297,395.68","4"
"2012","0500","GENERAL ACCOUNTING OFFICE","7030","ADP SOFTWARE","$393,961.26","3"
"2012","0500","GENERAL ACCOUNTING OFFICE","7042","MINI AND MICRO COMPUTER CONTROL DEVICES","$120,335.49","2"
"2012","0500","GENERAL ACCOUNTING OFFICE","7125","CABINETS, LOCKERS, BINS, AND SHELVING","$0.00","1"
"2012","0500","GENERAL ACCOUNTING OFFICE","7435","OFFICE INFORMATION SYSTEM EQUIPMENT","$83,000.00","1"
"2012","0500","GENERAL ACCOUNTING OFFICE","7490","MISCELLANEOUS OFFICE MACHINES","-$1,929.09","1"
"2012","0500","GENERAL ACCOUNTING OFFICE","7510","OFFICE SUPPLIES","$300,634.00","3"
"2012","0500","GENERAL ACCOUNTING OFFICE","7610","BOOKS AND PAMPHLETS","$216,757.75","4"
"2012","0500","GENERAL ACCOUNTING OFFICE","7630","NEWSPAPERS AND PERIODICALS","$29,698.00","2"
"2012","0500","GENERAL ACCOUNTING OFFICE","7670","MICROFILM, PROCESSED","$138,718.67","1"
"2012","0500","GENERAL ACCOUNTING OFFICE","AD21","R&D- DEFENSE OTHER: SERVICES (BASIC RESEARCH)","$6,187,205.97","13"
"2012","0500","GENERAL ACCOUNTING OFFICE","AF15","R&D- EDUCATION: EDUCATIONAL (OPERATIONAL SYSTEMS DEVELOPMENT)","$233,193.24","3"
"2012","0500","GENERAL ACCOUNTING OFFICE","B504","SPECIAL STUDIES/ANALYSIS- CHEMICAL/BIOLOGICAL","$2,655.65","7"
"2012","0500","GENERAL ACCOUNTING OFFICE","B506","SPECIAL STUDIES/ANALYSIS- DATA (OTHER THAN SCIENTIFIC)","$112,200.98","2"
"2012","0500","GENERAL ACCOUNTING OFFICE","B507","SPECIAL STUDIES/ANALYSIS- ECONOMIC","$10,000.00","1"
"2012","0500","GENERAL ACCOUNTING OFFICE","B529","SPECIAL STUDIES/ANALYSIS- SCIENTIFIC DATA","$95,489.00","4"
"2012","0500","GENERAL ACCOUNTING OFFICE","B546","SPECIAL STUDIES/ANALYSIS- SECURITY (PHYSICAL/PERSONAL)","$1,139,078.58","2"
"2012","0500","GENERAL ACCOUNTING OFFICE","C111","BLDGS & FAC / ADMIN & SVC BLDGS","$529,751.54","2"
"2012","0500","GENERAL ACCOUNTING OFFICE","D301","IT AND TELECOM- FACILITY OPERATION AND MAINTENANCE","$34,911.90","1"
"2012","0500","GENERAL ACCOUNTING OFFICE","D308","IT AND TELECOM- PROGRAMMING","$975,748.69","2"
"2012","0500","GENERAL ACCOUNTING OFFICE","D313","IT AND TELECOM- COMPUTER AIDED DESIGN/COMPUTER AIDED MANUFACTURING (CAD/CAM)","$99,900.20","1"
"2012","0500","GENERAL ACCOUNTING OFFICE","D316","IT AND TELECOM- TELECOMMUNICATIONS NETWORK MANAGEMENT","-$56,376.83","1"
"2012","0500","GENERAL ACCOUNTING OFFICE","D317","IT AND TELECOM- WEB-BASED SUBSCRIPTION","$39,931.00","3"
"2012","0500","GENERAL ACCOUNTING OFFICE","D318","IT AND TELECOM- INTEGRATED HARDWARE/SOFTWARE/SERVICES SOLUTIONS, PREDOMINANTLY SERVICES","$70,400.00","2"
"2012","0500","GENERAL ACCOUNTING OFFICE","D399","IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS","-$495,347.02","2"
"2012","0500","GENERAL ACCOUNTING OFFICE","G099","SOCIAL- OTHER","$10,078.96","1"
"2012","0500","GENERAL ACCOUNTING OFFICE","J036","MAINT/REPAIR/REBUILD OF EQUIPMENT- SPECIAL INDUSTRY MACHINERY","$14,057.25","2"
"2012","0500","GENERAL ACCOUNTING OFFICE","J099","MAINT/REPAIR/REBUILD OF EQUIPMENT- MISCELLANEOUS","$129,097.15","1"
"2012","0500","GENERAL ACCOUNTING OFFICE","N070","INSTALLATION OF EQUIPMENT- ADP EQUIPMENT/SOFTWARE/SUPPLIES/SUPPORT EQUIPMENT","$396,676.09","1"
"2012","0500","GENERAL ACCOUNTING OFFICE","Q526","MEDICAL- MEDICAL/PSYCHIATRIC CONSULTATION","$11,991.89","3"
"2012","0500","GENERAL ACCOUNTING OFFICE","R408","SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT","$120,915.66","6"
"2012","0500","GENERAL ACCOUNTING OFFICE","R415","SUPPORT- PROFESSIONAL: TECHNOLOGY SHARING/UTILIZATION","$8,500.00","1"
