"Fiscal Year","Contracting Department ID","Contracting Department Name","Contracting Agency Name","Contracting Agency ID","Action Obligation","Actions"
"2000","1100","EXECUTIVE OFFICE OF THE PRESIDENT","EXECUTIVE OFFICE OF THE PRESIDENT","1100","$31,225,000.00","199"
"2000","1145","PEACE CORPS","PEACE CORPS","1145","$10,926,247.00","120"
"2000","1153","UNITED STATES TRADE AND DEVELOPMENT AGENCY","UNITED STATES TRADE AND DEVELOPMENT AGENCY","1153","$3,811,000.00","49"
"2000","1200","AGRICULTURE, DEPARTMENT OF","AGRICULTURAL MARKETING SERVICE","1241","$790,583,000.00","1,607"
"2000","1200","AGRICULTURE, DEPARTMENT OF","AGRICULTURAL MARKETING SERVICE","12K2","$13,037,726.00","34"
"2000","1200","AGRICULTURE, DEPARTMENT OF","AGRICULTURAL RESEARCH SERVICE","1230","$116,360,000.00","1,355"
"2000","1200","AGRICULTURE, DEPARTMENT OF","AGRICULTURAL RESEARCH SERVICE","12H2","$3,813,574.71","129"
"2000","1200","AGRICULTURE, DEPARTMENT OF","AGRICULTURAL STABILIZATION AND CONSERVATION SERVICE","1220","$1,784,806,000.00","2,322"
"2000","1200","AGRICULTURE, DEPARTMENT OF","ANIMAL AND PLANT HEALTH INSPECTION SERVICE","1242","$40,405,000.00","1,105"
"2000","1200","AGRICULTURE, DEPARTMENT OF","ANIMAL AND PLANT HEALTH INSPECTION SERVICE","12K3","$1,385,893.00","19"
"2000","1200","AGRICULTURE, DEPARTMENT OF","FARM SERVICE AGENCY","12D2","$6,782,696.00","41"
"2000","1200","AGRICULTURE, DEPARTMENT OF","FARMERS HOME ADMINISTRATION","1236","$45,299,000.00","392"
"2000","1200","AGRICULTURE, DEPARTMENT OF","FOOD AND NUTRITION SERVICE","1251","$28,213,000.00","121"
"2000","1200","AGRICULTURE, DEPARTMENT OF","FOOD AND NUTRITION SERVICE","12F2","$319,770.00","14"
"2000","1200","AGRICULTURE, DEPARTMENT OF","FOOD SAFETY AND INSPECTION SERVICE","1252","$17,725,000.00","225"
"2000","1200","AGRICULTURE, DEPARTMENT OF","FOREST SERVICE","12C2","$63,998,270.30","1,438"
"2000","1200","AGRICULTURE, DEPARTMENT OF","NATURAL RESOURCES CONSERVATION SERVICE","12C3","$6,631,186.00","28"
"2000","1200","AGRICULTURE, DEPARTMENT OF","OFFICE OF FINANCE AND MANAGEMENT","1217","$12,339,000.00","80"
"2000","1200","AGRICULTURE, DEPARTMENT OF","OFFICE OF INSPECTOR GENERAL","1204","$1,019,000.00","25"
"2000","1200","AGRICULTURE, DEPARTMENT OF","RURAL HOUSING SERVICE","12E3","$1,237,491.00","63"
"2000","1200","AGRICULTURE, DEPARTMENT OF","SOIL CONSERVATION SERVICE","1227","$52,841,000.00","540"
"2000","1200","AGRICULTURE, DEPARTMENT OF","USDA, ASSISTANT SECRETARY FOR ADMINISTRATION","12B0","$5,614,331.12","17"
"2000","1200","AGRICULTURE, DEPARTMENT OF","USDA, OFFICE OF OPERATIONS","1215","$78,604,000.00","298"
"2000","1200","AGRICULTURE, DEPARTMENT OF","USDA, OFFICE OF THE CHIEF FINANCIAL OFFICER","1205","$435,497.00","6"
"2000","1300","COMMERCE, DEPARTMENT OF","BUREAU OF ECONOMIC ANALYSIS","1321","$1,110,000.00","27"
"2000","1300","COMMERCE, DEPARTMENT OF","BUREAU OF THE CENSUS","1323","$856,133,000.00","1,573"
"2000","1300","COMMERCE, DEPARTMENT OF","ECONOMIC AFFAIRS","131E","$344,000.00","23"
"2000","1300","COMMERCE, DEPARTMENT OF","ECONOMIC DEVELOPMENT ADMINISTRATION","1325","$1,651,000.00","18"
"2000","1300","COMMERCE, DEPARTMENT OF","INTERNATIONAL TRADE ADMINISTRATION","1350","$12,950,000.00","194"
"2000","1300","COMMERCE, DEPARTMENT OF","MINORITY BUSINESS DEVELOPMENT AGENCY","1352","$5,317,000.00","11"
"2000","1300","COMMERCE, DEPARTMENT OF","NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY","1341","$277,361,499.44","1,271"
"2000","1300","COMMERCE, DEPARTMENT OF","NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION","1330","$350,911,187.70","2,953"
"2000","1300","COMMERCE, DEPARTMENT OF","NATIONAL TECHNICAL INFORMATION SERVICE","1342","$7,884,000.00","124"
"2000","1300","COMMERCE, DEPARTMENT OF","NATIONAL TELECOMMUNICATIONS AND INFORMATION ADMINISTRATION","1335","$1,118,000.00","26"
"2000","1300","COMMERCE, DEPARTMENT OF","OFFICE OF THE INSPECTOR GENERAL","1304","$3,180,000.00","13"
"2000","1300","COMMERCE, DEPARTMENT OF","OFFICE OF THE SECRETARY","1301","$24,261,807.50","177"
"2000","1300","COMMERCE, DEPARTMENT OF","PATENT AND TRADEMARK OFFICE","1344","$260,132,394.91","921"
"2000","1400","INTERIOR, DEPARTMENT OF THE","BUREAU OF INDIAN AFFAIRS","1450","$59,303,957.51","452"
"2000","1400","INTERIOR, DEPARTMENT OF THE","BUREAU OF LAND MANAGEMENT","1422","$131,381,005.37","2,582"
"2000","1400","INTERIOR, DEPARTMENT OF THE","BUREAU OF OCEAN ENERGY MANAGEMENT","1435","$475,906,198.85","1,074"
"2000","1400","INTERIOR, DEPARTMENT OF THE","BUREAU OF RECLAMATION","1425","$322,885,538.67","1,621"
"2000","1400","INTERIOR, DEPARTMENT OF THE","GEOLOGICAL SURVEY","1434","$215,801,843.00","2,453"
"2000","1400","INTERIOR, DEPARTMENT OF THE","INTERIOR, DEPARTMENT OF THE","1400","$0.00","1"
"2000","1400","INTERIOR, DEPARTMENT OF THE","NATIONAL PARK SERVICE","1443","$446,724,156.18","2,748"
