ActorText,UCDPactorID,GeographicISOalpha3,NonStateActor
Afghanistan,130,AFG,FALSE
African Union**,NULL,*AF,TRUE
Albania,45,ALB,FALSE
Algeria,109,DZA,FALSE
Amal (Lebanon)*,NULL,LBN,TRUE
ANC (South Africa)*,NULL,ZAF,TRUE
Angola,99,AGO,FALSE
Anti-Castro rebels (Cuba)*,NULL,CUB,TRUE
Antigua and Barbuda,NULL,ATG,FALSE
Argentina,26,ARG,FALSE
Armas (Guatemala)*,NULL,GTM,TRUE
Armenia,NULL,ARM,FALSE
Aruba,NULL,ABW,FALSE
Australia,NULL,AUS,FALSE
Austria,NULL,AUT,FALSE
Azerbaijan,64,AZE,FALSE
Bahamas,NULL,BHS,FALSE
Bahrain,126,BHR,FALSE
Bangladesh,143,BGD,FALSE
Barbados,NULL,BRB,FALSE
Belarus,NULL,BLR,FALSE
Belgium,NULL,BEL,FALSE
Belize,NULL,BLZ,FALSE
Benin,NULL,BEN,FALSE
Bhutan,NULL,BTN,FALSE
Biafra,NULL,*BI,FALSE
Bolivia,23,BOL,FALSE
Bosnia-Herzegovina,50,BIH,FALSE
Botswana,NULL,BWA,FALSE
Brazil,22,BRA,FALSE
Brunei,NULL,BRN,FALSE
Bulgaria,NULL,BGR,FALSE
Burkina Faso,78,BFA,FALSE
Burundi,93,BDI,FALSE
Cambodia,148,KHM,FALSE
Cameroon,83,CMR,FALSE
Canada,NULL,CAN,FALSE
Cape Verde,NULL,CPV,FALSE
Cabo Verde,NULL,CPV,FALSE
Central African Republic,86,CAF,FALSE
Chad,87,TCD,FALSE
Chile,25,CHL,FALSE
China,135,CHN,FALSE
Colombia,17,COL,FALSE
Comoros,107,COM,FALSE
Congo,88,COG,FALSE
Contras (Nicaragua)*,NULL,NIC,TRUE
Costa Rica,15,CRI,FALSE
Cote d'Ivoire,NULL,CIV,FALSE
Croatia,48,HRV,FALSE
Cuba,5,CUB,FALSE
Cyprus,53,CYP,FALSE
Czech Republic,NULL,CZE,FALSE
Czechia,NULL,CZE,FALSE
Czechoslovakia,NULL,~CQ,FALSE
Denmark,NULL,DNK,FALSE
Djibouti,96,DJI,FALSE
Dominican Republic,7,DOM,FALSE
DR Congo,NULL,COD,FALSE
East Germany (GDR),NULL,DDR,FALSE
Ecuador,20,ECU,FALSE
Egypt,117,EGY,FALSE
El Salvador,13,SLV,FALSE
ELF (Ethiopia)*,NULL,ERI,TRUE
EPLF (Ethiopia)*,NULL,ERI,TRUE
Equatorial Guinea,NULL,GNQ,FALSE
Eritrea,98,ERI,FALSE
Estonia,NULL,EST,FALSE
Ethiopia,97,ETH,FALSE
FAN (Chad)*,NULL,TCD,TRUE
Fiji,NULL,FJI,FALSE
Finland,NULL,FIN,FALSE
FMLN (El Salvador)*,NULL,SLV,TRUE
FNLA (Angola)*,NULL,AGO,TRUE
France,33,FRA,FALSE
FRELIMO (Portugal)*,NULL,MOZ,TRUE
Gabon,85,GAB,FALSE
Gambia,71,GMB,FALSE
Georgia,63,GEO,FALSE
Germany,NULL,DEU,FALSE
Germany (FRG),NULL,DEU,FALSE
Ghana,81,GHA,FALSE
Government of Afghanistan,130,AFG,FALSE
Government of Albania,45,ALB,FALSE
Government of Algeria,109,DZA,FALSE
Government of Angola,99,AGO,FALSE
Government of Argentina,26,ARG,FALSE
Government of Azerbaijan,64,AZE,FALSE
Government of Bahrain,126,BHR,FALSE
Government of Bangladesh,143,BGD,FALSE
Government of Bolivia,23,BOL,FALSE
Government of Brazil,22,BRA,FALSE
Government of Burkina Faso,78,BFA,FALSE
Government of Burundi,93,BDI,FALSE
Government of Cambodia,148,KHM,FALSE
Government of Cambodia (Kampuchea),148,KHM,FALSE
Government of Cameroon,83,CMR,FALSE
Government of Central African Republic,86,CAF,FALSE
Government of Chad,87,TCD,FALSE
Government of Chile,25,CHL,FALSE
Government of Colombia,17,COL,FALSE
Government of Comoros,107,COM,FALSE
Government of Costa Rica,15,CRI,FALSE
Government of Croatia,48,HRV,FALSE
Government of Cuba,5,CUB,FALSE
Government of Cyprus,53,CYP,FALSE
Government of Djibouti,96,DJI,FALSE
Government of Dominican Republic,7,DOM,FALSE
Government of Ecuador,20,ECU,FALSE
Government of Egypt,117,EGY,FALSE
Government of El Salvador,13,SLV,FALSE
Government of Eritrea,98,ERI,FALSE
Government of Ethiopia,97,ETH,FALSE
Government of France,33,FRA,FALSE
Government of Gabon,85,GAB,FALSE
Government of Georgia,63,GEO,FALSE
Government of Ghana,81,GHA,FALSE
Government of Greece,52,GRC,FALSE
Government of Grenada,9,GRD,FALSE
Government of Guatemala,11,GTM,FALSE
Government of Guinea,77,GIN,FALSE
Government of Guinea-Bissau,70,GNB,FALSE
Government of Haiti,6,HTI,FALSE
Government of Honduras,12,HND,FALSE
Government of Hungary,40,HUN,FALSE
Government of India,141,IND,FALSE
Government of Indonesia,155,IDN,FALSE
Government of Iran,114,IRN,FALSE
Government of Iraq,116,IRQ,FALSE
Government of Israel,121,ISR,FALSE
Government of Jordan,120,JOR,FALSE
Government of Kazakhstan,134,KAZ,FALSE
Government of Kenya,91,KEN,FALSE
Government of Kuwait,125,KWT,FALSE
Government of Kyrgyzstan,132,KGZ,FALSE
Government of Laos,149,LAO,FALSE
Government of Lebanon,119,LBN,FALSE
Government of Lesotho,104,LSO,FALSE
Government of Liberia,79,LBR,FALSE
Government of Libya,111,LBY,FALSE
Government of Madagascar,106,MDG,FALSE
Government of Malawi,3912,MWI,FALSE
Government of Malaysia,152,MYS,FALSE
Government of Mali,72,MLI,FALSE
Government of Mauritania,74,MRT,FALSE
