Country,ISOalpha3,Agreement_Name,Agreement_Start,Foreign_Code_of_Conduct,Participating_Foreign_Firms,Latest_Amendment,Source
Australia,AUS,"Reciprocal Security of Supply Arrangement Between the Department of Defense of the United States of America aand the Department of Defence of Australia, as Represented by the Defence Materiel Organisation of Australia",4/14/2021,,,,https://www.businessdefense.gov/docs/sofs/US-AS_Security_of_Supply_Arrangement.pdf
Canada,CAN,Memorandum of Understanding on Priorities and Allocations Support Between the U.S. Department of Commerce and the Canadian Public Works and Government Services Canada,8/25/1998,,,,https://www.businessdefense.gov/docs/sofs/canadian_mou.pdf
Denmark,DNK,Security of Supply Arrangement Between the Ministry of Defence of the Kingdom of Denmark and the Department of Defense of the United States of America,11/17/2022,,,,https://www.businessdefense.gov/docs/sofs/US-Denmark-SOSA.pdf
Finland,FIN,Implementing Arrangement Between the Department of Defense of the United States of America and the Ministry of Defence of Finaldn for Meeting National Defense Requirements - Security of Supply,10/7/2009,TRUE,TRUE,,https://www.businessdefense.gov/docs/sofs/sos_agreement_finland_us.pdf
Italy,ITA,Memorandum of Understanding between the Ministry of Defence of Italy and the Department of Defense of the United States of America for Meeeting National Defense Requirements - Security of Supply,8/1/2006,TRUE,TRUE,,https://www.businessdefense.gov/docs/sofs/sos_arrangement-us-italy-signed.pdf
Japan,JPN,Security of Supply Arrangement Between the the Department of Defense of the United States of America and the Ministry of Defense of Japan,1/12/2023,TRUE,TRUE,,https://www.businessdefense.gov/docs/sofs/USA-JPN_SOSA-Signed.pdf
Latvia,LVA,Security of Supply Arrangement Between the Ministry of Defence of the Republic of Latvia and the Department of Defense of the United States of America,10/25/2022,,,,https://www.businessdefense.gov/docs/sofs/Latvia-SOSA-Signed-Final-10-2022.pdf
Netherlands,NLD,"Memorandum of Understanding between the Government of the Kingdom of the Netherlands and the Government of the United States of America cocnerning the Principles Governing Mutual Cooperation in teh Reserach and Development, Production and Procurement of Defense Equipment",10/26/2005,TRUE,TRUE,4/17/2022,https://www.businessdefense.gov/docs/sofs/us-netherlands_sos_arrangement.pdf
Norway,NOR,Security of Supply Arrangement Between the the Department of Defense of the United States of America and the Ministry of Defence of Norway,4/12/2018,TRUE,TRUE,,https://www.businessdefense.gov/docs/sofs/US-Norway-Signed-Security-of-Supply-Arrangement-April12-2018.pdf
Spain,ESP,Security of Supply Arrangement Between the the Department of Defense of the United States of America and the Ministry of Defense of Spain,5/19/2015,TRUE,,,https://www.businessdefense.gov/docs/sofs/FINAL-Acuerdo-SoS-ENG.pdf
Sweden,SWE,Amendment Number 2 To the Memorandum of Understanding Between the Government of the United States and the Government of the Kingdom of Sweden relating to the Principles Governing Mutual Cooperation in the Defense Procurement Area,6/11/2003,TRUE,TRUE,,https://www.businessdefense.gov/docs/sofs/us-sweden_sos_arrangement.pdf
UK,GBR,Security of Supply Arrangement Between the the Department of Defense of the United States of America and the Secretary of State for Defence of the United Kingdom of Great Britain and Northern Island,11/21/2017,TRUE,TRUE,,https://www.businessdefense.gov/docs/sofs/US-UK-SoS-Arrangement-20180113.pdf
