"StateAbb","CCode","StateNme","ISOalpha3"
"USA",2,"United States of America","USA"
"CAN",20,"Canada","CAN"
"BHM",31,"Bahamas","BHS"
"CUB",40,"Cuba","CUB"
"HAI",41,"Haiti","HTI"
"DOM",42,"Dominican Republic","DOM"
"JAM",51,"Jamaica","JAM"
"TRI",52,"Trinidad and Tobago","TTO"
"BAR",53,"Barbados","BRB"
"DMA",54,"Dominica","DMA"
"GRN",55,"Grenada","GRD"
"SLU",56,"St. Lucia","LCA"
"SVG",57,"St. Vincent and the Grenadines","VCT"
"AAB",58,"Antigua & Barbuda","ATG"
"SKN",60,"St. Kitts and Nevis","KNA"
"MEX",70,"Mexico","MEX"
"BLZ",80,"Belize","BLZ"
"GUA",90,"Guatemala","GTM"
"HON",91,"Honduras","HND"
"SAL",92,"El Salvador","SLV"
"NIC",93,"Nicaragua","NIC"
"COS",94,"Costa Rica","CRI"
"PAN",95,"Panama","PAN"
"COL",100,"Colombia","COL"
"VEN",101,"Venezuela","VEN"
"GUY",110,"Guyana","GUY"
"SUR",115,"Suriname","SUR"
"ECU",130,"Ecuador","ECU"
"PER",135,"Peru","PER"
"BRA",140,"Brazil","BRA"
"BOL",145,"Bolivia","BOL"
"PAR",150,"Paraguay","PRY"
"CHL",155,"Chile","CHL"
"ARG",160,"Argentina","ARG"
"URU",165,"Uruguay","URY"
"UKG",200,"United Kingdom","GBR"
"IRE",205,"Ireland","IRL"
"NTH",210,"Netherlands","NLD"
"BEL",211,"Belgium","BEL"
"LUX",212,"Luxembourg","LUX"
"FRN",220,"France","FRA"
"MNC",221,"Monaco","MCO"
"LIE",223,"Liechtenstein","LIE"
"SWZ",225,"Switzerland","CHE"
"SPN",230,"Spain","ESP"
"AND",232,"Andorra","AND"
"POR",235,"Portugal","PRT"
"HAN",240,"Hanover",NA
"BAV",245,"Bavaria",NA
"GMY",255,"Germany","DEU"
"GFR",260,"German Federal Republic","DEU"
"GDR",265,"German Democratic Republic","DDR"
"BAD",267,"Baden",NA
"SAX",269,"Saxony",NA
"WRT",271,"Wuerttemburg",NA
"HSE",273,"Hesse Electoral",NA
"HSG",275,"Hesse Grand Ducal",NA
"MEC",280,"Mecklenburg Schwerin",NA
"POL",290,"Poland","POL"
"AUH",300,"Austria-Hungary",NA
"AUS",305,"Austria","AUT"
"HUN",310,"Hungary","HUN"
"CZE",315,"Czechoslovakia","~CQ"
"CZR",316,"Czech Republic","CZE"
"SLO",317,"Slovakia","SVK"
"ITA",325,"Italy","ITA"
"PAP",327,"Papal States",NA
"SIC",329,"Two Sicilies",NA
"SNM",331,"San Marino","SMR"
"MOD",332,"Modena",NA
"PMA",335,"Parma",NA
"TUS",337,"Tuscany",NA
"MLT",338,"Malta","MLT"
"ALB",339,"Albania","ALB"
"MNG",341,"Montenegro","MNE"
"MAC",343,"Macedonia","MKD"
"CRO",344,"Croatia","HRV"
"YUG",345,"Yugoslavia","^YG"
"BOS",346,"Bosnia and Herzegovina","BIH"
"KOS",347,"Kosovo","*KS"
"SLV",349,"Slovenia","SVN"
"GRC",350,"Greece","GRC"
"CYP",352,"Cyprus","CYP"
"BUL",355,"Bulgaria","BGR"
"MLD",359,"Moldova","MDA"
"ROM",360,"Romania","ROU"
"RUS",365,"Russia","RUS"
"EST",366,"Estonia","EST"
"LAT",367,"Latvia","LVA"
"LIT",368,"Lithuania","LTU"
"UKR",369,"Ukraine","UKR"
"BLR",370,"Belarus","BLR"
"ARM",371,"Armenia","ARM"
"GRG",372,"Georgia","GEO"
"AZE",373,"Azerbaijan","AZE"
"FIN",375,"Finland","FIN"
"SWD",380,"Sweden","SWE"
"NOR",385,"Norway","NOR"
"DEN",390,"Denmark","DNK"
"ICE",395,"Iceland","ISL"
"CAP",402,"Cape Verde","CPV"
"STP",403,"Sao Tome and Principe","STP"
"GNB",404,"Guinea-Bissau","GNB"
"EQG",411,"Equatorial Guinea","GNQ"
"GAM",420,"Gambia","GMB"
"MLI",432,"Mali","MLI"
"SEN",433,"Senegal","SEN"
"BEN",434,"Benin","BEN"
"MAA",435,"Mauritania","MRT"
"NIR",436,"Niger","NER"
"CDI",437,"Ivory Coast","CIV"
"GUI",438,"Guinea","GIN"
"BFO",439,"Burkina Faso","BFA"
"LBR",450,"Liberia","LBR"
"SIE",451,"Sierra Leone","SLE"
"GHA",452,"Ghana","GHA"
"TOG",461,"Togo","TGO"
"CAO",471,"Cameroon","CMR"
"NIG",475,"Nigeria","NGA"
"GAB",481,"Gabon","GAB"
"CEN",482,"Central African Republic","CAF"
"CHA",483,"Chad","TCD"
"CON",484,"Congo","COG"
"DRC",490,"Democratic Republic of the Congo","COD"
"UGA",500,"Uganda","UGA"
"KEN",501,"Kenya","KEN"
"TAZ",510,"Tanzania","TZA"
"ZAN",511,"Zanzibar",NA
"BUI",516,"Burundi","BDI"
"RWA",517,"Rwanda","RWA"
"SOM",520,"Somalia","SOM"
"DJI",522,"Djibouti","DJI"
"ETH",530,"Ethiopia","ETH"
"ERI",531,"Eritrea","ERI"
"ANG",540,"Angola","AGO"
"MZM",541,"Mozambique","MOZ"
"ZAM",551,"Zambia","ZMB"
"ZIM",552,"Zimbabwe","ZWE"
"MAW",553,"Malawi","MWI"
"SAF",560,"South Africa","ZAF"
"NAM",565,"Namibia","NAM"
"LES",570,"Lesotho","LSO"
"BOT",571,"Botswana","BWA"
"SWA",572,"Swaziland","SWZ"
"MAG",580,"Madagascar","MDG"
"COM",581,"Comoros","COM"
"MAS",590,"Mauritius","MUS"
"SEY",591,"Seychelles","SYC"
"MOR",600,"Morocco","MAR"
"ALG",615,"Algeria","DZA"
"TUN",616,"Tunisia","TUN"
"LIB",620,"Libya","LBY"
"SUD",625,"Sudan","SDN"
"SSD",626,"South Sudan","SSD"
"IRN",630,"Iran","IRN"
"TUR",640,"Turkey","TUR"
"IRQ",645,"Iraq","IRQ"
"EGY",651,"Egypt","EGY"
"SYR",652,"Syria","SYR"
"LEB",660,"Lebanon","LBN"
"JOR",663,"Jordan","JOR"
"ISR",666,"Israel","ISR"
"SAU",670,"Saudi Arabia","SAU"
"YAR",678,"Yemen Arab Republic","YEM"
"YEM",679,"Yemen","YEM"
"YPR",680,"Yemen People's Republic","*SY"
"KUW",690,"Kuwait","KWT"
"BAH",692,"Bahrain","BHR"
"QAT",694,"Qatar","QAT"
"UAE",696,"United Arab Emirates","ARE"
"OMA",698,"Oman","OMN"
"AFG",700,"Afghanistan","AFG"
"TKM",701,"Turkmenistan","TKM"
"TAJ",702,"Tajikistan","TJK"
"KYR",703,"Kyrgyzstan","KGZ"
"UZB",704,"Uzbekistan","UZB"
"KZK",705,"Kazakhstan","KAZ"
"CHN",710,"China","CHN"
"MON",712,"Mongolia","MNG"
"TAW",713,"Taiwan","TWN"
"KOR",730,"Korea",NA
"PRK",731,"North Korea","PRK"
"ROK",732,"South Korea","KOR"
"JPN",740,"Japan","JPN"
"IND",750,"India","IND"
"BHU",760,"Bhutan","BTN"
"PAK",770,"Pakistan","PAK"
"BNG",771,"Bangladesh","BGD"
"MYA",775,"Myanmar","MMR"
"SRI",780,"Sri Lanka","LKA"
"MAD",781,"Maldives","MDV"
"NEP",790,"Nepal","NPL"
"THI",800,"Thailand","THA"
"CAM",811,"Cambodia","KHM"
"LAO",812,"Laos","LAO"
"DRV",816,"Vietnam","VNM"
"RVN",817,"Republic of Vietnam","*SV"
"MAL",820,"Malaysia","MYS"
"SIN",830,"Singapore","SGP"
"BRU",835,"Brunei","BRN"
"PHI",840,"Philippines","PHL"
"INS",850,"Indonesia","IDN"
"ETM",860,"East Timor","TLS"
"AUL",900,"Australia","AUS"
"PNG",910,"Papua New Guinea","PNG"
"NEW",920,"New Zealand","NZL"
"VAN",935,"Vanuatu","VUT"
"SOL",940,"Solomon Islands","SLB"
"KIR",946,"Kiribati","KIR"
"TUV",947,"Tuvalu","TUV"
"FIJ",950,"Fiji","FJI"
"TON",955,"Tonga","TON"
"NAU",970,"Nauru","NRU"
"MSI",983,"Marshall Islands","MHL"
"PAL",986,"Palau","PLW"
"FSM",987,"Federated States of Micronesia","FSM"
"WSM",990,"Samoa","WSM"
