TreasuryAgencyCode,Notes,GWAagencyName,FundingAgencyID,ImplementingAgencyID,AgencyCode,BureauCode,SubfunctionCode,a,Acct_Type,Admin_Bureau,MinOfBPOA,MaxOfEPOA,Fund_Type,SP,ATA,dac_sector_code,USAIDgreenbookImplementingAgencyID,USAIDgreenbookImplementingSubagencyID,USAIDgreenbookFundingAgencyID,implementing_partner_type,assistance_category_id,CSIScreatedDate,CSISmodifiedDate,CSISmodifiedBy,topFundingAgencyIDtotalamount,totalFPDSandFAADSamount,IsManualOverride
0,NULL,CONGRESS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2018,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-18 20:00:27.1930000,Automated from FPDS/FAADS and fundingagencyID by CSIS\GSanders,2483155139402.6200,2483270395793.6644,0
1,NULL,ARCHITECT OF THE CAPITOL,0100,NULL,001,15,NULL,NULL,NULL,0,0,2018,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-03 19:59:17.6330000,CSIS\GSanders,37612677.7699,67341851.3199,0
2,NULL,LEGISLATIVE BRANCH,NULL,NULL,001,13,801,NULL,NULL,0,0,2016,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-03 19:59:17.6330000,CSIS\GSanders,13047467.0000,17205727.9100,0
3,NULL,LIBRARY OF CONGRESS,0300,NULL,NULL,NULL,NULL,NULL,NULL,0,0,2016,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-03 19:59:17.6330000,CSIS\GSanders,48543826.8200,54023740.0800,0
4,NULL,GOVERNMENT PRINTING OFFICE,0400,NULL,001,30,NULL,NULL,NULL,0,0,2014,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-03 19:59:17.6330000,CSIS\GSanders,1806798.5200,2475186.1800,0
5,NULL,GENERAL ACCOUNTING OFFICE,0500,NULL,001,35,NULL,NULL,NULL,0,0,2015,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-03 19:59:17.6330000,CSIS\GSanders,357910325.7900,375257581.9300,0
6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-18 20:00:27.1930000,Automated from FPDS/FAADS and fundingagencyID by CSIS\GSanders,703218324.0000,703730396.1700,0
7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-03 19:59:17.6330000,CSIS\GSanders,1528638.0000,1775833.3500,0
8,NULL,CONGRESSIONAL BUDGET OFFICE,NULL,NULL,001,14,801,NULL,NULL,0,0,2014,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-11 08:56:21.1430000,Automated from FPDS/FAADS and fundingagencyID by CSIS\GSanders,84813866.0000,85243916.5100,0
9,NULL,LEGISLATIVE BRANCH,0900,*OWL,NULL,NULL,NULL,NULL,NULL,NULL,0,2018,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-03 19:59:17.6330000,CSIS\GSanders,18677855.0500,20030038.9300,0
10,NULL,NULL,1000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2015,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-03 19:59:17.6330000,CSIS\GSanders,9871307.2400,17928633.3700,0
11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2017,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-03 19:59:17.6330000,CSIS\GSanders,28830448600.5833,35099895069.2407,0
12,NULL,NULL,1200,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2018,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-03 19:59:17.6330000,CSIS\GSanders,160001673837.7979,161210750648.3371,0
13,NULL,NULL,1300,1300,NULL,NULL,NULL,NULL,NULL,NULL,0,2022,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-03 19:59:17.6330000,CSIS\GSanders,20486287976.2509,21499959527.6009,0
14,NULL,NULL,1400,1400,NULL,NULL,NULL,NULL,NULL,NULL,0,2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-03 19:59:17.6330000,CSIS\GSanders,13103071883.4813,15590104492.9455,0
15,NULL,NULL,1500,1500,NULL,NULL,NULL,NULL,NULL,NULL,0,2015,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-03 19:59:17.6330000,CSIS\GSanders,39350686529.9607,39459572841.2707,0
16,NULL,NULL,1600,1600,NULL,NULL,NULL,NULL,NULL,NULL,0,2017,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:14:45.1500000,2014-04-03 19:59:17.6330000,CSIS\GSanders,62056222987.0314,63149389326.6721,0
