TreasuryAgencyCode,MainAccountCode,SubAccountCode,GWAagencyName,a,Acct_Type,Admin_Bureau,ATA,Fund_Type,SP,MinOfBPOA,MaxOfEPOA,GWA_TAS_Name,OMBaccountName,USAIDgreenbookAccountName,FundingAgencyID,ImplementingAgencyID,AgencyCode,BureauCode,SubfunctionCode,BEAcategory,dac_sector_code,USAIDgreenbookImplementingAgencyID,USAIDgreenbookImplementingSubagencyID,USAIDgreenbookFundingAgencyID,implementing_partner_type,assistance_category_id,CSIScreatedDate,CSISmodifiedDate,CSISmodifiedBy,totalFPDSandFAADSamount,topFundingAgencyIDtotalamount,IsManualOverride,IsOffsetAccount,IsGWATAScode,IsObsolete,istofix,IsManualOMBagencyOrBureau
0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:37:43.3530000,2014-04-28 22:14:57.9300000,Automated from FPDS/FAADS and fundingagencyID by CSIS\GSanders,8072292059.8700,8048840973.0000,0,NULL,0,0,NULL,0
0,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4730,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:37:43.3530000,2014-04-28 22:14:57.9300000,Automated from FPDS/FAADS and fundingagencyID by CSIS\GSanders,796612.1800,796612.1800,0,NULL,0,0,NULL,0
0,100,0,CONGRESS,,EXPND,1,0,GF,0,2009,2014,"COMPENSATION OF MEMBERS AND RELATED ADMINISTRATIVE EXPENSES, SENATE",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:37:43.3530000,2014-04-18 23:50:05.3300000,Automated from FPDS/FAADS and fundingagencyID by CSIS\GSanders,155134.0200,101426.4400,0,0,1,0,NULL,0
0,102,0,CONGRESS,X,EXPND,1,0,GF,0,0,0,"COMPENSATION AND MILEAGE OF THE VICE PRESIDENT AND SENATORS, SENATE",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:37:43.3530000,2014-03-20 09:37:43.3530000,CSIS\GSanders,NULL,NULL,0,0,1,0,NULL,0
0,107,0,CONGRESS,NULL,EXPND,1,0,GF,0,0,2014,"EXPENSE ALLOWANCES OF THE VICE PRESIDENT, THE PRESIDENT PRO TEMPORE, MAJORITY AND MINORITY LEADERS, MAJORITY AND MINORITY WHIPS, AND CHAIRMEN OF THE MAJORITY AND MINORITY CONFERENCE COMMITTEES, SENATE",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:37:43.3530000,2014-03-20 09:37:43.3530000,CSIS\GSanders,NULL,NULL,0,0,1,0,NULL,0
0,108,0,CONGRESS,,EXPND,1,0,GF,0,2009,2014,"REPRESENTATION ALLOWANCES FOR THE MAJORITY AND MINORITY LEADERS, SENATE",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:37:43.3530000,2014-03-20 09:37:43.3530000,CSIS\GSanders,NULL,NULL,0,0,1,0,NULL,0
0,110,0,CONGRESS,NULL,EXPND,1,0,GF,0,0,2017,"SALARIES, OFFICERS AND EMPLOYEES, SENATE",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:37:43.3530000,2014-04-28 23:31:56.7870000,Erasing after subaccount fix by CSIS\GSanders,NULL,NULL,0,0,1,0,NULL,0
0,115,0,CONGRESS,X,EXPND,1,0,GF,0,0,0,"PAYMENT TO WIDOWS AND HEIRS OF DECEASED MEMBERS OF CONGRESS, SENATE",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:37:43.3530000,2014-03-20 09:37:43.3530000,CSIS\GSanders,0.0000,0.0000,0,0,1,0,NULL,0
0,118,0,CONGRESS,X,EXPND,1,0,GF,0,0,0,"CONTINGENT EXPENSES, FOLDING DOCUMENTS, SENATE",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:37:43.3530000,2014-03-20 09:37:43.3530000,CSIS\GSanders,NULL,NULL,0,0,1,0,NULL,0
0,123,0,CONGRESS,NULL,EXPND,1,0,GF,0,0,2016,"CONTINGENT EXPENSES, MISCELLANEOUS ITEMS, SENATE",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014-03-20 09:37:43.3530000,2014-03-20 09:37:43.3530000,CSIS\GSanders,NULL,NULL,0,0,1,0,NULL,0
