Unseperated,principalnaicscode,principalnaicscodeText,principalNAICS2DigitCode,principalNAICS3DigitCode,PDTcategory,PDTSsplit2DigitCode,PDTSsplit3DigitCode
NULL,,NULL,NULL,NULL,NULL,NULL,NULL
: ,: ,,NULL,NULL,NULL,NULL,NULL
111110: SOYBEAN FARMING,111110,SOYBEAN FARMING,11,111,Primary Industry (including Agriculture and Fisheries),0,0
111120: OILSEED (EXCEPT SOYBEAN) FARMING,111120,OILSEED (EXCEPT SOYBEAN) FARMING,NULL,NULL,NULL,NULL,NULL
111130: DRY PEA AND BEAN FARMING,111130,DRY PEA AND BEAN FARMING,NULL,NULL,NULL,NULL,NULL
111140: WHEAT FARMING,111140,WHEAT FARMING,11,111,Primary Industry (including Agriculture and Fisheries),0,0
111150: CORN FARMING,111150,CORN FARMING,NULL,NULL,NULL,NULL,NULL
111160: RICE FARMING,111160,RICE FARMING,NULL,NULL,NULL,NULL,NULL
111191: OILSEED AND GRAIN COMBINATION FARMING,111191,OILSEED AND GRAIN COMBINATION FARMING,NULL,NULL,NULL,NULL,NULL
111199: ALL OTHER GRAIN FARMING,111199,ALL OTHER GRAIN FARMING,NULL,NULL,NULL,NULL,NULL
111211: POTATO FARMING,111211,POTATO FARMING,NULL,NULL,NULL,NULL,NULL
111219: OTHER VEGETABLE (EXCEPT POTATO) AND MELON FARMING,111219,OTHER VEGETABLE (EXCEPT POTATO) AND MELON FARMING,NULL,NULL,NULL,NULL,NULL
111310: ORANGE GROVES,111310,ORANGE GROVES,NULL,NULL,NULL,NULL,NULL
111320: CITRUS (EXCEPT ORANGE) GROVES,111320,CITRUS (EXCEPT ORANGE) GROVES,NULL,NULL,NULL,NULL,NULL
111331: APPLE ORCHARDS,111331,APPLE ORCHARDS,NULL,NULL,NULL,NULL,NULL
111332: GRAPE VINEYARDS,111332,GRAPE VINEYARDS,NULL,NULL,NULL,NULL,NULL
111333: STRAWBERRY FARMING,111333,STRAWBERRY FARMING,NULL,NULL,NULL,NULL,NULL
111334: BERRY (EXCEPT STRAWBERRY) FARMING,111334,BERRY (EXCEPT STRAWBERRY) FARMING,NULL,NULL,NULL,NULL,NULL
111335: TREE NUT FARMING,111335,TREE NUT FARMING,NULL,NULL,NULL,NULL,NULL
111336: FRUIT AND TREE NUT COMBINATION FARMING,111336,FRUIT AND TREE NUT COMBINATION FARMING,NULL,NULL,NULL,NULL,NULL
111339: OTHER NONCITRUS FRUIT FARMING,111339,OTHER NONCITRUS FRUIT FARMING,NULL,NULL,NULL,NULL,NULL
111411: MUSHROOM PRODUCTION,111411,MUSHROOM PRODUCTION,NULL,NULL,NULL,NULL,NULL
111419: OTHER FOOD CROPS GROWN UNDER COVER,111419,OTHER FOOD CROPS GROWN UNDER COVER,NULL,NULL,NULL,NULL,NULL
11142: NURSERY AND FLORICULTURE PRODUCTION,11142,NURSERY AND FLORICULTURE PRODUCTION,NULL,NULL,NULL,NULL,NULL
111421: NURSERY AND TREE PRODUCTION,111421,NURSERY AND TREE PRODUCTION,11,111,Primary Industry (including Agriculture and Fisheries),0,0
111422: FLORICULTURE PRODUCTION,111422,FLORICULTURE PRODUCTION,NULL,NULL,NULL,NULL,NULL
111910: TOBACCO FARMING,111910,TOBACCO FARMING,NULL,NULL,NULL,NULL,NULL
111920: COTTON FARMING,111920,COTTON FARMING,11,111,Primary Industry (including Agriculture and Fisheries),0,0
111930: SUGARCANE FARMING,111930,SUGARCANE FARMING,NULL,NULL,NULL,NULL,NULL
111940: HAY FARMING,111940,HAY FARMING,NULL,NULL,NULL,NULL,NULL
111991: SUGAR BEET FARMING,111991,SUGAR BEET FARMING,NULL,NULL,NULL,NULL,NULL
111992: PEANUT FARMING,111992,PEANUT FARMING,NULL,NULL,NULL,NULL,NULL
111998: ALL OTHER MISCELLANEOUS CROP FARMING,111998,ALL OTHER MISCELLANEOUS CROP FARMING,11,111,Primary Industry (including Agriculture and Fisheries),0,0
112111: BEEF CATTLE RANCHING AND FARMING,112111,BEEF CATTLE RANCHING AND FARMING,NULL,NULL,NULL,NULL,NULL
112112: CATTLE FEEDLOTS,112112,CATTLE FEEDLOTS,NULL,NULL,NULL,NULL,NULL
112120: DAIRY CATTLE AND MILK PRODUCTION,112120,DAIRY CATTLE AND MILK PRODUCTION,NULL,NULL,NULL,NULL,NULL
112130: DUAL-PURPOSE CATTLE RANCHING AND FARMING,112130,DUAL-PURPOSE CATTLE RANCHING AND FARMING,NULL,NULL,NULL,NULL,NULL
112210: HOG AND PIG FARMING,112210,HOG AND PIG FARMING,NULL,NULL,NULL,NULL,NULL
112310: CHICKEN EGG PRODUCTION,112310,CHICKEN EGG PRODUCTION,NULL,NULL,NULL,NULL,NULL
