Unseperated,systemequipmentcode,systemequipmentcodeText,Rank,IsIdentifiedSystemEquipment
 : , ,NOT DISCERNABLE OR CLASSIFIED,NULL,0
* : ,* ,NOT DISCERNABLE OR CLASSIFIED,NULL,0
: ,: ,,NULL,0
0:00,0,0,NULL,0
NULL,0*,NOT DISCERNABLE OR CLASSIFIED,NULL,0
00 : ,00 ,,NULL,0
000: NONE,000,NONE,NULL,0
0000: ,0000,NOT DISCERNABLE OR CLASSIFIED,NULL,0
100: GPALS (SDS) ,100,GPALS (SDS) ,NULL,1
1000:00:00,1000,0:00,NULL,0
101: H-1 UPGRADE ,101,H-1 UPGRADE ,97,1
102: A-10 ,102,A-10 ,NULL,1
103: E-3A ,103,E-3A ,NULL,1
104: EF-111A ,104,EF-111A ,NULL,1
105: AN/BQS-13 ,105,AN/BQS-13 ,NULL,1
106: PATRIOT ,106,PATRIOT ,NULL,1
107: PERSHING II ,107,PERSHING II ,NULL,1
108: LASER HELLFIRE ,108,LASER HELLFIRE ,219,1
109: 5-INCH GUIDED PROJ ,109,5-INCH GUIDED PROJ ,NULL,1
110: AEGIS ,110,AEGIS ,NULL,1
111: ALCM ,111,ALCM ,NULL,1
112: AN/TTC-39 ,112,AN/TTC-39 ,NULL,1
114: CGN-38 ,114,CGN-38 ,NULL,1
115: CH-47D ,115,CH-47D ,166,1
116: C/MH-53E ,116,C/MH-53E ,NULL,1
117: CHEYENNE ,117,CHEYENNE ,NULL,1
119: SGT YORK GUN (DIVAD) ,119,SGT YORK GUN (DIVAD) ,NULL,1
120: DSCS III ,120,DSCS III ,NULL,1
121: APS ,121,APS ,NULL,1
122: E-4 (AABNCP) ,122,E-4 (AABNCP) ,NULL,1
123: F-14D ,123,F-14D ,NULL,1
124: F-15 ,124,F-15 ,NULL,1
125: F-16 ,125,F-16 ,NULL,1
126: F/A-18A/B/C/D ,126,F/A-18A/B/C/D ,NULL,1
127: FFG-7 ,127,FFG-7 ,NULL,1
128: BRADLEY FVS ,128,BRADLEY FVS ,129,1
130: MLRS ,130,MLRS ,NULL,1
131: HARM (NAVY) ,131,HARM (NAVY) ,NULL,1
132: HARM (AIR FORCE) ,132,HARM (AIR FORCE) ,NULL,1
133: HARPOON ,133,HARPOON ,NULL,1
134: LAMPS MKIII (SH-60B) ,134,LAMPS MKIII (SH-60B) ,NULL,1
135: LHA ,135,LHA ,NULL,1
136: M198 TOWED HOWITZER (155MM) ,136,M198 TOWED HOWITZER (155MM) ,NULL,1
137: MAVERICK (IR) ,137,MAVERICK (IR) ,NULL,1
138: MK 48 ADCAP ,138,MK 48 ADCAP ,NULL,1
139: MK 48 TORPEDO ,139,MK 48 TORPEDO ,NULL,1
140: DD 963 ,140,DD 963 ,NULL,1
141: NATO PHM ,141,NATO PHM ,NULL,1
142: PHOENIX (AIM-54A/B) ,142,PHOENIX (AIM-54A/B) ,NULL,1
144: SIDEWINDER (AIM-9L) (N) ,144,SIDEWINDER (AIM-9L) (N) ,NULL,1
145: SIDEWINDER (AIM-9L) (AF) ,145,SIDEWINDER (AIM-9L) (AF) ,NULL,1
147: SPARROW (AIM-7M) (N) ,147,SPARROW (AIM-7M) (N) ,NULL,1
148: PATRIOT PAC-3 ,148,PATRIOT PAC-3 ,72,1
149: SSN 688 ,149,SSN 688 ,NULL,1
150: STINGER ,150,STINGER ,NULL,1
151: SURTASS ,151,SURTASS ,NULL,1
152: TACFIRE ,152,TACFIRE ,NULL,1
153: AN/SQQ-89 ,153,AN/SQQ-89 ,NULL,1
154: TOMAHAWK ,154,TOMAHAWK ,NULL,1
155: TRIDENT SUB ,155,TRIDENT SUB ,NULL,1
156: BLACK HAWK (UH-60A/L) ,156,BLACK HAWK (UH-60A/L) ,165,1
157: M1/M1A1 ABRAMS TANK ,157,M1/M1A1 ABRAMS TANK ,NULL,1
158: APACHE (AH-64A) ,158,APACHE (AH-64A) ,108,1
159: CG-47 ,159,CG-47 ,NULL,1
160: TACTAS ,160,TACTAS ,NULL,1
161: CVN 68 ,161,CVN 68 ,47,1
162: SIDWINGER (AIM-9M) (N) ,162,SIDWINGER (AIM-9M) (N) ,NULL,1
163: SIDWINGER (AIM-9M) (AF) ,163,SIDWINGER (AIM-9M) (AF) ,NULL,1
164: SPARROW (AIM-7F) (N) ,164,SPARROW (AIM-7F) (N) ,NULL,1
165: SPARROW (AIM-7M) (AF) ,165,SPARROW (AIM-7M) (AF) ,NULL,1
166: NAVSTAR GPS,166,NAVSTAR GPS,112,1
167: AV-8B ,167,AV-8B ,NULL,1
168: B1-B ,168,B1-B ,NULL,1
169: PHOENIX (AIM-54C) ,169,PHOENIX (AIM-54C) ,NULL,1
170: JTIDS (ARMY) ,170,JTIDS (ARMY) ,NULL,1
171: JTIDS (NAVY) ,171,JTIDS (NAVY) ,NULL,1
172: JTIDY (AIR FORCE) ,172,JTIDY (AIR FORCE) ,NULL,1
173: BMTC ,173,BMTC ,NULL,1
174: KIOWA WARRIOR ,174,KIOWA WARRIOR ,NULL,1
175: LAV (ARMY) ,175,LAV (ARMY) ,NULL,1
176: EELV ,176,EELV ,105,1
177: TRIDENT II SUB ,177,TRIDENT II SUB ,NULL,1
178: TRIDENT II MISSILE ,178,TRIDENT II MISSILE ,21,1
179: ARH ,179,ARH ,NULL,1
