AgencyID,AgencyIDtext,DepartmentID,CSISName,Customer,SubCustomer,InternationalAssistancePrograms,IsDiscrepency,MinOfStartDate,MaxOfEndDate,IsUnknownAgencyID,IsExceptionToContradictionTest,SubCustomerSum,IsDefense,PlatformPortfolio
"  ",NULL,,NULL,NULL,NULL,0,NULL,NULL,NULL,1,0,NULL,NULL,NULL
*BTS,Office of the Under Secretary for Border and Transportation Security,NULL,NULL,DHS,NULL,NULL,NULL,NULL,NULL,0,0,NULL,0,NULL
*DCP,Other Defense Civil Programs,NULL,NULL,Other Agencies,Defense Civil Programs,NULL,NULL,NULL,NULL,0,1,Defense Civil Programs,0,NULL
*DHS,Department of Homeland Security,NULL,NULL,DHS,NULL,NULL,NULL,NULL,NULL,0,0,NULL,0,NULL
*DMO,Departmental Management and Operations,NULL,NULL,DHS,Other DHS,NULL,NULL,NULL,NULL,0,0,Other DHS,0,NULL
*DND,Domestic Nuclear Detection Office,NULL,NULL,DHS,Other DHS,NULL,NULL,NULL,NULL,0,0,Other DHS,0,NULL
*DoD,Department of Defense,NULL,NULL,Defense,NULL,NULL,NULL,NULL,NULL,0,0,NULL,1,NULL
*IAP,NULL,NULL,NULL,State and IAP,NULL,NULL,NULL,NULL,NULL,0,0,NULL,0,NULL
*IRR,Iraq Relief and Reconstruction Fund,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL
*MHS,MILITARY HEALTH SYSTEM,NULL,NULL,DEFENSE,NULL,NULL,NULL,NULL,NULL,0,0,NULL,1,NULL
*MRF,DEPARTMENT OF DEFENSE MILITARY RETIREMENT FUND,NULL,NULL,Other Agencies,Defense Civil Programs,NULL,NULL,NULL,NULL,0,1,Defense Civil Programs,0,NULL
*MSP,Military Sales Program,NULL,NULL,State and IAP,Military Sales Program,NULL,NULL,NULL,NULL,0,0,Military Sales Program,0,NULL
*ODD,Other DoD,9700,NULL,Defense,Other DoD,NULL,NULL,1988-01-10,1999-09-30,0,0,Other DoD,1,NULL
*OWL,NULL,0000,NULL,Other Agencies,Open World Leadership Center,NULL,NULL,NULL,NULL,0,0,Open World Leadership Center,0,NULL
*PER,Military Personne,NULL,NULL,Defense,Personnel and Housing,NULL,NULL,NULL,NULL,0,0,Personnel and Housing,1,NULL
*PFH,"Military Personnel and Family Housing ",NULL,NULL,Defense,Personnel and Housing,NULL,NULL,NULL,NULL,0,0,Personnel and Housing,1,NULL
*RHC,Retiree Health Care,NULL,NULL,Other Agencies,Defense Civil Programs,NULL,NULL,NULL,NULL,0,1,Defense Civil Programs,0,NULL
*S&A,DOS and USAID,NULL,NULL,State and IAP,NULL,1,NULL,NULL,NULL,0,0,NULL,0,NULL
*TDA,NULL,NULL,NULL,State and IAP,IAP,NULL,NULL,NULL,NULL,0,0,IAP,0,NULL
*UND,Undistributed Offsetting Accounts,NULL,NULL,UNDISTRIBUTED,NULL,NULL,NULL,NULL,NULL,0,1,NULL,0,NULL
": ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,1003-07-01,9999-10-01,1,0,NULL,NULL,NULL
<NO,<NO,NULL,NULL,NULL,NULL,0,NULL,2004-09-28,2004-09-28,1,0,NULL,NULL,NULL
<NON,<NON,NULL,NULL,NULL,NULL,0,NULL,2004-03-03,2004-09-27,1,0,NULL,NULL,NULL
`,`,NULL,NULL,NULL,NULL,0,NULL,2004-09-15,2004-09-15,1,0,NULL,NULL,NULL
`650,`650,NULL,NULL,NULL,NULL,0,NULL,2004-03-01,2004-10-28,0,0,NULL,NULL,NULL
0,0,NULL,NULL,NULL,NULL,0,NULL,2004-09-30,2005-02-07,0,0,NULL,NULL,NULL
0000,THE LEGISLATIVE BRANCH,NULL,NULL,Other Agencies,Legislative Branch,0,NULL,2001-10-15,2008-08-01,0,0,Legislative Branch,0,NULL
0001,"CONGRESS, GENERALLY, NO ADDITIONAL SPECIFICATION AVAILABLE",NULL,NULL,NULL,NULL,0,NULL,2002-10-01,2008-09-12,0,0,NULL,NULL,NULL
0002,0002,NULL,NULL,NULL,NULL,0,NULL,2004-12-07,2004-12-07,0,0,NULL,NULL,NULL
000A,000A,NULL,NULL,NULL,NULL,0,NULL,2004-11-19,2004-11-19,0,0,NULL,NULL,NULL
000P,000P,NULL,NULL,NULL,NULL,0,NULL,2005-11-09,2005-11-09,0,0,NULL,NULL,NULL
001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL
0010,NULL,0010,NULL,Other Agencies,All Other Customers,0,NULL,NULL,NULL,0,0,All Other Customers,0,NULL
002,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL
003,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL
004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL
0047,0047,NULL,NULL,NULL,NULL,0,NULL,2004-09-27,2005-08-23,0,0,NULL,NULL,NULL
005,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL
