AgencyID	OfficeID	OfficeName	MinOfSignedDate	MaxOfSignedDate
1027	101374	1ST CIRCUIT COURT OF APPEALS	00:00.0	00:00.0
1027	101374	US PROBATION OFFICE	00:00.0	00:00.0
1027	102377	US COURT OF CUSTOMER  INTL TRADE	00:00.0	00:00.0
1027	102377	US COURT OF CUSTOMER&INTL TRADE	00:00.0	00:00.0
1027	105503	6TH CIRCUIT COURT OF APPEALS	00:00.0	00:00.0
1027	105503	U.S. DISTRICT COURTS	00:00.0	00:00.0
1027	107103	US DISTRICT COURT	00:00.0	00:00.0
1027	107103	"US DISTRICT COURT, AR"	00:00.0	00:00.0
1027	108409	US PROBATION OFFICE	00:00.0	00:00.0
1027	108409	"US PROBATION OFFICE, UTAH"	00:00.0	00:00.0
1100	113164	EOP-OFC OF SCIENCE  TECH POLICY	00:00.0	00:00.0
1100	113164	EOP-OFC OF SCIENCE&TECH POLICY	00:00.0	00:00.0
1205	123144	"USDA, OCP-POD-ACQ-MGMT-BRANCH-FTC"	00:00.0	00:00.0
1205	123144	"USDA, OCP/POD ACQ MGMT BRANCH FTC"	00:00.0	00:00.0
1205	1264WC	"USDA, OCIO-NITC-RMD RESRC SUPT SVC"	00:00.0	00:00.0
1205	1264WC	"USDA, OCIO/DISC-RMD RESRC SUPT SVCS"	00:00.0	00:00.0
12A4	1212A4	"USDA, OFF OF HOMELAND SECURITY EMER"	00:00.0	00:00.0
12A4	1212A4	"USDA, OFC OF HOMELAND SECURITY"	00:00.0	00:00.0
12A9	1212A9	"USDA, NATIONAL APPEALS DIVISION"	00:00.0	00:00.0
12A9	1212A9	"USDA, OFC OF HEARINGS&APPEALS"	00:00.0	00:00.0
12B0	1212B0	"USDA, ASST SEC OF DEPT MGMT"	00:00.0	00:00.0
12B0	1212B0	"USDA, ASST SEC FOR DEPTMENTAL ADMIN"	00:00.0	00:00.0
12B0	3142	"USDA, DM/MS PROCUREMENT OPERATIONS DIVISION"	00:00.0	00:00.0
12B0	3142	"USDA, OPPM PROCUREMENT OPERATIONS DIVISION"	00:00.0	00:00.0
12B3	1212B3	"USDA, OFF PROCUREMENT PROPERTY MGMT"	00:00.0	00:00.0
12B3	1212B3	USDA OFC CONTRACTING&PROCUREMENT	00:00.0	00:00.0
12BC	1212BC	"USDA, OFC OF PARTNERSHIP PUBLIC ENG"	00:00.0	00:00.0
