contract_award_unique_key,Error,AgencyID,awarding_agency_code,award_id_piid,parent_award_id_piid,parent_award_agency_id,award_or_idv_flag,CSIScontractID,CSISidvpiidID,parent_contract_award_unique_key,manual_parent_contract_award_unique_key,manual_award_or_idv_flag,IsParentCSIScontractID
CONT_AWD_1_6950_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,6950,NULL,1,,,AWARD,87507,23356,NULL,NULL,NULL,1
CONT_AWD_500960016_7530_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,7530,NULL,500960016,,,AWARD,91400817,23356,NULL,NULL,NULL,1
CONT_AWD_50ABNE700002_1330_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,1330,NULL,50ABNE700002,,,AWARD,118540,23356,NULL,NULL,NULL,1
CONT_AWD_72011521S00005_7200_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,7200,72,72011521S00005,,,AWARD,87591920,23356,NULL,NULL,NULL,1
CONT_AWD_72026722S00002_7200_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,7200,NULL,72026722S00002,,,AWARD,92999196,23356,NULL,NULL,NULL,1
CONT_AWD_72026722S00003_7200_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,7200,72,72026722S00003,,,AWARD,92999197,23356,NULL,NULL,NULL,1
CONT_AWD_72026722S00004_7200_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,7200,72,72026722S00004,,,AWARD,92999198,23356,NULL,NULL,NULL,1
CONT_AWD_72026723S00003_7200_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,7200,NULL,72026723S00003,,,AWARD,97519767,23356,NULL,NULL,NULL,1
CONT_AWD_72061321S00002_7200_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,7200,72,72061321S00002,,,AWARD,87592459,23356,NULL,NULL,NULL,1
CONT_AWD_72061321S00003_7200_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,7200,NULL,72061321S00003,,,AWARD,87592460,23356,NULL,NULL,NULL,1
CONT_AWD_72061323S00001_7200_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,7200,NULL,72061323S00001,,,AWARD,98954284,23356,NULL,NULL,NULL,1
CONT_AWD_DAAG4776C0090_9700_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,9700,97,DAAG4776C0090,,,AWARD,492055,23356,NULL,NULL,NULL,1
CONT_AWD_DACA5102C0023_9700_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,9700,97,DACA5102C0023,,,AWARD,544252,23356,NULL,NULL,NULL,1
CONT_AWD_DACA5102C0028_9700_-NONE-_-NONE-,award_or_idv_flag=AWARD but IsParentCSIScontractID=1,9700,97,DACA5102C0028,,,AWARD,544255,23356,NULL,NULL,NULL,1
