SourceVariableName,CSISvariableName,IsDuplicate
[prime_award_report_id],[prime_award_report_id],
[prime_award_piid],[prime_award_piid],
[prime_award_idvpiid],[prime_award_idvpiid],
[prime_award_federal_award_id],[prime_award_federal_award_id],
[type_of_spending],[type_of_spending],
[prime_award_date_submitted],[prime_award_date_submitted],
[prime_award_report_month],[prime_award_report_month],
[prime_award_report_year],[prime_award_report_year],
[prime_award_report_type],[prime_award_report_type],
[prime_award_principal_place_street],[prime_award_principal_place_street],
[prime_award_principal_place_city],[prime_award_principal_place_city],
[prime_award_principal_place_state],[prime_award_principal_place_state],
[prime_award_principal_place_zip],[prime_award_principal_place_zip],
[prime_award_principal_place_district],[prime_award_principal_place_district],
[prime_award_principal_place_country],[prime_award_principal_place_country],
[prime_awardee_parent_duns],[prime_awardee_parent_duns],
[prime_awardee_parent_contractor_name],[prime_awardee_parent_contractor_name],
[prime_award_contracting_agency_id],[prime_award_contracting_agency_id],
[prime_award_contracting_agency_name],[prime_award_contracting_agency_name],
[prime_award_contracting_office_id],[prime_award_contracting_office_id],
[prime_award_contracting_office_name],[prime_award_contracting_office_name],
[prime_award_funding_agency_id],[prime_award_funding_agency_id],
[prime_award_funding_agency_name],[prime_award_funding_agency_name],
[prime_award_funding_office_id],[prime_award_funding_office_id],
[prime_award_funding_office_name],[prime_award_funding_office_name],
[prime_award_program_source_agency],[prime_award_program_source_agency],
[prime_award_program_source_account],[prime_award_program_source_account],
[prime_award_program_source_subaccount],[prime_award_program_source_subaccount],
[prime_awardee_executive1],[prime_awardee_executive1],
[prime_awardee_executive1_compensation],[prime_awardee_executive1_compensation],
[prime_awardee_executive2],[prime_awardee_executive2],
[prime_awardee_executive2_compensation],[prime_awardee_executive2_compensation],
[prime_awardee_executive3],[prime_awardee_executive3],
[prime_awardee_executive3_compensation],[prime_awardee_executive3_compensation],
[prime_awardee_executive4],[prime_awardee_executive4],
[prime_awardee_executive4_compensation],[prime_awardee_executive4_compensation],
[prime_awardee_executive5],[prime_awardee_executive5],
[prime_awardee_executive5_compensation],[prime_awardee_executive5_compensation],
[prime_award_principal_naics_code],[prime_award_principal_naics_code],
[prime_award_principal_naics_desc],[prime_award_principal_naics_desc],
[prime_award_cfda_program_number_title_codes],[prime_award_cfda_program_number_title_codes],
[prime_award_amount],[prime_award_amount],
[prime_award_date_signed],[prime_award_date_signed],
[prime_award_project_description],[prime_award_project_description],
[prime_award_transaction_type],[prime_award_transaction_type],
[prime_award_program_title],[prime_award_program_title],
[prime_awardee_recovery_model_q1],[prime_awardee_recovery_model_q1],
[prime_awardee_recovery_model_q2],[prime_awardee_recovery_model_q2],
[prime_award_fiscal_year],[prime_award_fiscal_year],
[prime_award_contracting_major_agency_id],[prime_award_contracting_major_agency_id],
[prime_award_contracting_major_agency_name],[prime_award_contracting_major_agency_name],
[prime_award_funding_major_agency_id],[prime_award_funding_major_agency_id],
[prime_award_funding_major_agency_name],[prime_award_funding_major_agency_name],
[prime_award_agencyid],[prime_award_agencyid],
[prime_award_idvagencyid],[prime_award_idvagencyid],
[subawardee_dunsnumber],[subawardee_dunsnumber],
[subawardee_name],[subawardee_name],
[subawardee_dba_name],[subawardee_dba_name],
[subawardee_street],[subawardee_street],
[subawardee_city],[subawardee_city],
[subawardee_state],[subawardee_state],
[subawardee_zipcode],[subawardee_zipcode],
[subawardee_congressionaldistrict],[subawardee_congressionaldistrict],
[subawardee_countrycode],[subawardee_countrycode],
[subaward_principal_place_street],[subaward_principal_place_street],
[subaward_principal_place_city],[subaward_principal_place_city],
[subaward_principal_place_state],[subaward_principal_place_state],
[subaward_principal_place_zip],[subaward_principal_place_zip],
[subaward_principal_place_district],[subaward_principal_place_district],
[subaward_principal_place_country],[subaward_principal_place_country],
[subawardee_parent_duns],[subawardee_parent_duns],
[subawardee_parent_contractor_name],[subawardee_parent_contractor_name],
[subaward_amount],[subaward_amount],
[subaward_date],[subaward_date],
[subaward_principal_naics_code],[subaward_principal_naics_code],
[subaward_principal_naics_desc],[subaward_principal_naics_desc],
[subaward_funding_office_id],[subaward_funding_office_id],
[subaward_funding_office_name],[subaward_funding_office_name],
[subaward_federal_agency_id],[subaward_federal_agency_id],
[subaward_federal_agency_name],[subaward_federal_agency_name],
[subaward_major_agency_id],[subaward_major_agency_id],
[subaward_major_agency_name],[subaward_major_agency_name],
[subaward_number],[subaward_number],
[subaward_project_description],[subaward_project_description],
[subawardee_recovery_model_q1],[subawardee_recovery_model_q1],
[subawardee_recovery_model_q2],[subawardee_recovery_model_q2],
[subaward_report_month],[subaward_report_month],
[subaward_report_year],[subaward_report_year],
[subaward_fiscal_year],[subaward_fiscal_year],
[subawardee_executive1],[subawardee_executive1],
[subawardee_executive1_compensation],[subawardee_executive1_compensation],
[subawardee_executive2],[subawardee_executive2],
[subawardee_executive2_compensation],[subawardee_executive2_compensation],
[subawardee_executive3],[subawardee_executive3],
[subawardee_executive3_compensation],[subawardee_executive3_compensation],
[subawardee_executive4],[subawardee_executive4],
[subawardee_executive4_compensation],[subawardee_executive4_compensation],
[subawardee_executive5],[subawardee_executive5],
[subawardee_executive5_compensation],[subawardee_executive5_compensation],
[subawardee_business_types],[subawardee_business_types],
[subaward_cfda_program_number_title_codes],[subaward_cfda_program_number_title_codes],
[CSIScreatedDate],[CSIScreatedDate],
[CSISmodifiedDate],[CSISmodifiedDate],
[ErrorDescription],[ErrorDescription],
[ErrorCode],[ErrorCode],
[ErrorColumn],[ErrorColumn],
[unique_transaction_id],[unique_transaction_id],
[transaction_status],[transaction_status],
[obligatedamount],[obligatedamount],
[baseandexercisedoptionsvalue],[baseandexercisedoptionsvalue],
[baseandalloptionsvalue],[baseandalloptionsvalue],
