SourceVariableName,CSISvariableName,IsEmpty,UnmatchedPostgres
[a_76_fair_act_action],[a76action],,
[a_76_fair_act_action_desc],[a76_fair_act_action_name],,
[action_date],[signeddate],,
[action_type],[reasonformodification],,
[action_type_description],[action_type_name],,
[additional_reporting],[additional_reporting],,TRUE
[agency_id],[agencyid],,
[airport_authority],[isairportauthority],,
[alaskan_native_owned_corpo],[isalaskannativeownedcorporationorfirm],,
[alaskan_native_servicing_i],[alaskan_native_servicing_institution],,
[american_indian_owned_busi],[aiobflag],,
[annual_revenue],[annualrevenue],,
[asian_pacific_american_own],[apaobflag],,
[award_description],[transaction_description],,
[award_modification_amendme],[modnumber],,
[award_or_idv_flag],[award_or_idv_flag],TRUE,
[awardee_or_recipient_legal],[vendorname],,
[awardee_or_recipient_uei],[recipient_uei],,
[awardee_or_recipient_uniqu],[dunsnumber],,
[awarding_agency_code],[awarding_agency_code],,
[awarding_agency_name],[awarding_agency_name],,
[awarding_office_code],[contractingofficeid],,
[awarding_office_name],[awarding_office_name],,
[awarding_sub_tier_agency_c],[contractingofficeagencyid],,
[awarding_sub_tier_agency_n],[awarding_sub_agency_name],,
[base_and_all_options_value],[baseandalloptionsvalue],,
[base_exercised_options_val],[baseandexercisedoptionsvalue],,
[black_american_owned_busin],[baobflag],,
[business_categories],[business_categories],,TRUE
[c1862_land_grant_college],[is1862landgrantcollege],,
[c1890_land_grant_college],[is1890landgrantcollege],,
[c1994_land_grant_college],[is1994landgrantcollege],,
[c8a_program_participant],[firm8aflag],,
[cage_code],[cage],,
[city_local_government],[city_local_government],,
[clinger_cohen_act_pla_desc],[clinger_cohen_act_planning_name],,
[clinger_cohen_act_planning],[clingercohenact],,
[commercial_item_acqui_desc],[commercial_item_acquisition_procedures_name],,
[commercial_item_acquisitio],[commercialitemacquisitionprocedures],,
[commercial_item_test_desc],[simplified_procedures_for_certain_commercial_items],,
[commercial_item_test_progr],[simplified_procedures_for_certain_commercial_items_code],,
[community_developed_corpor],[community_developed_corporation_owned_firm],,
[community_development_corp],[community_development_corporation],,
[consolidated_contract],[consolidatedcontract],,
[consolidated_contract_desc],[consolidated_contract_name],,
[construction_wage_rat_desc],[davis_bacon_act_name],,
[construction_wage_rate_req],[davisbaconact],,
[contingency_humanitar_desc],[contingency_humanitarian_or_peacekeeping_operation_name],,
[contingency_humanitarian_o],[contingencyhumanitarianpeacekeepingoperation],,
[contract_award_type],[award_type_code],,
[contract_award_type_desc],[award_type_name],,
[contract_bundling],[contractbundling],,
[contract_bundling_descrip],[contract_bundling_name],,
[contract_financing],[contractfinancing],,
[contract_financing_descrip],[contract_financing_name],,
[contracting_officers_desc],[ContractingOfficerBusinessSizeDeterminationText],,
[contracting_officers_deter],[contractingofficerbusinesssizedetermination],,
[contracts],[receivescontracts],,
[corporate_entity_not_tax_e],[corporate_entity_not_tax_exempt],,
[corporate_entity_tax_exemp],[iscorporateentitytaxexempt],,
[cost_accounting_stand_desc],[cost_accounting_standards_clause_name],,
[cost_accounting_standards],[costaccountingstandardsclause],,
[cost_or_pricing_data],[costorpricingdata],,
[cost_or_pricing_data_desc],[cost_or_pricing_data_name],,
[council_of_governments],[iscouncilofgovernments],,
[country_of_product_or_desc],[country_of_product_or_service_origin_name],,
[country_of_product_or_serv],[countryoforigin],,
[county_local_government],[county_local_government],,
[created_at],[created_at],,TRUE
[current_total_value_award],[current_total_value_of_award],,
[detached_award_proc_unique],[contract_transaction_unique_key],,
[detached_award_procurement_id],[detached_award_procurement_id],,
[division_name],[divisionname],,
[division_number_or_office],[divisionnumberorofficecode],,
[dod_claimant_prog_cod_desc],[dod_claimant_program_description],,
[dod_claimant_program_code],[claimantprogramcode],,
[domestic_or_foreign_e_desc],[domestic_or_foreign_entity_name],,
[domestic_or_foreign_entity],[manufacturingorganizationtype],,
[domestic_shelter],[domestic_shelter],,
[dot_certified_disadvantage],[dot_certified_disadvantage],,
[economically_disadvantaged],[isecondisadvwomenownedsmallbusiness],,
[educational_institution],[educationalinstitutionflag],,
[emerging_small_business],[emergingsmallbusinessflag],,
[entity_data_source],[entity_data_source],,TRUE
[epa_designated_produc_desc],[epa_designated_product_name],,
[epa_designated_product],[useofepadesignatedproducts],,
[evaluated_preference],[evaluatedpreference],,
[evaluated_preference_desc],[evaluated_preference_name],,
[extent_compete_description],[extent_competed_name],,
[extent_competed],[extentcompeted],,
[fair_opportunity_limi_desc],[fair_opportunity_limited_sources_name],,
[fair_opportunity_limited_s],[statutoryexceptiontofairopportunity],,
[fed_biz_opps],[fedbizopps],,
[fed_biz_opps_description],[fed_biz_opps_name],,
[federal_action_obligation],[obligatedamount],,
[federal_agency],[isfederalgovernmentagency],,
[federally_funded_research],[isfederallyfundedresearchanddevelopmentcorp],,
[for_profit_organization],[isforprofitorganization],,
[foreign_funding],[fundedbyforeignentity],,
[foreign_funding_desc],[foreign_funding_description],,
[foreign_government],[isforeigngovernment],,
[foreign_owned_and_located],[foreign_owned],,
[foundation],[isfoundation],,
[funding_agency_code],[maj_fund_agency_cat],,
[funding_agency_name],[funding_agency_name],,
[funding_office_code],[fundingrequestingofficeid],,
[funding_office_name],[funding_office_name],,
[funding_sub_tier_agency_co],[fundingrequestingagencyid],,
[funding_sub_tier_agency_na],[funding_sub_agency_name],,
[government_furnished_desc],[gfe_gfp_name],,
[government_furnished_prope],[gfe_gfp_code],,
[grants],[receivesgrants],,
[high_comp_officer1_amount],[prime_awardee_executive1_compensation],,
[high_comp_officer1_full_na],[prime_awardee_executive1],,
[high_comp_officer2_amount],[prime_awardee_executive2_compensation],,
[high_comp_officer2_full_na],[prime_awardee_executive2],,
[high_comp_officer3_amount],[prime_awardee_executive3_compensation],,
[high_comp_officer3_full_na],[prime_awardee_executive3],,
[high_comp_officer4_amount],[prime_awardee_executive4_compensation],,
[high_comp_officer4_full_na],[prime_awardee_executive4],,
[high_comp_officer5_amount],[prime_awardee_executive5_compensation],,
[high_comp_officer5_full_na],[prime_awardee_executive5],,
[hispanic_american_owned_bu],[haobflag],,
[hispanic_servicing_institu],[ishispanicservicinginstitution],,
[historically_black_college],[hbcuflag],,
[historically_underutilized],[hubzoneflag],,
[hospital_flag],[hospitalflag],,
[housing_authorities_public],[ishousingauthoritiespublicortribal],,
[idv_type],[idv_type_code],,
[idv_type_description],[idv_type_name],,
[indian_tribe_federally_rec],[indian_tribe_federally_recognized],,
[information_technolog_desc],[information_technology_commercial_item_category_name],,
[information_technology_com],[informationtechnologycommercialitemcategory],,
[inherently_government_desc],[inherently_governmental_functions_description],,
[inherently_government_func],[inherently_governmental_functions],,
[initial_report_date],[initial_report_date],,
[inter_municipal_local_gove],[inter_municipal_local_government],,
[interagency_contract_desc],[interagency_contracting_authority_name],,
[interagency_contracting_au],[interagencycontractingauthority],,
[international_organization],[international_organization],,
[interstate_entity],[isinterstateentity],,
[joint_venture_economically],[isjointventureecondisadvwomenownedsmallbusiness],,
[joint_venture_women_owned],[isjointventurewomenownedsmallbusiness],,
[labor_standards],[servicecontractact],,
[labor_standards_descrip],[service_contract_act_name],,
[labor_surplus_area_firm],[labor_surplus_area_firm],,
[last_modified],[last_modified_date],,
[legal_entity_address_line1],[streetaddress],,
[legal_entity_address_line2],[streetaddress2],,
[legal_entity_address_line3],[streetaddress3],,
[legal_entity_city_name],[city],,
[legal_entity_congressional],[prime_award_transaction_recipient_cd_current],,
[legal_entity_country_code],[vendorcountrycode],,
[legal_entity_country_name],[recipient_country_name],,
[legal_entity_county_code],[prime_award_transaction_recipient_county_fips_code],,
[legal_entity_county_name],[recipient_county_name],,
[legal_entity_state_code],[vendor_state_code],,
[legal_entity_state_descrip],[recipient_state_name],,
[legal_entity_zip_last4],[legal_entity_zip_last4],,TRUE
[legal_entity_zip4],[zipcode],,
[legal_entity_zip5],[legal_entity_zip5],,TRUE
[limited_liability_corporat],[islimitedliabilitycorporation],,
[local_area_set_aside],[localareasetaside],,
[local_area_set_aside_desc],[local_area_set_aside_name],,
[local_government_owned],[local_government_owned],,
[major_program],[majorprogramcode],,
[manufacturer_of_goods],[manufacturer_of_goods],,
[materials_supplies_article],[walshhealyact],,
[materials_supplies_descrip],[walsh_healey_act_name],,
[minority_institution],[minorityinstitutionflag],,
[minority_owned_business],[minorityownedbusinessflag],,
[multi_year_contract],[multiyearcontract],,
[multi_year_contract_desc],[multi_year_contract_name],,
[multiple_or_single_aw_desc],[multiple_or_single_award_idv_name],,
[multiple_or_single_award_i],[multipleorsingleawardidc],,
[municipality_local_governm],[ismunicipalitylocalgovernment],,
[naics],[principalnaicscode],,
[naics_description],[naics_description],,
[national_interest_action],[nationalinterestactioncode],,
[national_interest_desc],[national_interest_action_name],,
[native_american_owned_busi],[naobflag],,
