colname,destinationtype,varcharsize
correction_delete_ind            ,varchar,1
government_furnished_property,varchar,255
research,varchar,255
last_modified_date,datetime2,
award_id_piid,varchar,50
modification_number,varchar,25
transaction_number,bigint,
parent_award_agency_id,varchar,4
parent_award_agency_name,varchar,255
parent_award_id_piid,varchar,50
parent_award_modification_number,varchar,25
federal_action_obligation,decimal,
base_and_exercised_options_value,decimal,
base_and_all_options_value,decimal,
action_date,date,
period_of_performance_start_date,date,
period_of_performance_current_end_date,datetime2,
period_of_performance_potential_end_date,datetime2,
ordering_period_end_date,date,
awarding_agency_code,smallint,
awarding_agency_name,varchar,255
awarding_sub_agency_code,varchar,4
awarding_sub_agency_name,varchar,255
awarding_office_code,varchar,6
awarding_office_name,varchar,255
funding_agency_code,varchar,4
funding_agency_name,varchar,255
funding_sub_agency_code,varchar,4
funding_sub_agency_name,varchar,255
funding_office_code,varchar,6
funding_office_name,varchar,255
foreign_funding,varchar,21
sam_exception,varchar,1
recipient_duns,varchar,13
recipient_name,nvarchar,
recipient_doing_business_as_name,nvarchar,
recipient_parent_name,nvarchar,
recipient_parent_duns,varchar,13
recipient_country_code,nvarchar,
recipient_country_name,varchar,255
recipient_address_line_1,varchar,115
recipient_address_line_2,varchar,64
recipient_city_name,varchar,35
recipient_state_code,varchar,35
recipient_state_name,varchar,255
recipient_zip_4_code,varchar,28
prime_award_transaction_recipient_cd_current,varchar,22
recipient_phone_number,varchar,20
recipient_fax_number,varchar,30
primary_place_of_performance_country_code,varchar,3
primary_place_of_performance_country_name,varchar,255
primary_place_of_performance_city_name,varchar,100
primary_place_of_performance_county_name,varchar,26
primary_place_of_performance_state_code,varchar,2
primary_place_of_performance_state_name,varchar,255
primary_place_of_performance_zip_4,varchar,10
prime_award_transaction_place_of_performance_cd_current,varchar,22
award_type_code,varchar,1
award_type,varchar,255
idv_type_code,varchar,1
idv_type,varchar,255
multiple_or_single_award_idv_code,varchar,1
multiple_or_single_award_idv,varchar,255
type_of_idc_code,varchar,41
type_of_idc,varchar,255
type_of_contract_pricing_code,varchar,2
type_of_contract_pricing,varchar,255
transaction_description,varchar,4035
action_type_code,varchar,1
action_type,varchar,255
solicitation_identifier,varchar,69
number_of_actions,bigint,
product_or_service_code,varchar,4
product_or_service_code_description,varchar,512
contract_bundling_code,varchar,1
contract_bundling,varchar,255
dod_claimant_program_code,varchar,3
dod_claimant_program_description,varchar,255
naics_code,varchar,6
naics_description,varchar,255
recovered_materials_sustainability_code,varchar,1
recovered_materials_sustainability,varchar,255
domestic_or_foreign_entity_code,varchar,1
domestic_or_foreign_entity,varchar,255
dod_acquisition_program_code,varchar,4
dod_acquisition_program_description,varchar,255
information_technology_commercial_item_category_code,varchar,30
information_technology_commercial_item_category,varchar,255
epa_designated_product_code,varchar,1
epa_designated_product,varchar,255
country_of_product_or_service_origin_code,varchar,3
country_of_product_or_service_origin,varchar,255
place_of_manufacture_code,varchar,1
place_of_manufacture,varchar,255
subcontracting_plan_code,varchar,1
subcontracting_plan,varchar,255
extent_competed_code,varchar,3
extent_competed,varchar,255
solicitation_procedures_code,varchar,5
solicitation_procedures,varchar,255
type_of_set_aside_code,varchar,10
type_of_set_aside,varchar,255
evaluated_preference_code,varchar,6
evaluated_preference,varchar,255
research_code,varchar,3
fair_opportunity_limited_sources_code,varchar,4
fair_opportunity_limited_sources,varchar,255
other_than_full_and_open_competition_code,varchar,3
other_than_full_and_open_competition,varchar,255
number_of_offers_received,bigint,
simplified_procedures_for_certain_commercial_items_code,varchar,1
simplified_procedures_for_certain_commercial_items,varchar,255
small_business_competitiveness_demonstration_program,bit,
commercial_item_acquisition_procedures_code,varchar,1
commercial_item_acquisition_procedures,varchar,255
a76_fair_act_action_code,bit,
a76_fair_act_action,varchar,255
fed_biz_opps_code,varchar,1
fed_biz_opps,varchar,255
local_area_set_aside_code,varchar,4
local_area_set_aside,varchar,255
price_evaluation_adjustment_preference_percent_difference,smallint,
clinger_cohen_act_planning_code,bit,
clinger_cohen_act_planning,varchar,255
materials_supplies_articles_equipment_code,varchar,1
materials_supplies_articles_equipment,varchar,255
labor_standards_code,varchar,1
labor_standards,varchar,255
construction_wage_rate_requirements_code,varchar,1
construction_wage_rate_requirements,varchar,255
interagency_contracting_authority_code,varchar,3
interagency_contracting_authority,varchar,255
other_statutory_authority,varchar,1000
program_acronym,varchar,29
parent_award_type_code,varchar,1
parent_award_type,varchar,255
parent_award_single_or_multiple_code,varchar,1
parent_award_single_or_multiple,varchar,255
major_program,varchar,104
national_interest_action_code,varchar,4
national_interest_action,varchar,255
cost_or_pricing_data_code,varchar,1
cost_or_pricing_data,varchar,255
cost_accounting_standards_clause_code,varchar,1
cost_accounting_standards_clause,varchar,255
government_furnished_property_code,varchar,1
sea_transportation_code,varchar,1
sea_transportation,varchar,255
undefinitized_action_code,varchar,1
undefinitized_action,varchar,255
consolidated_contract_code,varchar,1
consolidated_contract,varchar,255
performance_based_service_acquisition_code,varchar,38
performance_based_service_acquisition,varchar,255
multi_year_contract_code,bit,
multi_year_contract,varchar,255
contract_financing_code,varchar,1
contract_financing,varchar,255
purchase_card_as_payment_method_code,bit,
purchase_card_as_payment_method,varchar,255
contingency_humanitarian_or_peacekeeping_operation_code,varchar,1
contingency_humanitarian_or_peacekeeping_operation,varchar,255
alaskan_native_corporation_owned_firm,bit,
american_indian_owned_business,bit,
indian_tribe_federally_recognized,bit,
native_hawaiian_organization_owned_firm,bit,
tribally_owned_firm,bit,
veteran_owned_business,bit,
service_disabled_veteran_owned_business,bit,
woman_owned_business,bit,
women_owned_small_business,bit,
economically_disadvantaged_women_owned_small_business,bit,
joint_venture_women_owned_small_business,bit,
joint_venture_economic_disadvantaged_women_owned_small_bus,bit,
minority_owned_business,bit,
subcontinent_asian_asian_indian_american_owned_business,bit,
asian_pacific_american_owned_business,bit,
black_american_owned_business,bit,
hispanic_american_owned_business,bit,
native_american_owned_business,bit,
other_minority_owned_business,bit,
contracting_officers_determination_of_business_size,varchar,255
contracting_officers_determination_of_business_size_code,varchar,1
emerging_small_business,bit,
community_developed_corporation_owned_firm,bit,
labor_surplus_area_firm,bit,
us_federal_government,bit,
federally_funded_research_and_development_corp,bit,
federal_agency,bit,
us_state_government,bit,
us_local_government,bit,
city_local_government,bit,
county_local_government,bit,
inter_municipal_local_government,bit,
local_government_owned,bit,
municipality_local_government,bit,
school_district_local_government,bit,
township_local_government,bit,
us_tribal_government,bit,
foreign_government,bit,
corporate_entity_not_tax_exempt,bit,
corporate_entity_tax_exempt,bit,
partnership_or_limited_liability_partnership,bit,
sole_proprietorship,bit,
small_agricultural_cooperative,bit,
international_organization,bit,
us_government_entity,bit,
community_development_corporation,bit,
domestic_shelter,bit,
educational_institution,bit,
foundation,bit,
hospital_flag,bit,
manufacturer_of_goods,bit,
veterinary_hospital,bit,
hispanic_servicing_institution,bit,
receives_contracts,bit,
