"","CSISvariableName","VariableType","Nullable"
"1","[productorservicecode]","[varchar](4)","NULL"
"2","[product_or_service_code_description]","[varchar](255)","NULL"
"3","[contractingofficeagencyid]","[varchar](4)","NULL"
"4","[DepartmentID]","[varchar](4)","NULL"
"5","[fundingrequestingagencyid]","[varchar](8)","NULL"
"6","[PlaceofPerformanceCity]","[varchar](50)","NULL"
"7","[pop_state_code]","[varchar](2)","NULL"
"8","[primary_place_of_performance_county_name]","[varchar](50)","NULL"
"9","[signeddate]","[datetime2](7)","NULL"
"10","[extent_competed_name]","[varchar](255)","NULL"
"11","[fair_opportunity_limited_sources_name]","[varchar](255)","NULL"
"12","[type_of_contract_pricing_name]","[varchar](255)","NULL"
"13","[descriptionofcontractrequirement]","[varchar](4000)","NULL"
"14","[vendorname]","[nvarchar](150)","NULL"
"15","[piid]","[varchar](50)","NULL"
"16","[idvpiid]","[varchar](50)","NULL"
"17","[dunsnumber]","[varchar](9)","NULL"
"18","[obligatedamount]","[decimal](19, 4)","NULL"
"19","[awarding_department_name]","[varchar](255)","NULL"
"20","[awarding_agency_name]","[varchar](255)","NULL"
"21","[fundingrequestingdepartmentid]","[varchar](8)","NULL"
"22","[funding_office_name]","[varchar](255)","NULL"
"23","[funding_agency_name]","[varchar](255)","NULL"
"24","[placeofperformancezipcode]","[varchar](10)","NULL"
"25","[placeofperformancecountrycode]","[varchar](3)","NULL"
"26","[totalcontractvalue]","[decimal](19, 4)","NULL"
"27","[baseandalloptionsvalue]","[decimal](19, 4)","NULL"
"28","[totaldollaramountinvoiced]","[decimal](19, 4)","NULL"
"29","[numberofcontractorhoursinvoiced]","[decimal](11, 2)","NULL"
"30","[numberofcontractorfulltimeequivalentemployeesftes]","[decimal](11, 9)","NULL"
"31","[fiscal_year]","[int]","NULL"
"32","[totalactionobligation]","[decimal](19, 4)","NULL"
"33","[totalbaseandalloptionsvalue]","[decimal](19, 4)","NULL"
"34","[primecontractorhoursinvoiced]","[decimal](10, 2)","NULL"
"35","[primecontractorfulltimeequivalentemployeesftes]","[decimal](10, 2)","NULL"
"36","[CSIScreatedDate]","[datetime]","NOT"
"37","[CSISmodifiedDate]","[datetime]","NOT"
"38","[IsDuplicateUTI]","[bit]","NULL"
