colname,destinationtype,varcharsize
detached_award_procurement_id, int, 
detached_award_proc_unique, varchar,154
a_76_fair_act_action, bit, 
a_76_fair_act_action_desc, varchar,255
action_date, datetime2,7
action_type, varchar,1
action_type_description, varchar,255
additional_reporting, varchar,255
agency_id, varchar,4
annual_revenue, decimal, 
award_description, varchar,4035
award_modification_amendme, varchar,25
award_or_idv_flag, varchar,5
awardee_or_recipient_legal, nvarchar,150
awardee_or_recipient_uniqu, nvarchar,150
awarding_agency_code, smallint, 
awarding_agency_name, varchar,255
awarding_office_code, varchar,6
awarding_office_name, varchar,255
awarding_sub_tier_agency_c, varchar,4
awarding_sub_tier_agency_n, varchar,255
base_and_all_options_value, decimal, 
base_exercised_options_val, decimal, 
business_categories, varchar,1
cage_code, varchar,5
clinger_cohen_act_pla_desc, varchar,255
clinger_cohen_act_planning, bit, 
commercial_item_acqui_desc, varchar,255
commercial_item_acquisitio, varchar,1
commercial_item_test_desc, varchar,255
commercial_item_test_progr, varchar,1
consolidated_contract, varchar,1
consolidated_contract_desc, varchar,255
construction_wage_rat_desc, varchar,255
construction_wage_rate_req, varchar,1
contingency_humanitar_desc, varchar,255
contingency_humanitarian_o, varchar,1
contract_award_type, varchar,1
contract_award_type_desc, varchar,255
contract_bundling, varchar,1
contract_bundling_descrip, varchar,255
contract_financing, varchar,1
contract_financing_descrip, varchar,255
contracting_officers_desc, varchar,255
contracting_officers_deter, varchar,1
cost_accounting_stand_desc, varchar,255
cost_accounting_standards, varchar,1
cost_or_pricing_data, varchar,1
cost_or_pricing_data_desc, varchar,255
country_of_product_or_desc, varchar,255
country_of_product_or_serv, varchar,3
created_at, datetime2,7
current_total_value_award, decimal, 
division_name, nvarchar,150
division_number_or_office, varchar,10
dod_claimant_prog_cod_desc, varchar,255
dod_claimant_program_code, varchar,3
domestic_or_foreign_e_desc, varchar,255
domestic_or_foreign_entity, bit, 
epa_designated_produc_desc, varchar,255
epa_designated_product, varchar,1
evaluated_preference, varchar,6
evaluated_preference_desc, varchar,255
extent_compete_description, varchar,255
extent_competed, varchar,3
fair_opportunity_limi_desc, varchar,255
fair_opportunity_limited_s, varchar,4
fed_biz_opps, varchar,1
fed_biz_opps_description, varchar,255
federal_action_obligation, decimal, 
foreign_funding, varchar,21
foreign_funding_desc, varchar,25
funding_agency_code, varchar,4
funding_agency_name, varchar,255
funding_office_code, varchar,6
funding_office_name, varchar,255
funding_sub_tier_agency_co, varchar,4
funding_sub_tier_agency_na, varchar,255
government_furnished_desc, varchar,255
government_furnished_prope, varchar,1
high_comp_officer1_amount, decimal, 
high_comp_officer1_full_na, varchar,100
high_comp_officer2_amount, decimal, 
high_comp_officer2_full_na, varchar,100
high_comp_officer3_amount, decimal, 
high_comp_officer3_full_na, varchar,100
high_comp_officer4_amount, decimal, 
high_comp_officer4_full_na, varchar,100
high_comp_officer5_amount, decimal, 
high_comp_officer5_full_na, varchar,100
idv_type, varchar,1
idv_type_description, varchar,255
information_technolog_desc, varchar,255
information_technology_com, varchar,30
inherently_government_desc, varchar,40
inherently_government_func, varchar,10
initial_report_date, datetime2,7
interagency_contract_desc, varchar,255
interagency_contracting_au, varchar,3
labor_standards, varchar,1
labor_standards_descrip, varchar,255
last_modified, datetime2,7
legal_entity_address_line1, varchar,115
legal_entity_address_line2, varchar,64
legal_entity_address_line3, varchar,55
legal_entity_city_name, varchar,35
legal_entity_congressional, varchar,22
legal_entity_country_code, nvarchar,50
legal_entity_country_name, varchar,255
legal_entity_county_code, int, 
legal_entity_county_name, varchar,30
legal_entity_state_code, varchar,35
legal_entity_state_descrip, varchar,35
legal_entity_zip4, varchar,28
legal_entity_zip5, varchar,255
legal_entity_zip_last4, varchar,255
local_area_set_aside, varchar,4
local_area_set_aside_desc, varchar,255
major_program, varchar,104
materials_supplies_article, varchar,1
materials_supplies_descrip, varchar,255
multi_year_contract, bit, 
multi_year_contract_desc, varchar,255
multiple_or_single_aw_desc, varchar,255
multiple_or_single_award_i, varchar,1
naics, varchar,6
naics_description, varchar,255
national_interest_action, varchar,4
national_interest_desc, varchar,255
number_of_actions, bigint, 
number_of_employees, bigint, 
number_of_offers_received, bigint, 
