CSISvariableName,IsDroppedNameField,Pair
[PrimeAwardReportID],,
[PrimeAwardPIID],,
[PrimeAwardIDVPIID],,
[PrimeAwardFederalAwardID],,
[TypeOfSpending],,
[PrimeAwardDateSubmitted],,
[PrimeAwardReportMonth],,
[PrimeAwardReportYear],,
[PrimeAwardReportType],,
[PrimeAwardPrincipalPlaceStreet],,
[PrimeAwardPrincipalPlaceCity],,
[PrimeAwardPrincipalPlaceState],,
[PrimeAwardPrincipalPlaceZIP],,[place_of_performance_zip4a]
[PrimeAwardPrincipalPlaceDistrict],,
[PrimeAwardPrincipalPlaceCountry],,
[PrimeAwardeeParentDuns],,
[PrimeAwardeeParentContractorName],,
[PrimeAwardContractingAgencyID],,
[PrimeAwardContractingAgencyName],,
[PrimeAwardContractingOfficeID],,
[PrimeAwardContractingOfficeName],,
[PrimeAwardFundingAgencyID],,
[PrimeAwardFundingAgencyName],,
[PrimeAwardFundingOfficeID],,
[PrimeAwardFundingOfficeName],,
[PrimeAwardProgramSourceAgency],,
[PrimeAwardProgramSourceAccount],,
[PrimeAwardProgramSourceSubaccount],,
[highly_compensated_officer_1_name],,
[highly_compensated_officer_1_amount],,
[highly_compensated_officer_2_name],,
[highly_compensated_officer_2_amount],,
[highly_compensated_officer_3_name],,
[highly_compensated_officer_3_amount],,
[highly_compensated_officer_4_name],,
[highly_compensated_officer_4_amount],,
[highly_compensated_officer_5_name],,
[highly_compensated_officer_5_amount],,
[PrimeAwardPrincipalNaicsCode],,
[PrimeAwardPrincipalNaicsDesc],,
[PrimeAwardCFDAprogramNumberTitleCodes],,
[PrimeAwardAmount],,
[PrimeAwardDateSigned],,
[PrimeAwardProjectDescription],,
[PrimeAwardTransactionType],,
[PrimeAwardProgramTitle],,
[PrimeAwardeeRecoveryModelQ1],,
[PrimeAwardeeRecoveryModelQ2],,
[PrimeAwardFiscalYear],,
[PrimeAwardContractingMajorAgencyID],,
[PrimeAwardContractingMajorAgencyName],,
[PrimeAwardFundingMajorAgencyID],,
[PrimeAwardFundingMajorAgencyName],,
[PrimeAwardAgencyID],,
[parent_award_agency_id],,[parent_award_agency_name]
[SubawardeeDunsnumber],,
[SubawardeeName],,
[SubawardeeDBAname],,
[SubawardeeStreet],,
[SubawardeeCity],,
[SubawardeeState],,
[SubawardeeZipcode],,
[SubawardeeCongressionalDistrict],,
[SubawardeeCountrycode],,
[SubawardPrincipalPlaceStreet],,
[SubawardPrincipalPlaceCity],,
[SubawardPrincipalPlaceState],,
[SubawardPrincipalPlaceZip],,
[SubawardPrincipalPlaceDistrict],,
[SubawardPrincipalPlaceCountry],,
[SubawardeeParentDuns],,
[SubawardeeParentContractorName],,
[SubawardAmount],,
[SubawardDate],,
[SubawardPrincipalNaicsCode],,
[SubawardPrincipalNaicsDesc],,
[SubawardFundingOfficeID],,
[SubawardFundingOfficeName],,
[SubawardFederalAgencyID],,
[SubawardFederalAgencyName],,
[SubawardMajorAgencyID],,
[SubawardMajorAgencyName],,
[SubawardNumber],,
[SubawardProjectDescription],,
[SubawardeeRecoveryModelQ1],,
[SubawardeeRecoveryModelQ2],,
[SubawardReportMonth],,
[SubawardReportYear],,
[SubawardFiscalYear],,
[SubawardeeExecutive1],,
[SubawardeeExecutive1Compensation],,
[SubawardeeExecutive2],,
[SubawardeeExecutive2Compensation],,
[SubawardeeExecutive3],,
[SubawardeeExecutive3Compensation],,
[SubawardeeExecutive4],,
[SubawardeeExecutive4Compensation],,
[SubawardeeExecutive5],,
[SubawardeeExecutive5Compensation],,
[SubawardeeBusinessTypes],,
[SubawardCFDAprogramNumberTitleCodes],,
[CSIScreatedDate],,
[CSISmodifiedDate],,
[ErrorDescription],,
[ErrorCode],,
[ErrorColumn],,
[unique_transaction_id],,
[transaction_status],,
[federal_action_obligation],,
[base_and_exercised_options_value],,
[Base_and_All_Options_Value],,
[maj_agency_cat],,
[mod_agency],,
[funding_agency_code],,[funding_agency_name]
[awarding_sub_agency_code],,[awarding_sub_agency_name]
[awarding_office_code],,[awarding_office_name]
[funding_sub_agency_code],,[funding_sub_agency_name]
[funding_office_code],,[funding_office_name]
[foreign_funding],,[foreign_funding_description]
[action_date],,
[period_of_performance_start_date],,
[period_of_performance_current_end_date],,
[period_of_performance_potential_end_date],,
[ordering_period_end_date],,
[contractactiontype],,
[action_type_code],,[action_type]
[type_of_contract_pricing_code],,[type_of_contract_pricing]
[price_evaluation_adjustment_preference_percent_difference],,
[subcontracting_plan_code],,[subcontracting_plan]
[multi_year_contract_code],,[multi_year_contract]
[major_program],,
[transaction_description],,
[number_of_actions],,
[progsourceagency],,
[progsourceaccount],,
[progsourcesubacct],,
[account_title],,
[rec_flag],,
[program_acronym],,
[recipient_name],,
[vendoralternatename],,
[vendorlegalorganizationname],,
[recipient_doing_business_as_name],,
[divisionname],,
[divisionnumberorofficecode],,
[vendorenabled],,
[vendorlocationdisableflag],,
[recipient_address_line_1],,
[recipient_address_line_2],,
[streetaddress3],,
[recipient_city_name],,
[state],,[recipient_state_code]
[recipient_zip_4_code],,[legal_entity_zip_last4]
[recipient_country_code],,[recipient_country_name]
