coloration.key,variable,Label,Display.Order,Color,RGB,shape,size,alpha,text.color,text.RGB,abbreviation
Binary,TRUE,TRUE,1,"Blue, Accent 1",#0D0DD1,,,,default grey,#554449,
Binary,FALSE,FALSE,2,red,#AA4643,,,,default grey,#554449,
Binary,Yes,Yes,1,"Blue, Accent 1",#0D0DD1,,,,default grey,#554449,
Binary,No,No,2,red,#AA4643,,,,default grey,#554449,
Binary,1,TRUE,1,"Blue, Accent 1",#0D0DD1,,,,default grey,#554449,
Binary,0,FALSE,2,red,#AA4643,,,,default grey,#554449,
,,,,,,,,,,,
Source,FPDS Products,"FPDS Products\n(Constant $, \nOblig. Fis. Year)",1,,#BB4243,,,,default grey,#554449,
Source,FPDS Other,"FPDS Service\n& R&D (Constant $, \nOblig. Fis. Year)",2,"DIIG Secondary, Navy",#1d2d5c,,,,default grey,#554449,
Source,FPDS,"FPDS (Constant $, \nOblig. Fis. Year)",1,orange,#DB8403,,,,default grey,#554449,
Source,FPDS Services & R&D,"FPDS Services & R&D (Constant $, \nOblig. Fis. Year)",1,"DIIG Secondary, Navy",#1d2d5c,,,,default grey,#554449,
Source,FPDS Unlabeled,"FPDS Unlabeled (Constant $, \nOblig. Fis. Year)",1,orange,#DB8403,,,,default grey,#554449,
Source,SIPRI,"SIPRI (TIV, \nDeliv. Cal. Year)",7,purple,#71588F,,,,default grey,#554449,
Source,SIPRI United States,"SIPRI U.S. (TIV, \nDeliv. Cal. Year)",7,purple,#71588F,,,,default grey,#554449,
Source,SIPRI South Korea,"SIPRI ROK (TIV, \nDeliv. Cal. Year)",8,"DIIG Additional, Amaranth",#7c131b,,,,default grey,#554449,
Source,USITC,"USITC (Constant $, \nDeliv. Cal. Year)",5,"DIIG Primary, National Guard",#0e99d6,,,,default grey,#554449,
Source,USITC Export,"USITC Exports (Constant $, \nDeliv. Cal. Year)",5,"DIIG Primary, National Guard",#0e99d6,,,,default grey,#554449,
Source,USITC Import,"USITC Imports (Constant $, \nDeliv. Cal. Year)",6,"DIIG Additional, Highlight Blue",#66c6cb,,,,default grey,#554449,
Source,DSCA,"DSCA (Constant $, \nDeliv. Fis. Year)",3,olive green,#89A54E,,,,default grey,#554449,
Source,DSCA FMS,"DSCA FMS (Constant $, \nDeliv. Fis. Year)",3,olive green,#89A54E,,,,default grey,#554449,
Source,DSCA FMCS,"DSCA FMSC (Constant $, \nDeliv. Fis. Year)",4,olive green,#89A54E,,,,default grey,#554449,
Source,TIV,Trend-Indicator Values,7,purple,#71588F,,,,default grey,#554449,
Source,TIV United States,U.S. Trend-Indicator Values,7,purple,#71588F,,,,default grey,#554449,
Source,TIV South Korea,ROK Trend-Indicator Values,8,"DIIG Secondary, Amaranth",#7c131b,,,,default grey,#554449,
Source,United States,United States,7,purple,#71588F,,,,default grey,#554449,
Source,South Korea,Republic of Korea,8,"DIIG Secondary, Amaranth",#7c131b,,,,default grey,#554449,
Source,Dollars,Dollars,1,green,#92D050,,,,default grey,#554449,
Source,R-1,R-1,1,green,#92D050,,,,default grey,#554449,
