ParentID,Ticker,ShortName,BloombergID,DIIGIndex,LargeGreaterThan1B,LargeGreaterThan3B,PMC,HRFprivatemilitary,SIGIRprivemilitary,SIGIRDuns,Subsidiary,MergerYear,RevenueInMillions,RevenueYear,RevenueSourceLink,Replace,JointVenture,LastYear,FirstYear,SizeGuess,NumberOfYears,DACIM,UnknownCompany,FPDSannualRevenue,Top100Federal,AlwaysDisplay,MergerDate,MergerURL,FirstDate,FirstURL,SpunOffFrom,Top6,HooverID,LexisNexisID,TopStandardizedVendor,CSIScreatedDate,CSISmodifiedDate,CSISmodifiedBy,overrideparentdunsnumber,parentheadquarterscountrycode,IsForeign,isinternationalNGO,isenterprise,ismultilateral,isngo,isgovernment,multilateraltype,isfaithbased,isnetwork,ispublicprivatepartnership,isUniversityorResearchInstitute,topISO3countrycode,totalamount,topISO3countrytotalamount,isInNeedOfInvestigation,isoverrideISO3countrycode,isnonprofit,IsPreTop6,IsSiliconValley,EntityID,Abbreviation
" P&O Nedlloyd Container Line [AP Moller MAERSK]",NULL,NULL,NULL,0,0,0,0,0,0,0,1,2006,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,0,NULL,0,0,NULL,http://en.wikipedia.org/wiki/P%26O_Nedlloyd,NULL,NULL,NULL,0,NULL,NULL,FARRELL LINES,2013-04-03 11:30:27.537,2013-11-08 16:27:20.200,CSIS\GSanders,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,USA,31119025.0000,31119025.0000,0,NULL,NULL,NULL,NULL,1154339,NULL
"""Classified Domestic Contractor""",NULL,NULL,NULL,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,0,2007,NULL,0,4,0,1,0,0,0,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,2013-04-03 11:30:27.537,2013-11-08 16:27:20.200,CSIS\GSanders,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,USA,6808868914.8000,6808343879.2800,0,NULL,NULL,NULL,NULL,1154338,NULL
"""Foreign Contractor""",NULL,NULL,NULL,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,1,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,2013-11-17 17:53:21.450,Reviewed by CSIS\GSanders,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SRB,2000.0000,2000.0000,0,NULL,NULL,NULL,NULL,1154337,NULL
(ASARECA) ASSOCIATION FOR STREGTHENING AGRICU,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,0,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,2013-11-08 16:27:20.200,CSIS\GSanders,NULL,NULL,NULL,1,0,NULL,1,0,NULL,NULL,NULL,NULL,0,UGA,4624680.0000,4624680.0000,1,NULL,NULL,NULL,NULL,1154336,NULL
"(PREVIOUSLY SCOJO FOUNDATION, INC.)",NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,0,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,2013-11-08 16:27:20.200,CSIS\GSanders,NULL,NULL,1,NULL,0,NULL,1,0,NULL,NULL,NULL,NULL,0,USA,585350.0000,585350.0000,1,NULL,NULL,NULL,NULL,1154335,NULL
**VARIABLE,NULL,NULL,NULL,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,0,2004,NULL,1,7,0,1,3344,0,0,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,2013-04-03 11:30:27.537,2013-11-08 16:27:20.200,CSIS\GSanders,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,USA,368795870.5500,333253106.9300,0,NULL,NULL,NULL,NULL,1154334,NULL
`MEDIA CENTAR` D.O.O. SARAJEVO,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,0,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,2013-11-08 16:27:20.200,CSIS\GSanders,NULL,NULL,1,NULL,0,NULL,1,0,NULL,NULL,NULL,NULL,0,BIH,299118.0000,299118.0000,1,NULL,NULL,NULL,NULL,1154333,NULL
101 MARIETTA STREET ASSOCIATES,NULL,NULL,NULL,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,0,2003,NULL,0,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,2013-04-03 11:30:27.537,2013-11-08 16:27:20.200,CSIS\GSanders,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,USA,107807.8300,107807.8300,0,NULL,NULL,NULL,NULL,185168,NULL
1R M SHOEMAKER HOLDINGS,NULL,NULL,NULL,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,0,1999,NULL,0,1,0,0,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,2013-04-03 11:30:27.537,2013-11-08 16:27:20.200,CSIS\GSanders,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,1154332,NULL
24/7 SOLUTIONS,NULL,NULL,NULL,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,1,0,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,2013-04-03 11:30:27.537,2013-11-08 16:27:20.200,CSIS\GSanders,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,1154331,NULL
3COM [HEWLETT PACKARD],NULL,NULL,NULL,0,1,0,0,0,0,0,1,NULL,1300.0000,NULL,http://en.wikipedia.org/wiki/3Com,NULL,0,2004,NULL,0,2,0,0,16595,0,0,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,2013-04-03 11:30:27.537,2013-11-08 16:27:20.200,CSIS\GSanders,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,USA,3381644.7600,3381644.7600,0,NULL,NULL,NULL,NULL,401214,NULL
3H TECHNOLOGY,NULL,NULL,NULL,0,0,0,0,0,0,0,1,2008,NULL,NULL,NULL,NULL,0,2003,NULL,1,5,0,0,11,0,0,2008-01-01 00:00:00.000,http://www.qinetiq.com/media/news/releases/Pages/acquisition-of-3h-technology.aspx,NULL,NULL,NULL,0,NULL,NULL,NULL,2013-04-03 11:30:27.537,2015-01-12 15:31:47.193,CSIS\JEllman,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,USA,120403277.4600,120403277.4600,0,NULL,NULL,NULL,NULL,401220,NULL
3M,MMM US Equity,3M CO,MMM US Equity,1,1,1,0,0,0,0,0,NULL,23123.0000,2009,NULL,NULL,0,2008,NULL,1,5,0,0,2019040,0,0,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,2013-04-03 11:30:27.537,2013-11-08 16:27:20.200,CSIS\GSanders,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,USA,423793764.5790,381535915.4190,0,NULL,NULL,NULL,NULL,401227,"MMM "
557940282,NULL,NULL,NULL,0,0,0,0,0,0,0,0,NULL,95.0000,2012,http://www.google.com/finance?q=SHE:000760&fstype=ii,NULL,0,NULL,NULL,0,NULL,0,0,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,2016-02-24 13:29:01.337,CSIS\LLipsey,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1154330,NULL
717 PARKING SER,NULL,NULL,NULL,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,0,2003,NULL,0,1,0,0,10,0,0,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,2013-04-03 11:30:27.537,2013-11-08 16:27:20.200,CSIS\GSanders,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,USA,1429393.8600,1368931.8600,0,NULL,NULL,NULL,NULL,518345,NULL
832260652,NULL,NULL,NULL,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,0,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1154329,NULL
A & A ENVIRONMENTAL SERVICES,NULL,NULL,NULL,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,0,1999,NULL,0,1,0,0,1,0,0,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,2013-04-03 11:30:27.537,2013-11-08 16:27:20.200,CSIS\GSanders,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,USA,422554.8000,422554.8000,0,NULL,NULL,NULL,NULL,681692,NULL
A CALL TO SERVE INTERNATIONAL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,0,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,2013-11-08 16:27:20.200,CSIS\GSanders,NULL,NULL,0,NULL,0,NULL,1,0,NULL,NULL,NULL,NULL,0,USA,103895.0000,100000.0000,1,NULL,NULL,NULL,NULL,1154328,NULL
A Glimmer of Hope Foundation,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,0,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,2013-11-08 16:27:20.200,CSIS\GSanders,NULL,NULL,1,NULL,0,NULL,1,0,NULL,NULL,NULL,NULL,0,USA,496355.0000,496355.0000,1,NULL,NULL,NULL,NULL,1154327,NULL
A PLUS BUILDING CONTRACTORS,NULL,NULL,NULL,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,0,2003,NULL,0,1,0,0,1,0,0,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,2013-04-03 11:30:27.537,2013-11-08 16:27:20.200,CSIS\GSanders,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,USA,3534193.8300,3534193.8300,0,NULL,NULL,NULL,NULL,681705,NULL
A TODO PULMON,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,0,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,2013-11-08 16:27:20.200,CSIS\GSanders,NULL,NULL,1,NULL,0,NULL,1,0,NULL,NULL,NULL,NULL,0,PRY,1200000.0000,1200000.0000,0,NULL,NULL,NULL,NULL,1154326,NULL
