projectText	ProjectID	MinOfstartFiscalYear	MaxOfEndFiscalYear
	NULL	1995	2011
(ALMSC)	198	1992	1993
****AFX	1896	2000	NULL
<15KW 60 CYCLE DE	565	1992	2002
<5KW 60 CYCLE GE	563	1990	2001
<60 KW	568	1995	2003
0-1 BIRD DOG	119	1992	1992
0-300D	1497	1990	1990
1 1/4 TON ABT CS	273	1990	1992
1.5KW 28V MILITARY DESIGN	561	NULL	NULL
1.5KW 28V MILITARY DESIGN GE	561	1990	1996
1.KW 60 CYCLE SKID MT GE	562	NULL	NULL
100 KW MOD MER-007	1749	1991	1996
105MM ART AMMUNITION ALL 	370	NULL	NULL
105MM ART AMMUNITION ALL TYPES	370	1997	2009
105MM GUN M-60 COMBAT	897	1997	2003
105MM GUN M68	312	1991	1991
105MM SMK WP M60	913	NULL	NULL
105MM TANK AMMO ALL TYPES	366	1994	2003
10KW 60 CYCLE GE	564	1991	2001
1200 PSI STEAM SYSTEM	1158	1990	1994
120MM	333	1996	2003
120MM AMMUNITION ALL TYPE	367	NULL	NULL
120MM AMMUNITION ALL TYPES	367	1995	2002
120MM CTG TANK	368	1994	1994
120MM TANK AMMUNITION	359	1991	2004
125/250 AIR CONDITIONING 	1162	NULL	NULL
125/250 AIR CONDITIONING SYS	1162	1990	2003
1250 KW TURBINE	1144	1991	1991
15 KW	1750	1990	1990
1500 KW SSTG	1146	1990	1990
155 MM HIP 	688	2007	NULL
155MM ARTY ALL (EXCLG SAD	398	NULL	NULL
155MM ARTY ALL (EXCLG SADARM)	398	1994	2012
155MM HE	388	1993	1993
155mm Lightweight Towed H	2031	NULL	NULL
155mm Lightweight Towed Howitzer	2031	NULL	NULL
155MM M4 WHITE BAG	371	1991	1992
175MM M-107 GUN SP	314	NULL	NULL
1CMF	144	NULL	NULL
1CRN	176	NULL	NULL
1CRO	177	NULL	NULL
1DBR	202	NULL	NULL
1DPD	288	NULL	NULL
1EFI	337	NULL	NULL
1FDV	353	NULL	NULL
1FNC	385	NULL	NULL
1FVC	400	NULL	NULL
1FVD	401	NULL	NULL
1GDC	443	NULL	NULL
1GIC	484	NULL	NULL
