CSISbudgetLineKey,AccountDSI,DefenseOrganization,BudgetActivity,BudgetSubActivity,LineItem,ProgramElement,CSISbudgetLineTitle,IsLineItemAlsoLineNumber,CSIScreateddate,CSISmodifiedDate,CSISmodifiedBy
PROC~0144D~OSD~1~1~10,0144D,OSD,1,1,10,NULL,Mine Resistant Ambush Prot Veh Fund,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0144D~OSD~20~1~10,0144D,OSD,20,1,10,NULL,MINE RESISTANT AMBUSH PROT VEH FUND,NULL,2020-07-05 15:54:48.680,2020-07-05 15:54:48.680,GSanders@csis.org
PROC~0144D~OSD~20~99~FY2011CR,0144D,OSD,20,99,FY2011CR,NULL,Adj to Match Continuing Resolution,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0144D~UNDD~1~2~10,0144D,UNDD,1,2,10,NULL,Mine Resistant Ambush Prot Veh Fund,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0144D~UNDD~20~99~FY2011CR,0144D,UNDD,20,99,FY2011CR,NULL,Adj to Match Continuing Resolution,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~AFIS~1~25~30,0300D,AFIS,1,25,30,NULL,"MAJOR EQUIPMENT, AFIS",NULL,2020-07-05 15:54:48.680,2020-07-05 15:54:48.680,GSanders@csis.org
PROC~0300D~BTA~1~41~10,0300D,BTA,1,41,10,NULL,"Major Equipment, BTA",0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~CBDP~3~1~01,0300D,CBDP,3,1,01,NULL,Installation Force Protection,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~CBDP~3~1~1,0300D,CBDP,3,1,1,NULL,Installation Force Protection,NULL,2020-07-05 15:54:48.680,2020-07-05 15:54:48.680,GSanders@csis.org
PROC~0300D~CBDP~3~1~1001GP1000,0300D,CBDP,3,1,1001GP1000,NULL,Individual Protection,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~CBDP~3~1~2001PA1500,0300D,CBDP,3,1,2001PA1500,NULL,Decontamination,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~CBDP~3~1~3001MA0800,0300D,CBDP,3,1,3001MA0800,NULL,Joint Bio Defense Program (Medical),0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~CBDP~3~1~4001PA1600,0300D,CBDP,3,1,4001PA1600,NULL,Collective Protection,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~CBDP~3~1~5001GP2000,0300D,CBDP,3,1,5001GP2000,NULL,Contamination Avoidance,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~CBDP~3~1~7001SA1000,0300D,CBDP,3,1,7001SA1000,NULL,Chemical Biological Situational Awareness,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~CBDP~3~1~8001PH1000,0300D,CBDP,3,1,8001PH1000,NULL,CB Protection & Hazard Mitigation,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~CBDP~3~1~JS1000,0300D,CBDP,3,1,JS1000,NULL,INSTALLATION FORCE PROTECTION,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~CBDP~3~1~PHM001,0300D,CBDP,3,1,PHM001,NULL,CB PROTECTION AND HAZARD MITIGATION,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~CBDP~3~1~SA0001,0300D,CBDP,3,1,SA0001,NULL,SITUATIONAL AWARENESS,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~DCAA~1~11~0901116R,0300D,DCAA,1,11,0901116R,NULL,"DCAA Major Equipment, items less than $5 million",0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~DCAA~1~11~0901516R,0300D,DCAA,1,11,0901516R,NULL,"DCAA Major Equipment, items less than $5 million",0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~DCAA~1~11~20,0300D,DCAA,1,11,20,NULL,Items Less Than $5 Million,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~DCMA~1~27~500,0300D,DCMA,1,27,500,NULL,Major Equipment,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~DCSA~1~9~20,0300D,DCSA,1,9,20,NULL,Major Equipment,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~DEFW~1~10~110,0300D,DEFW,1,10,110,NULL,Equipment,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~DEFW~1~99~9999999999,0300D,DEFW,1,99,9999999999,NULL,Classified Programs,0,2020-06-09 11:28:03.180,2020-06-30 10:08:30.947,Automatically marked as NoFYDPexpected byGSanders@csis.org
PROC~0300D~DEFW~2~99~9999999999,0300D,DEFW,2,99,9999999999,NULL,Classified Programs,0,2020-06-09 11:28:03.180,2020-06-30 10:08:30.947,Automatically marked as NoFYDPexpected byGSanders@csis.org
PROC~0300D~DEFW~20~99~FY2013CR,0300D,DEFW,20,99,FY2013CR,NULL,Adj to Match Continuing Resolution,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~DEFW~20~99~FY2017CR,0300D,DEFW,20,99,FY2017CR,NULL,Adj to Match Continuing Resolution,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~DEFW~20~99~FY2018CR,0300D,DEFW,20,99,FY2018CR,NULL,Adj to Match Continuing Resolution,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~DHRA~1~20~3,0300D,DHRA,1,20,3,NULL,Personnel Administration,1,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~DHRA~1~20~500,0300D,DHRA,1,20,500,NULL,Personnel Administration,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~DIA~1~6~01 160,0300D,DIA,1,6,01 160,NULL,DIA Support To Centcom Intelligence Act,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~DIA~1~6~70,0300D,DIA,1,6,70,NULL,INTELLIGENCE SUPPORT TO OSD COUNTER-NARCOTICS,NULL,2020-07-05 15:54:48.680,2020-07-05 15:54:48.680,GSanders@csis.org
PROC~0300D~DISA~1~5~08,0300D,DISA,1,5,08,NULL,Interdiction Support,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~DISA~1~5~09,0300D,DISA,1,5,09,NULL,Information Systems Security,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~DISA~1~5~10,0300D,DISA,1,5,10,NULL,Net Centric Enterprise Services (NCES),1,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~DISA~1~5~100,0300D,DISA,1,5,100,NULL,MOBILE SATELLITE SYSTEM TECH,NULL,2020-07-05 15:54:48.680,2020-07-05 15:54:48.680,GSanders@csis.org
PROC~0300D~DISA~1~5~10860,0300D,DISA,1,5,10860,NULL,ADNET,NULL,2020-07-05 15:54:48.680,2020-07-05 15:54:48.680,GSanders@csis.org
PROC~0300D~DISA~1~5~11,0300D,DISA,1,5,11,NULL,Teleport,1,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~DISA~1~5~110,0300D,DISA,1,5,110,NULL,INFORMATION SYSTEMS SECURITY,NULL,2020-07-05 15:54:48.680,2020-07-05 15:54:48.680,GSanders@csis.org
PROC~0300D~DISA~1~5~12,0300D,DISA,1,5,12,NULL,White House Communication Agency,1,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~DISA~1~5~120,0300D,DISA,1,5,120,NULL,CONTINUITY OF OPERATIONS,NULL,2020-07-05 15:54:48.680,2020-07-05 15:54:48.680,GSanders@csis.org
PROC~0300D~DISA~1~5~13,0300D,DISA,1,5,13,NULL,White House Communication Agency,1,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~DISA~1~5~14,0300D,DISA,1,5,14,NULL,Teleport Program,1,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~DISA~1~5~140,0300D,DISA,1,5,140,NULL,DEFENSE MESSAGE SYSTEM,NULL,2020-07-05 15:54:48.680,2020-07-05 15:54:48.680,GSanders@csis.org
PROC~0300D~DISA~1~5~15,0300D,DISA,1,5,15,NULL,Teleport,1,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~DISA~1~5~16,0300D,DISA,1,5,16,NULL,Items Less Than $5 Million,1,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~DISA~1~5~160,0300D,DISA,1,5,160,NULL,GLOBAL COMBAT SUPPORT SYSTEM,NULL,2020-07-05 15:54:48.680,2020-07-05 15:54:48.680,GSanders@csis.org
PROC~0300D~DISA~1~5~17,0300D,DISA,1,5,17,NULL,Net Centric Enterprise Services (NCES),1,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~DISA~1~5~170,0300D,DISA,1,5,170,NULL,STANDARD TACTICAL ENTRY POINT,NULL,2020-07-05 15:54:48.680,2020-07-05 15:54:48.680,GSanders@csis.org
PROC~0300D~DISA~1~5~18,0300D,DISA,1,5,18,NULL,Defense Information System Network,1,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~DISA~1~5~180,0300D,DISA,1,5,180,NULL,TELEPORTS,NULL,2020-07-05 15:54:48.680,2020-07-05 15:54:48.680,GSanders@csis.org
PROC~0300D~DISA~1~5~19,0300D,DISA,1,5,19,NULL,Public Key Infrastructure,1,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~DISA~1~5~190,0300D,DISA,1,5,190,NULL,GLOBAL INFORMATION GRID,NULL,2020-07-05 15:54:48.680,2020-07-05 15:54:48.680,GSanders@csis.org
PROC~0300D~DISA~1~5~40,0300D,DISA,1,5,40,NULL,ITEMS LESS THAN $5 MILLION,NULL,2020-07-05 15:54:48.680,2020-07-05 15:54:48.680,GSanders@csis.org
PROC~0300D~DISA~1~5~7,0300D,DISA,1,5,7,NULL,Teleport,1,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~DISA~1~5~70,0300D,DISA,1,5,70,NULL,Drug Interdiction Support,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~DISA~1~5~8,0300D,DISA,1,5,8,NULL,Teleport,1,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~DISA~1~5~87,0300D,DISA,1,5,87,NULL,SR. LEADERSHIP CMD CONT,NULL,2020-07-05 15:54:48.680,2020-07-05 15:54:48.680,GSanders@csis.org
PROC~0300D~DISA~1~5~88,0300D,DISA,1,5,88,NULL,Joint Command And Control Program,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~DISA~1~5~89,0300D,DISA,1,5,89,NULL,Cyber Security Initiative,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~DISA~1~5~9,0300D,DISA,1,5,9,NULL,Net Centric Enterprise Services (NCES),1,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~DISA~1~5~90,0300D,DISA,1,5,90,NULL,White House Communication Agency,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~DISA~1~5~92,0300D,DISA,1,5,92,NULL,Senior Leadership Enterprise,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~DISA~1~5~94,0300D,DISA,1,5,94,NULL,Joint Information Environment,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~DISA~1~5~96,0300D,DISA,1,5,96,NULL,Joint Regional Security Stacks (JRSS),0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~DISA~1~5~97,0300D,DISA,1,5,97,NULL,Joint Service Provider,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~DISA~1~5~98,0300D,DISA,1,5,98,NULL,Fourth Estate Network Optimization (4ENO),0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~DISA~1~5~9999999999,0300D,DISA,1,5,9999999999,NULL,LSA COOP Program,0,2020-06-09 11:28:03.180,2020-06-30 10:08:30.947,Automatically marked as NoFYDPexpected byGSanders@csis.org
PROC~0300D~DISA~1~5~DISN,0300D,DISA,1,5,DISN,NULL,Defense Information Systems Network OCO,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~DLA~1~7~16,0300D,DLA,1,7,16,NULL,Major Equipment DLA,1,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~DLA~1~7~500,0300D,DLA,1,7,500,NULL,Major Equipment,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~DMACT~1~55~17,0300D,DMACT,1,55,17,NULL,"Major Equipment, DMACT",1,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~DMACT~1~55~30,0300D,DMACT,1,55,30,NULL,Major Equipment,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~DODEA~1~26~18,0300D,DODEA,1,26,18,NULL,"Major Equipment, Automation/Educational Support & Logistics",1,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~DODEA~1~26~30,0300D,DODEA,1,26,30,NULL,Automation/Educational Support & Logistics,1,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~DPAA~1~1~10,0300D,DPAA,1,1,10,NULL,"Major Equipment, DPAA",0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~DPAA~1~1~22,0300D,DPAA,1,1,22,NULL,"Major Equipment, DPAA",1,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~DSCA~1~24~0000000,0300D,DSCA,1,24,0000000,NULL,Regional Center Procurement,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~DSCA~1~24~10,0300D,DSCA,1,24,10,NULL,Equipment,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~DSCA~1~24~30,0300D,DSCA,1,24,30,NULL,OTHER MAJOR EQUIPMENT,NULL,2020-07-05 15:54:48.680,2020-07-05 15:54:48.680,GSanders@csis.org
PROC~0300D~DSPO~1~13~DSRP,0300D,DSPO,1,13,DSRP,NULL,"MAJOR EQUIPMENT, DSPO",NULL,2020-07-05 15:54:48.680,2020-07-05 15:54:48.680,GSanders@csis.org
PROC~0300D~DSS~1~9~10,0300D,DSS,1,9,10,NULL,Vehicles,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~DSS~1~9~20,0300D,DSS,1,9,20,NULL,Other Capital Equipment,1,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~DSS~1~9~21,0300D,DSS,1,9,21,NULL,"Major Equipment, DSS",1,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~DTRA~1~23~20,0300D,DTRA,1,23,20,NULL,Vehicles,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~DTRA~1~23~30,0300D,DTRA,1,23,30,NULL,Other Major Equipment,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~DTRA~1~23~40,0300D,DTRA,1,23,40,NULL,Counter Improvised Threat Technologies,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~DTSA~1~30~20,0300D,DTSA,1,30,20,NULL,Major Equipment,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~DTSA~1~30~25,0300D,DTSA,1,30,25,NULL,01 Major Equipment,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~MDA~1~17~10,0300D,MDA,1,17,10,NULL,PATRIOT PAC-3,NULL,2020-07-05 15:54:48.680,2020-07-05 15:54:48.680,GSanders@csis.org
PROC~0300D~MDA~1~17~205,0300D,MDA,1,17,205,NULL,NATIONAL MISSILE DEFENSE,NULL,2020-07-05 15:54:48.680,2020-07-05 15:54:48.680,GSanders@csis.org
PROC~0300D~MDA~1~17~30,0300D,MDA,1,17,30,NULL,THAAD Procurement,0,2020-06-09 11:28:03.180,2020-06-17 17:01:06.963,sp_AssignIsNoExpectedFYDP... by GSanders@csis.org
PROC~0300D~MDA~1~17~341,0300D,MDA,1,17,341,NULL,C4I,NULL,2020-07-05 15:54:48.680,2020-07-05 15:54:48.680,GSanders@csis.org
