systemequipmentcode,systemequipmentcodeText,StartFiscalYear,EndFiscalYear,ProjectID,CSISmodifiedDate,CSISmodifiedBy
303,SSC,2016,NULL,2144,2017-03-06 16:52:19.5200000,CSIS\GSanders
431,B-2 DMS-M,2016,NULL,2145,2017-03-06 16:52:19.5200000,CSIS\GSanders
471,AMPV,2015,NULL,2146,2019-04-13 01:13:53.7833333,Automatic fiscalyear adjustment by GSanders@csis.org
492,PAC-3 MSE,2014,NULL,2147,2017-03-06 16:52:19.5200000,CSIS\GSanders
523,MROI,2016,NULL,2148,2017-03-06 16:52:19.5200000,CSIS\GSanders
AHB,UH-2,2000,NULL,2149,2017-03-06 16:52:19.5200000,CSIS\GSanders
" ",NOT DISCERNABLE OR CLASSIFIED,1988,2011,NULL,2016-04-25 21:23:06.3470000,CSIS\GSanders
"* ",NOT DISCERNABLE OR CLASSIFIED,2011,2011,NULL,2016-04-25 21:23:06.3470000,CSIS\GSanders
": ",,2000,NULL,NULL,2016-04-25 21:23:06.3470000,CSIS\GSanders
0,0,2001,2001,NULL,2016-04-25 21:23:06.3470000,CSIS\GSanders
0*,NOT DISCERNABLE OR CLASSIFIED,NULL,NULL,NULL,2016-04-25 21:23:06.3470000,CSIS\GSanders
"00 ",,2010,2012,NULL,2016-04-25 21:23:06.3470000,CSIS\GSanders
000,NONE,2000,NULL,NULL,2016-04-25 21:23:06.3470000,CSIS\GSanders
0000,NOT DISCERNABLE OR CLASSIFIED,1991,2000,NULL,2016-04-25 21:23:06.3470000,CSIS\GSanders
100,"GPALS (SDS) ",2006,NULL,1,2016-04-25 21:23:06.3470000,CSIS\GSanders
1000,0:00,1987,NULL,NULL,2016-04-25 21:23:06.3470000,CSIS\GSanders
101,"H-1 UPGRADE ",2004,NULL,2,2016-04-25 21:23:06.3470000,CSIS\GSanders
102,"A-10 ",2006,NULL,1499,2016-04-25 21:23:06.3470000,CSIS\GSanders
103,"E-3A ",2006,NULL,4,2016-04-25 21:23:06.3470000,CSIS\GSanders
104,"EF-111A ",2007,NULL,5,2016-04-25 21:23:06.3470000,CSIS\GSanders
105,"AN/BQS-13 ",2007,NULL,6,2016-04-25 21:23:06.3470000,CSIS\GSanders
106,"PATRIOT ",2004,NULL,7,2016-04-25 21:23:06.3470000,CSIS\GSanders
107,"PERSHING II ",2007,2008,8,2016-04-25 21:23:06.3470000,CSIS\GSanders
108,"LASER HELLFIRE ",2006,NULL,9,2016-04-25 21:23:06.3470000,CSIS\GSanders
109,"5-INCH GUIDED PROJ ",2007,NULL,10,2016-04-25 21:23:06.3470000,CSIS\GSanders
110,"AEGIS ",2006,NULL,11,2016-04-25 21:23:06.3470000,CSIS\GSanders
111,"ALCM ",2006,NULL,12,2016-04-25 21:23:06.3470000,CSIS\GSanders
112,"AN/TTC-39 ",2006,2012,13,2016-04-25 21:23:06.3470000,CSIS\GSanders
114,"CGN-38 ",2007,NULL,14,2016-04-25 21:23:06.3470000,CSIS\GSanders
115,"CH-47D ",2004,NULL,15,2016-04-25 21:23:06.3470000,CSIS\GSanders
116,"C/MH-53E ",2005,NULL,16,2016-04-25 21:23:06.3470000,CSIS\GSanders
117,"CHEYENNE ",2008,2013,17,2016-04-25 21:23:06.3470000,CSIS\GSanders
119,"SGT YORK GUN (DIVAD) ",2009,2010,18,2016-04-25 21:23:06.3470000,CSIS\GSanders
120,"DSCS III ",2008,2012,19,2016-04-25 21:23:06.3470000,CSIS\GSanders
121,"APS ",2008,NULL,20,2016-04-25 21:23:06.3470000,CSIS\GSanders
122,"E-4 (AABNCP) ",2006,NULL,21,2016-04-25 21:23:06.3470000,CSIS\GSanders
123,"F-14D ",2009,NULL,22,2016-04-25 21:23:06.3470000,CSIS\GSanders
124,"F-15 ",2005,NULL,23,2016-04-25 21:23:06.3470000,CSIS\GSanders
125,"F-16 ",2004,NULL,24,2016-04-25 21:23:06.3470000,CSIS\GSanders
126,"F/A-18A/B/C/D ",2006,NULL,25,2016-04-25 21:23:06.3470000,CSIS\GSanders
127,"FFG-7 ",2006,NULL,26,2016-04-25 21:23:06.3470000,CSIS\GSanders
128,"BRADLEY FVS ",2006,NULL,27,2016-04-25 21:23:06.3470000,CSIS\GSanders
130,"MLRS ",2004,NULL,28,2016-04-25 21:23:06.3470000,CSIS\GSanders
131,"HARM (NAVY) ",2007,2013,29,2016-04-25 21:23:06.3470000,CSIS\GSanders
132,"HARM (AIR FORCE) ",2007,NULL,30,2016-04-25 21:23:06.3470000,CSIS\GSanders
133,"HARPOON ",2006,NULL,31,2016-04-25 21:23:06.3470000,CSIS\GSanders
134,"LAMPS MKIII (SH-60B) ",2006,NULL,32,2016-04-25 21:23:06.3470000,CSIS\GSanders
135,"LHA ",2007,2013,33,2016-04-25 21:23:06.3470000,CSIS\GSanders
136,"M198 TOWED HOWITZER (155MM) ",2006,NULL,34,2016-04-25 21:23:06.3470000,CSIS\GSanders
137,"MAVERICK (IR) ",2008,NULL,35,2016-04-25 21:23:06.3470000,CSIS\GSanders
138,"MK 48 ADCAP ",2010,NULL,36,2016-04-25 21:23:06.3470000,CSIS\GSanders
139,"MK 48 TORPEDO ",2005,NULL,37,2016-04-25 21:23:06.3470000,CSIS\GSanders
140,"DD 963 ",2012,NULL,38,2016-04-25 21:23:06.3470000,CSIS\GSanders
141,"NATO PHM ",2011,NULL,39,2017-03-06 14:43:52.0000000,Automatic fiscalyear adjustment by CSIS\JEllman
142,"PHOENIX (AIM-54A/B) ",2007,2012,40,2016-04-25 21:23:06.3470000,CSIS\GSanders
144,"SIDEWINDER (AIM-9L) (N) ",2007,2011,41,2016-04-25 21:23:06.3470000,CSIS\GSanders
145,"SIDEWINDER (AIM-9L) (AF) ",2009,NULL,42,2016-04-25 21:23:06.3470000,CSIS\GSanders
147,"SPARROW (AIM-7M) (N) ",2007,NULL,43,2016-04-25 21:23:06.3470000,CSIS\GSanders
148,"PATRIOT PAC-3 ",2004,NULL,44,2016-04-25 21:23:06.3470000,CSIS\GSanders
149,"SSN 688 ",2004,NULL,45,2016-04-25 21:23:06.3470000,CSIS\GSanders
150,"STINGER ",2005,NULL,46,2016-04-25 21:23:06.3470000,CSIS\GSanders
151,"SURTASS ",2007,NULL,47,2016-04-25 21:23:06.3470000,CSIS\GSanders
152,"TACFIRE ",2007,2013,48,2016-04-25 21:23:06.3470000,CSIS\GSanders
153,"AN/SQQ-89 ",2007,NULL,49,2016-04-25 21:23:06.3470000,CSIS\GSanders
154,"TOMAHAWK ",2007,NULL,50,2016-04-25 21:23:06.3470000,CSIS\GSanders
155,"TRIDENT SUB ",2005,NULL,51,2017-03-06 14:43:52.0000000,Automatic fiscalyear adjustment by CSIS\JEllman
156,"BLACK HAWK (UH-60A/L) ",2004,NULL,52,2016-04-25 21:23:06.3470000,CSIS\GSanders
157,"M1/M1A1 ABRAMS TANK ",2004,NULL,53,2016-04-25 23:23:57.5200000,Automatic fiscalyear adjustment by CSIS\GSanders
158,"APACHE (AH-64A) ",2004,NULL,54,2016-04-25 21:23:06.3470000,CSIS\GSanders
159,"CG-47 ",2008,NULL,55,2016-04-25 21:23:06.3470000,CSIS\GSanders
160,"TACTAS ",2007,2007,56,2016-04-25 21:23:06.3470000,CSIS\GSanders
161,"CVN 68 ",2004,NULL,57,2016-04-25 21:23:06.3470000,CSIS\GSanders
162,"SIDWINGER (AIM-9M) (N) ",2008,2008,58,2016-04-25 21:23:06.3470000,CSIS\GSanders
163,"SIDWINGER (AIM-9M) (AF) ",2007,NULL,59,2016-04-25 21:23:06.3470000,CSIS\GSanders
164,"SPARROW (AIM-7F) (N) ",2007,NULL,60,2016-04-25 21:23:06.3470000,CSIS\GSanders
165,"SPARROW (AIM-7M) (AF) ",2009,2013,61,2016-04-25 21:23:06.3470000,CSIS\GSanders
166,NAVSTAR GPS,2002,NULL,62,2016-04-25 21:23:06.3470000,CSIS\GSanders
167,"AV-8B ",2005,NULL,63,2016-04-25 21:23:06.3470000,CSIS\GSanders
168,"B1-B ",2006,NULL,64,2016-04-25 21:23:06.3470000,CSIS\GSanders
169,"PHOENIX (AIM-54C) ",2007,NULL,65,2016-04-25 21:23:06.3470000,CSIS\GSanders
170,"JTIDS (ARMY) ",2004,2012,66,2016-04-25 21:23:06.3470000,CSIS\GSanders
171,"JTIDS (NAVY) ",2006,NULL,67,2016-04-25 21:23:06.3470000,CSIS\GSanders
172,"JTIDY (AIR FORCE) ",2007,2013,68,2016-04-25 21:23:06.3470000,CSIS\GSanders
173,"BMTC ",2011,2011,69,2016-04-25 21:23:06.3470000,CSIS\GSanders
174,"KIOWA WARRIOR ",2005,NULL,70,2016-04-25 21:23:06.3470000,CSIS\GSanders
175,"LAV (ARMY) ",2006,NULL,71,2016-04-25 21:23:06.3470000,CSIS\GSanders
176,"EELV ",2004,NULL,72,2016-04-25 21:23:06.3470000,CSIS\GSanders
177,"TRIDENT II SUB ",2010,NULL,73,2016-04-25 21:23:06.3470000,CSIS\GSanders
178,"TRIDENT II MISSILE ",2000,NULL,74,2016-04-25 21:23:06.3470000,CSIS\GSanders
179,"ARH ",2006,NULL,75,2016-04-25 21:23:06.3470000,CSIS\GSanders
180,"DDG 51 ",2001,NULL,76,2016-04-25 21:23:06.3470000,CSIS\GSanders
181,"KC-135R ",2004,NULL,77,2016-04-25 21:23:06.3470000,CSIS\GSanders
182,"LUH ",2006,NULL,78,2016-04-25 21:23:06.3470000,CSIS\GSanders
183,"FCA ",2007,NULL,79,2016-04-25 21:23:06.3470000,CSIS\GSanders
184,"AMRAAM (NAVY) ",2004,NULL,80,2016-04-25 21:23:06.3470000,CSIS\GSanders
185,"AMRAAM ",2004,NULL,81,2016-04-25 21:23:06.3470000,CSIS\GSanders
187,"LANTRIN ",2007,NULL,82,2016-04-25 21:23:06.3470000,CSIS\GSanders
188,"A-6E / A-6 UPGRADE ",2006,2012,83,2016-04-25 21:23:06.3470000,CSIS\GSanders
191,"MH-60R ",2004,NULL,84,2016-04-25 21:23:06.3470000,CSIS\GSanders
193,"SCOUT ",2007,NULL,85,2016-04-25 21:23:06.3470000,CSIS\GSanders
197,"DD(X) ",2004,NULL,86,2016-04-25 21:23:06.3470000,CSIS\GSanders
198,"JSF (F-35) ",2003,NULL,87,2016-04-25 21:23:06.3470000,CSIS\GSanders
199,"FAB-T ",2008,NULL,88,2017-03-06 14:43:52.0000000,Automatic fiscalyear adjustment by CSIS\JEllman
1ACE,C-12,1990,2010,89,2016-04-25 21:23:06.3470000,CSIS\GSanders
1ACF,C-23 SHERPA,1990,2003,90,2016-04-25 21:23:06.3470000,CSIS\GSanders
1ACH,C-20 ACFT,1999,2003,91,2016-04-25 21:23:06.3470000,CSIS\GSanders
1AHA,UH-1 IROQUOIS,1990,NULL,1897,2019-04-13 01:13:53.7833333,Automatic fiscalyear adjustment by GSanders@csis.org
1AHB,H-2 SEASPRITE,1993,1993,93,2016-04-25 21:23:06.3470000,CSIS\GSanders
1AHC,OH-58 KIOWA (AHIP),1990,NULL,1898,2019-04-13 01:13:53.7833333,Automatic fiscalyear adjustment by GSanders@csis.org
1AHD,OH-6 CAYUSE,1990,1993,95,2016-04-25 21:23:06.3470000,CSIS\GSanders
