ProjectID	ProjectName	ProjectPrettyName	ProjectAbbreviation	IsJointDevelopmentCaseStudy	CSISmodifiedDate	CSISmodifiedBy	IsPerformanceBasedLogistics	PlatformPortfolio	ObligatedAmount	MinOfFiscalYear	MaxOfFiscalYear	TopPlatformPortfolio	TopPlatformPortfolioObligatedAmount	TopParentID	TopParentIDObligatedAmount	Notes	IsUnknown	WasUncategorizedMissilesOrSpaceSystem	IsUninvestigated	IsRemotelyOperated	RANDID	IsParentProjectID	ParentProjectID	IDAID
1	GPALS (SDS) 	GPALS (SDS) 	100	NULL	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NULL	Missile Defense	6014447.6779	2006	2011	Missile Defense	5270776.9277	JACOBS ENGINEERING GROUP	4870549.0000	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
2	H-1 UPGRADE 	H-1 UPGRADE 	101	NULL	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NULL	Aircraft	8621852867.8810	2004	2018	Aircraft	1061775575.9599	TEXTRON	7412312048.4957	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL
4	E-3A 	E-3A 	103	NULL	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NULL	Electronics, Comms, & Sensors	5378686192.4543	1990	2018	Electronics, Comms, & Sensors	763771470.0000	BOEING	4328655900.1478	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
5	EF-111A 	EF-111A 	104	NULL	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NULL	Aircraft	1523944.3470	2007	2014	Aircraft	579098.0586	NULL	813412.1498	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL
6	AN/BQS-13 	AN/BQS-13 	105	NULL	2017-06-23 10:33:36.2600000	CSIS\GSanders	NULL	Ships & Submarines	4358456.0049	1989	2014	NULL	1914183.8750	RAYTHEON	1914183.8750	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL
7	PATRIOT 	PATRIOT 	106	NULL	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NULL	Missile Defense	16865331095.0323	2004	2018	Missile Defense	3543625368.9727	RAYTHEON	11092322567.7833	Google returns the same results for this and for the Patriot PAC-3 (row 44)	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL
8	PERSHING II 	PERSHING II 	107	NULL	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NULL	Ordnance and Missiles	799992.0000	2007	2008	Ordnance and Missiles	799992.0000	NULL	799992.0000		NULL	NULL	0	NULL	NULL	NULL	NULL	NULL
9	LASER HELLFIRE 	LASER HELLFIRE 	108	NULL	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NULL	Ordnance and Missiles	3222761168.6686	1998	2018	Ordnance and Missiles	499119196.2265	HELLFIRE SYSTEMS	1623757077.3066	NULL	NULL	NULL	0	NULL	NULL	NULL	2215	NULL
10	5-INCH GUIDED PROJ 	5-INCH GUIDED PROJ 	109	NULL	2017-06-23 10:33:36.2600000	CSIS\GSanders	NULL	Ordnance and Missiles	45532866.8500	2007	2014	Ordnance and Missiles	37454288.0000	ATK	37655147.0000	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL
11	AEGIS 	AEGIS 	110	NULL	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NULL	Missile Defense	6554876948.1038	2006	2018	Missile Defense	987181267.4171	LOCKHEED MARTIN	5512741799.8851	Aegis Ballistic Missile Defense System	NULL	NULL	0	NULL	NULL	1	NULL	NULL
12	ALCM 	ALCM 	111	NULL	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NULL	Ordnance and Missiles	19830809.5679	2006	2017	Ordnance and Missiles	8577391.0200	BOEING	11838273.6563		NULL	NULL	0	NULL	NULL	NULL	NULL	NULL
13	AN/TTC-39 	AN/TTC-39 	112	NULL	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NULL	Electronics, Comms, & Sensors	207364.2500	2006	2012	Electronics, Comms, & Sensors	124936.5000	NULL	207364.2500		NULL	NULL	0	NULL	NULL	NULL	NULL	NULL
14	CGN-38 	CGN-38 	114	NULL	2017-06-23 10:33:36.2600000	CSIS\GSanders	NULL	Aircraft	1101968.1992	2007	2014	Aircraft	465739.0625	AAR	465739.0625	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL
15	CH-47D 	CH-47D 	115	NULL	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NULL	Aircraft	7274255067.8946	2004	2018	Aircraft	1298685269.0266	BOEING	5727775452.0028	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL
16	C/MH-53E 	C/MH-53E 	116	NULL	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NULL	Aircraft	398209619.2037	2005	2018	Aircraft	119416191.3803	UNITED TECH	212967691.1592	NULL	NULL	NULL	0	NULL	C/MH-53	NULL	NULL	NULL
17	CHEYENNE 	CHEYENNE 	117	NULL	2017-06-23 10:33:36.2600000	CSIS\GSanders	NULL	Aircraft	2630481.5500	2008	2013	Aircraft	3187182.0000	TEXTRON	2316260.5500	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL
18	SGT YORK GUN (DIVAD) 	SGT YORK GUN (DIVAD) 	119	NULL	2017-06-23 16:49:55.5070000	Brian and Ravi update implemented by CSIS\GSanders	NULL	Aircraft	863490.0000	2009	2010	Aircraft	863490.0000	UNITED TECH	863490.0000	Reused code for SGT YORK GUN (DIVAD) 	NULL	NULL	0	NULL	DIVAD	NULL	NULL	NULL
19	DSCS III 	DSCS III 	120	NULL	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NULL	Space Systems	336528.6201	2008	2012	Space Systems	331905.0000	BOEING	331905.0000		NULL	NULL	0	NULL	NULL	NULL	NULL	NULL
20	APS 	APS 	121	NULL	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NULL	Missile Defense	413465151.8915	2008	2018	Missile Defense	211435020.6185	AC FIRST [Joint Venture - AECOM & CACI]	173766254.8750	Active Protection System	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL
21	E-4 (AABNCP) 	E-4 (AABNCP) 	122	NULL	2019-04-13 13:20:10.9400000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NULL	Aircraft	989576574.0770	2006	2018	Aircraft	180071279.0665	BOEING	924756402.4299	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL
22	F-14D 	F-14D 	123	NULL	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NULL	Aircraft	4899047.4000	2009	2015	Aircraft	2511396.0000	NULL	4948146.0000	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
23	F-15 	F-15 	124	NULL	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NULL	Aircraft	6242810290.0220	2005	2018	Aircraft	2237409011.6861	BOEING	3161082639.0970	NULL	NULL	NULL	0	NULL	F-15	NULL	NULL	NULL
24	F-16 	F-16 	125	NULL	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NULL	Aircraft	3800633983.2405	2004	2018	Aircraft	585781031.3221	LOCKHEED MARTIN	1141488063.4186	NULL	NULL	NULL	0	NULL	F-16	NULL	NULL	NULL
25	F/A-18A/B/C/D 	F/A-18A/B/C/D 	126	NULL	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NULL	Aircraft	1075504028.7057	2006	2018	Aircraft	234413352.6365	BOEING	865314177.0913	NULL	NULL	NULL	0	NULL	NULL	NULL	2212	NULL
26	FFG-7 	FFG-7 	127	NULL	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NULL	Ships & Submarines	1005862.3078	2006	2014	Ships & Submarines	379919.0938	NULL	850893.7969	USS Oliver Hazard Perry 	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL
27	BRADLEY FVS 	BRADLEY FVS 	128	NULL	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NULL	Land Vehicles	7592917500.1957	2006	2018	Land Vehicles	3043315849.5424	BAE SYSTEMS	6446465015.4350	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL
28	MLRS 	MLRS 	130	NULL	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NULL	Ordnance and Missiles	2268962054.6457	2004	2018	Ordnance and Missiles	687081345.1210	LOCKHEED MARTIN	2016398208.2657	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL
29	HARM (NAVY) 	HARM (NAVY) 	131	NULL	2017-06-23 10:33:36.2600000	CSIS\GSanders	NULL	Ordnance and Missiles	3527452.6499	2007	2013	NULL	2064905.0000	RAYTHEON	3524322.0000	NULL	NULL	NULL	0	NULL	HARM(N)	NULL	NULL	NULL
30	HARM (AIR FORCE) 	HARM (AIR FORCE) 	132	NULL	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NULL	Ordnance and Missiles	10860787.7318	2007	2018	Ordnance and Missiles	5421866.1226	RAYTHEON	9453284.1491	NULL	NULL	NULL	0	NULL	HARM(F)	NULL	NULL	NULL
31	HARPOON 	HARPOON 	133	NULL	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NULL	Ordnance and Missiles	238784861.3032	2006	2015	Ordnance and Missiles	133150811.0860	BOEING	233347953.7562	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
32	LAMPS MKIII (SH-60B) 	LAMPS MKIII (SH-60B) 	134	NULL	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NULL	Aircraft	338304715.6797	2006	2016	Aircraft	52063805.4890	GENERAL ELECTRIC	248261763.8090	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL
33	LHA 	LHA 	135	NULL	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NULL	Ships & Submarines	5141083.2223	2007	2013	Ships & Submarines	3840223.8438	NORTHROP GRUMMAN	2739494.0000	Landing Helicopter Assault	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL
34	M198 TOWED HOWITZER (155M	M198 TOWED HOWITZER (155MM) 	136	NULL	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NULL	Ordnance and Missiles	97902752.9167	2006	2018	Ordnance and Missiles	82195898.1592	GENERAL MOTORS	65363812.9699		NULL	NULL	0	NULL	NULL	NULL	NULL	NULL
35	MAVERICK (IR) 	MAVERICK (IR) 	137	NULL	2019-04-13 13:20:10.9400000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NULL	Ordnance and Missiles	80501133.7297	2008	2018	NULL	77439608.0000	RAYTHEON	80009062.2297	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL
36	MK 48 ADCAP 	MK 48 ADCAP 	138	NULL	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NULL	Ordnance and Missiles	178569891.0000	2010	2018	Ordnance and Missiles	50666619.0000	LOCKHEED MARTIN	178565528.0000	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL
37	MK 48 TORPEDO 	MK 48 TORPEDO 	139	NULL	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NULL	Ordnance and Missiles	68450578.2176	2005	2018	Ordnance and Missiles	15727569.5000	LOCKHEED MARTIN	52956107.7375	NULL	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL
38	DD 963 	DD 963 	140	NULL	2019-04-13 12:31:49.5400000	Automated Uncontroversial Platform Portfolio update byGSanders@csis.org	NULL	Aircraft	756846.0000	2012	2014	Aircraft	756846.0000	BOEING	756846.0000		1	NULL	0	NULL	NULL	NULL	NULL	NULL
39	NATO PHM 	NATO PHM 	141	NULL	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NULL	Ships & Submarines	1007562.4000	2011	2017	Ships & Submarines	817251.0000	KFORCE	1007562.4000	Pegasus Class hydrofoils	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL
40	PHOENIX (AIM-54A/B) 	PHOENIX (AIM-54A/B) 	142	NULL	2017-04-14 21:48:24.6900000	Automated from obligated amounts and standardizedname by CSIS\GSanders	NULL	Electronics, Comms, & Sensors	0.0000	2007	2012	Electronics, Comms, & Sensors	34606.0000	NULL	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	NULL	NULL
41	SIDEWINDER (AIM-9L) (N) 	SIDEWINDER (AIM-9L) (N) 	144	NULL	2017-04-14 22:45:53.6400000	Automated from obligated amounts and standardizedname by CSIS\GSanders	NULL	Ordnance and Missiles	367437.1875	2007	2011	Ordnance and Missiles	341917.1875	NULL	367437.1875	NULL	NULL	NULL	1	NULL	AIM-9L(N)	NULL	NULL	NULL
42	SIDEWINDER (AIM-9L) (AF) 	SIDEWINDER (AIM-9L) (AF) 	145	NULL	2017-04-14 22:45:53.6400000	Automated from obligated amounts and standardizedname by CSIS\GSanders	NULL	Ordnance and Missiles	144035.7198	2009	2015	NULL	58689.0000	NULL	144035.7198	NULL	NULL	NULL	1	NULL	AIM-9L(F)	NULL	NULL	NULL
43	SPARROW (AIM-7M) (N) 	SPARROW (AIM-7M) (N) 	147	NULL	2019-04-13 01:24:02.3266667	Automated stats update byGSanders@csis.org	NULL	Ordnance and Missiles	59774975.8789	2007	2018	NULL	11784140.0000	BAE SYSTEMS	46298362.0000	NULL	NULL	NULL	0	NULL	AIM-7M(N)	NULL	NULL	NULL
44	PATRIOT PAC-3 	PATRIOT PAC-3 	148	NULL	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NULL	Missile Defense	3601983317.6487	2004	2018	Missile Defense	689834169.0000	LOCKHEED MARTIN	2726615731.9055	MIM-104 Patriot	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL
45	SSN 688 	SSN 688 	149	NULL	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NULL	Ships & Submarines	532077449.1987	2004	2018	Ships & Submarines	164601031.1001	GENERAL DYNAMICS	487362630.9307	USS Los Angeles	NULL	NULL	0	NULL	NULL	NULL	NULL	NULL
