ProjectID	ProjectName	ProjectPrettyName	ProjectAbbreviation	IsJointDevelopmentCaseStudy	CSISmodifiedDate	CSISmodifiedBy	IsPerformanceBasedLogistics	PlatformPortfolio	ObligatedAmount	MinOfFiscalYear	MaxOfFiscalYear	TopPlatformPortfolio	TopPlatformPortfolioObligatedAmount	TopParentID	TopParentIDObligatedAmount	Notes	IsUnknown	WasUncategorizedMissilesOrSpaceSystem	IsUninvestigated	IsRemotelyOperated	RANDID	IsParentProjectID	ParentProjectID	IDAID	IsUnidentified
1	GPALS (SDS)	GPALS (SDS)	100	NA	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NA	Missile Defense	6014447.6779	2006	2011	Missile Defense	5270776.9277	JACOBS ENGINEERING GROUP	4870549	NA	0	NA	1	NA	NA	NA	NA	NA	0
2	H-1 UPGRADE	H-1 UPGRADE	101	NA	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NA	Aircraft	8621852867.881	2004	2018	Aircraft	1061775575.9599	TEXTRON	7412312048.4957	NA	0	NA	0	NA	NA	NA	NA	NA	0
4	E-3A	E-3A	103	NA	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NA	Electronics, Comms, & Sensors	5378686192.4543	1990	2018	Electronics, Comms, & Sensors	763771470.0000	BOEING	4328655900.1478	NA	0	NA	1	NA	NA	NA	NA	NA	0
5	EF-111A	EF-111A	104	NA	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NA	Aircraft	1523944.347	2007	2014	Aircraft	579098.0586	NA	813412.1498	NA	0	NA	0	NA	NA	NA	NA	NA	0
6	AN/BQS-13	AN/BQS-13	105	NA	2017-06-23 10:33:36.2600000	CSIS\GSanders	NA	Ships & Submarines	4358456.0049	1989	2014	NA	1914183.8750	RAYTHEON	1914183.875	NA	0	NA	0	NA	NA	NA	NA	NA	0
7	PATRIOT	PATRIOT	106	NA	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NA	Missile Defense	16865331095.0323	2004	2018	Missile Defense	3543625368.9727	RAYTHEON	11092322567.7833	Google returns the same results for this and for the Patriot PAC-3 (row 44)	0	NA	0	NA	NA	NA	NA	NA	0
8	PERSHING II	PERSHING II	107	NA	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NA	Ordnance and Missiles	799992	2007	2008	Ordnance and Missiles	799992.0000	NA	799992		0	NA	0	NA	NA	NA	NA	NA	0
9	LASER HELLFIRE	LASER HELLFIRE	108	NA	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NA	Ordnance and Missiles	3222761168.6686	1998	2018	Ordnance and Missiles	499119196.2265	HELLFIRE SYSTEMS	1623757077.3066	NA	0	NA	0	NA	NA	NA	2215	NA	0
10	5-INCH GUIDED PROJ	5-INCH GUIDED PROJ	109	NA	2017-06-23 10:33:36.2600000	CSIS\GSanders	NA	Ordnance and Missiles	45532866.85	2007	2014	Ordnance and Missiles	37454288.0000	ATK	37655147	NA	0	NA	0	NA	NA	NA	NA	NA	0
11	AEGIS	AEGIS	110	NA	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NA	Missile Defense	6554876948.1038	2006	2018	Missile Defense	987181267.4171	LOCKHEED MARTIN	5512741799.8851	Aegis Ballistic Missile Defense System	0	NA	0	NA	NA	1	NA	NA	0
12	ALCM	ALCM	111	NA	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NA	Ordnance and Missiles	19830809.5679	2006	2017	Ordnance and Missiles	8577391.0200	BOEING	11838273.6563		0	NA	0	NA	NA	NA	NA	NA	0
13	AN/TTC-39	AN/TTC-39	112	NA	2019-08-21 05:54:23.5300000	Automated from obligated amounts and standardizedname by GSanders@csis.org	NA	Electronics, Comms, & Sensors	207364.25	2006	2012	Electronics, Comms, & Sensors	124936.5000	NA	207364.25		0	NA	0	NA	NA	NA	NA	NA	0
14	CGN-38	CGN-38	114	NA	2017-06-23 10:33:36.2600000	CSIS\GSanders	NA	Aircraft	1101968.1992	2007	2014	Aircraft	465739.0625	AAR	465739.0625	NA	0	NA	0	NA	NA	NA	NA	NA	0
