CompetitionClassification,ClassifyNumberOfOffers,Competition.detail,Competition.sum,Competition.Graph,Competition.effective.only,Competition.multisum,No.Competition.sum,No.Competition.Offer,CompOffr
Competition with single offer,One Offer,1 Offer,1 Offer,TRUE,Not Effective Comp.,1 Offer,1 Offer,1 Offer,1 Offer
Competition with single offer (Overrode blank Fair Opportunity),One Offer,1 Offer,1 Offer,TRUE,Not Effective Comp.,1 Offer,1 Offer,1 Offer,1 Offer
Full Competition (Multiple Offers),100+ Offers,5+ Offers,3+ Offers,TRUE,Effective Comp.,2+ Offers,2+ Offers,5+ Offers,5+ Offers
Full Competition (Multiple Offers),10-24 Offers,5+ Offers,3+ Offers,TRUE,Effective Comp.,2+ Offers,2+ Offers,5+ Offers,5+ Offers
Full Competition (Multiple Offers),25-99 Offers,5+ Offers,3+ Offers,TRUE,Effective Comp.,2+ Offers,2+ Offers,5+ Offers,5+ Offers
Full Competition (Multiple Offers),3-4 Offers,3-4 Offers,3+ Offers,TRUE,Effective Comp.,2+ Offers,2+ Offers,2-4 Offers,2-4 Offers
Full Competition (Multiple Offers),5-9 Offers,5+ Offers,3+ Offers,TRUE,Effective Comp.,2+ Offers,2+ Offers,5+ Offers,5+ Offers
Full Competition (Multiple Offers),Two Offers,2 Offers,2 Offers,TRUE,Effective Comp.,2+ Offers,2+ Offers,2-4 Offers,2-4 Offers
Limited Competition with multiple offers,100+ Offers,5+ Offers,3+ Offers,TRUE,Effective Comp.,2+ Offers,2+ Offers,5+ Offers,5+ Offers
Limited Competition with multiple offers,10-24 Offers,5+ Offers,3+ Offers,TRUE,Effective Comp.,2+ Offers,2+ Offers,5+ Offers,5+ Offers
Limited Competition with multiple offers,25-99 Offers,5+ Offers,3+ Offers,TRUE,Effective Comp.,2+ Offers,2+ Offers,5+ Offers,5+ Offers
Limited Competition with multiple offers,3-4 Offers,3-4 Offers,3+ Offers,TRUE,Effective Comp.,2+ Offers,2+ Offers,2-4 Offers,2-4 Offers
Limited Competition with multiple offers,5-9 Offers,5+ Offers,3+ Offers,TRUE,Effective Comp.,2+ Offers,2+ Offers,5+ Offers,5+ Offers
Limited Competition with multiple offers,Two Offers,2 Offers,2 Offers,TRUE,Effective Comp.,2+ Offers,2+ Offers,2-4 Offers,2-4 Offers
Limited Competition with multiple offers (Overrode blank Fair Opportunity),100+ Offers,5+ Offers,3+ Offers,TRUE,Effective Comp.,2+ Offers,2+ Offers,5+ Offers,5+ Offers
Limited Competition with multiple offers (Overrode blank Fair Opportunity),10-24 Offers,5+ Offers,3+ Offers,TRUE,Effective Comp.,2+ Offers,2+ Offers,5+ Offers,5+ Offers
Limited Competition with multiple offers (Overrode blank Fair Opportunity),25-99 Offers,5+ Offers,3+ Offers,TRUE,Effective Comp.,2+ Offers,2+ Offers,5+ Offers,5+ Offers
Limited Competition with multiple offers (Overrode blank Fair Opportunity),3-4 Offers,3-4 Offers,3+ Offers,TRUE,Effective Comp.,2+ Offers,2+ Offers,2-4 Offers,2-4 Offers
Limited Competition with multiple offers (Overrode blank Fair Opportunity),5-9 Offers,5+ Offers,3+ Offers,TRUE,Effective Comp.,2+ Offers,2+ Offers,5+ Offers,5+ Offers
Limited Competition with multiple offers (Overrode blank Fair Opportunity),Two Offers,2 Offers,2 Offers,TRUE,Effective Comp.,2+ Offers,2+ Offers,2-4 Offers,2-4 Offers
Limited Competition with multiple offers (Overrode blank Extent Competed),100+ Offers,5+ Offers,3+ Offers,TRUE,Effective Comp.,2+ Offers,2+ Offers,5+ Offers,5+ Offers
No Competition (Follow on to competed action),No competition,Follow on to Competed Action,No Comp.,TRUE,Not Effective Comp.,No Comp.,Follow on to Competed Action,Follow on to Competed Action,No Comp.
No Competition (Follow on to competed action; Overrode blank Extent Competed),No competition,Follow on to Competed Action,No Comp.,TRUE,Unlabeled,No Comp.,Follow on to Competed Action,Follow on to Competed Action,No Comp.
No Competition (Follow on to competed action; Overrode blank Extent Competed),No competition; Overrode blank Extent Competed),Follow on to Competed Action,No Comp.,TRUE,Unlabeled,No Comp.,Follow on to Competed Action,Follow on to Competed Action,No Comp.
No Competition (Follow on to competed action; Overrode blank Fair Opportunity),No competition; Overrode blank Fair Opportunity),Follow on to Competed Action,No Comp.,TRUE,Unlabeled,No Comp.,Follow on to Competed Action,Follow on to Competed Action,No Comp.
No Competition (Only One Source Exception),No competition,No Comp. (Only 1 Source),No Comp.,TRUE,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),No Comp. (Only 1 Source),No Comp.
No Competition (Only One Source Exception; Overrode blank Fair Opportunity),No competition; Overrode blank Extent Competed),No Comp. (Only 1 Source),No Comp.,TRUE,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),No Comp. (Only 1 Source),No Comp.
No Competition (Only One Source Exception; Overrode blank Fair Opportunity),No competition; Overrode blank Fair Opportunity),No Comp. (Only 1 Source),No Comp.,TRUE,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),No Comp. (Only 1 Source),No Comp.
No Competition (Only One Source Exception; Overrode blank Extent Competed),No competition; Overrode blank Extent Competed),No Comp. (Only 1 Source),No Comp.,TRUE,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),No Comp. (Only 1 Source),No Comp.
No Competition (Other Exception),No competition,No Comp. (Other),No Comp.,TRUE,Not Effective Comp.,No Comp.,No Comp. (Other),No Comp. (Other),No Comp.
No Competition (Other Exception; Overrode blank Extent Competed),No competition; Overrode blank Extent Competed),No Comp. (Other),No Comp.,TRUE,Not Effective Comp.,No Comp.,No Comp. (Other),No Comp. (Other),No Comp.
No Competition (Unlabeled Exception),No competition,No Comp. (Unlabeled),No Comp.,TRUE,Not Effective Comp.,No Comp.,No Comp. (Unlabeled),No Comp. (Unlabeled),No Comp.
No Competition (Unlabeled Exception; Overrode blank Fair Opportunity),No competition; Overrode blank Extent Competed),No Comp. (Unlabeled),No Comp.,TRUE,Not Effective Comp.,No Comp.,No Comp. (Unlabeled),No Comp. (Unlabeled),No Comp.
No Competition (Unlabeled Exception; Overrode blank Fair Opportunity),No competition; Overrode blank Fair Opportunity),No Comp. (Unlabeled),No Comp.,TRUE,Not Effective Comp.,No Comp.,No Comp. (Unlabeled),No Comp. (Unlabeled),No Comp.
No Competition (Unlabeled Exception; Overrode blank Extent Competed),No competition; Overrode blank Extent Competed),No Comp. (Unlabeled),No Comp.,TRUE,Not Effective Comp.,No Comp.,No Comp. (Unlabeled),No Comp. (Unlabeled),No Comp.
No competition; Overrode blank Extent Competed),No competition; Overrode blank Extent Competed),Unlabeled,Unlabeled,TRUE,Unlabeled,Unlabeled,Unlabeled,Unlabeled,Unlabeled
No competition; Overrode blank Extent Competed),Unlabeled: No competition; multiple offers; Overrode blank Extent Competed),Unlabeled,Unlabeled,TRUE,Unlabeled,Unlabeled,Unlabeled,Unlabeled,Unlabeled
Unlabeled: Blank Extent Competed,Unlabeled: Blank Extent Competed,Unlabeled,Unlabeled,TRUE,Unlabeled,Unlabeled,Unlabeled,Unlabeled,Unlabeled
Unlabeled: Blank Fair Opportunity,Unlabeled: Blank Fair Opportunity,Unlabeled,Unlabeled,TRUE,Unlabeled,Unlabeled,Unlabeled,Unlabeled,Unlabeled
Unlabeled: Competition; Unlabeled Offers,Unlabeled,Unlabeled,Unlabeled,TRUE,Unlabeled,Unlabeled,Unlabeled,Unlabeled,Unlabeled
Unlabeled: Competition; Zero Offers,Unlabeled: Competition; Zero Offers,Unlabeled,Unlabeled,TRUE,Unlabeled,Unlabeled,Unlabeled,Unlabeled,Unlabeled
Unlabeled: No competition; multiple offers,Unlabeled: No competition; multiple offers,Unlabeled,Unlabeled,TRUE,Unlabeled,Unlabeled,Unlabeled,Unlabeled,Unlabeled
