TypeOfContractPricing,TypeOfContractPricingText,TypeOfContractPricing3Category,TypeOfContractPricing5Category,IsCostBased,IsFixedPrice,IsCombination,IsLabeled,IsFFPorNoFee,IsFixedFee,IsAwardFee,IsIncentive,IsOtherFee,FeeType,PricingFee,PricingInflation,Pricing.sum
 ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Crosscutting
*,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Crosscutting
0,Unused type,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Crosscutting
1,Order Dependent (IDV only),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Crosscutting
2,Combination (two or more),Combination or Other,Combination or Other,NULL,NULL,1,1,NULL,NULL,NULL,NULL,NULL,Combination,Combination or Other,All Other,Crosscutting
3,Other (none of the above),Combination or Other,Combination or Other,0,0,NULL,1,0,0,0,0,1,Other,Combination or Other,All Other,Crosscutting
A,Fixed Price Redetermination,Fixed-Price,Other FP,0,1,NULL,1,0,0,0,0,1,Other,Other FP,All Other,Fixed-Price
B,Fixed Price Level of Effort,Cost-Based,T&M/LH/FPLOE,1,0,NULL,1,0,0,0,0,1,Other,T&M/LH/FPLOE,All Other,Cost or Effort-Based
J,Firm Fixed Price,Fixed-Price,FFP,0,1,NULL,1,1,0,0,0,0,Firm-Fixed-Price / No Fee,FFP,FFP,Fixed-Price
K,Fixed Price with Economic Price Adjustment,Fixed-Price,Other FP,0,1,NULL,1,0,0,0,0,1,Other,FP-Econ. Price Adj.,FP-Econ. Price Adj.,Fixed-Price
L,Fixed Price Incentive,Fixed-Price,Other FP,0,1,NULL,1,0,0,0,1,0,Incentive,FP-Incentive,FP-Incentive,Incentive
M,Fixed Price Award Fee,Fixed-Price,Other FP,0,1,NULL,1,0,0,1,0,0,Award,Other FP,All Other,Fixed-Price
NO,Not Reported,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Crosscutting
O,Unused type,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Crosscutting
P,Unused type,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Crosscutting
R,Cost Plus Award Fee,Cost-Based,Cost-Based,1,0,NULL,1,0,0,1,0,0,Award,Other CB,Cost-Based,Cost or Effort-Based
S,Cost No Fee,Cost-Based,Cost-Based,1,0,NULL,1,1,0,0,0,0,Firm-Fixed-Price / No Fee,Other CB,Cost-Based,Cost or Effort-Based
T,Cost Sharing,Cost-Based,Cost-Based,1,0,NULL,1,0,0,0,1,0,Incentive,CB-Incentive,Cost-Based,Incentive
U,Cost Plus Fixed Fee,Cost-Based,Cost-Based,1,0,NULL,1,0,1,0,0,0,Fixed Fee,Other CB,Cost-Based,Cost or Effort-Based
V,Cost Plus Incentive,Cost-Based,Cost-Based,1,0,NULL,1,0,0,0,1,0,Incentive,CB-Incentive,Cost-Based,Incentive
X,Unused type,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Crosscutting
Y,Time and Materials,Cost-Based,T&M/LH/FPLOE,1,0,NULL,1,0,0,0,0,1,Other,T&M/LH/FPLOE,All Other,Cost or Effort-Based
Z,Labor Hours,Cost-Based,T&M/LH/FPLOE,1,0,NULL,1,0,0,0,0,1,Other,T&M/LH/FPLOE,All Other,Cost or Effort-Based
