vendorcountrycode	MaxOfNewFKrecipient_country_name	unmatched_name_count	PKCountry3LetterCode	SKCountry3LetterCodeText	any_name_match	PrimaryKeyTable	SecondaryKeyTable
ABW	ARUBA	1	ABW	ARUBA [NETHERLANDS]	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
AIA	ANGUILLA	1	AIA	ANGUILLA [UNITED KINGDOM]	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
ATA	ANTARCTICA	1	NULL	NULL	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
BHS	"BAHAMAS, THE"	2	BHS	"BAHAMAS,THE"	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
BMU	BERMUDA	1	BMU	BERMUDA [UNITED KINGDOM]	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
CAF	CENTRAL AFRICAN REPUBLIC	1	NULL	NULL	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
CIV	COTE D'IVOIRE	1	CIV	COTE DIVOIRE	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
COD	CONGO (KINSHASA)	1	COD	"CONGO,DEMOCRATIC REPUBLIC OF THE (KINSHASA)"	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
COG	CONGO (BRAZZAVILLE)	1	COG	"CONGO,REPUBLIC OF THE (BRAZZAVILLE)"	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
CPV	CABO VERDE	1	CPV	CAPE VERDE	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
CUB	CUBA	1	NULL	NULL	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
CUW	CURACAO	1	CUW	Curaçao	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
CYM	CAYMAN ISLANDS	1	NULL	NULL	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
ERI	ERITREA	1	NULL	NULL	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
FLK	FALKLAND ISLANDS (ISLAS MALVINAS)	1	NULL	NULL	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
GBR	UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN	1	GBR	UNITED KINGDOM	1	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
GIB	GIBRALTAR	1	GIB	GIBRALTAR [UNITED KINGDOM]	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
GMB	"GAMBIA, THE"	2	GMB	"GAMBIA,THE"	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
GNQ	EQUATORIAL GUINEA	1	NULL	NULL	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
GRL	GREENLAND	1	GRL	GREENLAND [DENMARK]	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
IMN	ISLE OF MAN	1	IMN	"MAN,ISLE OF"	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
IRN	IRAN	1	NULL	NULL	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
KIR	KIRIBATI	1	NULL	NULL	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
KOR	"KOREA, SOUTH"	2	KOR	SOUTH KOREA	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
LBY	LIBYA	1	NULL	NULL	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
LCA	SAINT LUCIA	1	NULL	NULL	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
MAC	MACAU	1	NULL	NULL	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
MCO	MONACO	1	NULL	NULL	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
MMR	BURMA	1	MMR	BURMA (MYANMAR)	1	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
MSR	MONTSERRAT	1	NULL	NULL	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
NCL	NEW CALEDONIA	1	NCL	NEW CALEDONIA [FRANCE]	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
RUS	RUSSIAN FEDERATION	1	RUS	RUSSIA	1	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
SPM	SAINT PIERRE AND MIQUELON	1	NULL	NULL	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
SSD	SOUTH SUDAN	1	SSD	REPUBLIC OF SOUTH SUDAN	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
SUR	SURINAME	1	NULL	NULL	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
TCA	TURKS AND CAICOS ISLANDS	1	TCA	TURKS AND CAICOS ISLANDS [UNITED KINGDOM]	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
TKL	TOKELAU	1	NULL	NULL	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
TKM	TURKMENISTAN	1	NULL	NULL	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
TUV	TUVALU	1	NULL	NULL	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
TWN	"TAIWAN, PROVINCE OF CHINA"	1	TWN	Taiwan	1	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
USA	UNITED STATES OF AMERICA	1	USA	UNITED STATES	1	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
VCT	SAINT VINCENT AND THE GRENADINES	1	NULL	NULL	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
VGB	"VIRGIN ISLANDS, BRITISH"	2	VGB	BRITISH VIRGIN ISLANDS [UNITED KINGDOM]	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
ZZZ	NONDISTRIBUTED	1	NULL	NULL	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
							
							
							
Warning: Null value is eliminated by an aggregate or other SET operation.							
fundingrequestingagencyid	fundingrequestingofficeid	MaxOfNewFKfunding_office_name	unmatched_name_count	PKOfficeName	any_name_match	PrimaryKeyTable	
1027	101374	US PROBATION OFFICE	1	1ST CIRCUIT COURT OF APPEALS	1	Office.OfficeID	
1027	105503	U.S. DISTRICT COURTS	1	6TH CIRCUIT COURT OF APPEALS	1	Office.OfficeID	
1027	107103	"US DISTRICT COURT, AR"	1	US DISTRICT COURT	1	Office.OfficeID	
1100	113164	EOP-OFC OF SCIENCE&TECH POLICY	1	EOP-OFC OF SCIENCE  TECH POLICY	1	Office.OfficeID	
1200	032K	DO NOT USE	1	ANIMAL PLANT HEALTH INSPECTION SERVICE	0	Office.OfficeID	
1205	123144	"USDA, OCP/POD ACQ MGMT BRANCH FTC"	1	"USDA, OCP-POD-ACQ-MGMT-BRANCH-FTC"	1	Office.OfficeID	
1205	1264WC	"USDA, OCIO/DISC-RMD RESRC SUPT SVCS"	1	"USDA, OCIO-NITC-RMD RESRC SUPT SVC"	1	Office.OfficeID	
12A4	1212A4	"USDA, OFF OF HOMELAND SECURITY EMER"	1	"USDA, OFC OF HOMELAND SECURITY"	1	Office.OfficeID	
12A9	1212A9	"USDA, NATIONAL APPEALS DIVISION"	1	"USDA, OFC OF HEARINGS&APPEALS"	1	Office.OfficeID	
12B0	1212B0	"USDA, ASST SEC OF DEPT MGMT"	1	"USDA, ASST SEC FOR DEPTMENTAL ADMIN"	0	Office.OfficeID	
12B0	3142	"USDA, OPPM PROCUREMENT OPERATIONS DIVISION"	1	"USDA, DM/MS PROCUREMENT OPERATIONS DIVISION"	0	Office.OfficeID	
12B3	1212B3	"USDA, OFF PROCUREMENT PROPERTY MGMT"	1	USDA OFC CONTRACTING&PROCUREMENT	1	Office.OfficeID	
