"","SourceVariableName","SourceVariableType","SourceNullable","IsEmpty","UnmatchedPostgres","IsDroppedNameField","Pair","SourcePairName","CSISvariableName","CSISvariableType","CSISnullable"
"1","[detached_award_procurement_id]","[int]","NULL",NA,NA,NA,"",NA,NA,NA,NA
"8","[additional_reporting]","[varchar](92)","NULL",NA,TRUE,NA,"",NA,NA,NA,NA
"24","[business_categories]","[varchar](1000)","NULL",NA,TRUE,NA,"",NA,NA,NA,NA
"52","[created_at]","[datetime2](7)","NULL",NA,TRUE,NA,"",NA,NA,NA,NA
"115","[legal_entity_zip5]","[varchar](5)","NULL",NA,TRUE,NA,"",NA,NA,NA,NA
"151","[place_of_perform_country_n]","[varchar](255)","NULL",TRUE,TRUE,NA,"",NA,NA,NA,NA
"154","[place_of_perform_state_nam]","[varchar](255)","NULL",TRUE,TRUE,NA,"",NA,NA,NA,NA
"160","[place_of_performance_zip5]","[varchar](5)","NULL",NA,NA,NA,"",NA,NA,NA,NA
"168","[pulled_from]","[varchar](255)","NULL",NA,TRUE,NA,"",NA,NA,NA,NA
"175","[referenced_idv_agency_name]","[varchar](255)","NULL",TRUE,TRUE,NA,"",NA,NA,NA,NA
"206","[updated_at]","[datetime2](7)","NULL",NA,TRUE,NA,"",NA,NA,NA,NA
"210","[vendor_enabled]","[varchar](255)","NULL",TRUE,TRUE,NA,"",NA,NA,NA,NA
"213","[vendor_location_disabled_f]","[varchar](255)","NULL",TRUE,NA,NA,"",NA,NA,NA,NA
"289","[foreign_owned_and_located]","[bit]","NULL",NA,TRUE,NA,"",NA,NA,NA,NA
"305","[entity_data_source]","[varchar](3)","NULL",NA,TRUE,NA,"",NA,NA,NA,NA
