"SourceVariableName","Pair","IsDroppedNameField"
"[government_furnished_property]","[gfe_gfp_code]",NA
"[parent_award_agency_name]","[idvagencyid]",NA
"[awarding_sub_agency_name]","[contractingofficeagencyid]",NA
"[awarding_office_name]","[contractingofficeid]",NA
"[funding_agency_name]","[maj_fund_agency_cat]",NA
"[funding_sub_agency_name]","[fundingrequestingagencyid]",NA
"[funding_office_name]","[fundingrequestingofficeid]",NA
"[recipient_country_name]","[vendorcountrycode]",NA
"[recipient_state_name]","[vendor_state_code]",NA
"[primary_place_of_performance_country_name]","[placeofperformancecountrycode]",NA
"[primary_place_of_performance_state_name]","[pop_state_code]",NA
"[multiple_or_single_award_idv]","[multipleorsingleawardidc]",NA
"[type_of_idc]","[typeofidc]",NA
"[type_of_contract_pricing]","[typeofcontractpricing]",NA
"[action_type]","[reasonformodification]",NA
"[product_or_service_code_description]","[productorservicecode]",NA
"[contract_bundling]","[contractbundling]",NA
"[dod_claimant_program_description]","[claimantprogramcode]",NA
"[naics_description]","[principalnaicscode]",NA
"[recovered_materials_sustainability]","[recoveredmaterialclauses]",NA
"[domestic_or_foreign_entity]","[manufacturingorganizationtype]",NA
"[information_technology_commercial_item_category]","[informationtechnologycommercialitemcategory]",NA
"[epa_designated_product]","[useofepadesignatedproducts]",NA
"[country_of_product_or_service_origin]","[countryoforigin]",NA
"[place_of_manufacture]","[placeofmanufacture]",NA
"[subcontracting_plan]","[subcontractplan]",NA
"[extent_competed]","[extentcompeted]",NA
"[solicitation_procedures]","[solicitationprocedures]",NA
"[type_of_set_aside]","[typeofsetaside]",NA
"[evaluated_preference]","[evaluatedpreference]",NA
"[fair_opportunity_limited_sources]","[statutoryexceptiontofairopportunity]",NA
"[other_than_full_and_open_competition]","[reasonnotcompeted]",NA
"[commercial_item_acquisition_procedures]","[commercialitemacquisitionprocedures]",NA
"[a76_fair_act_action]","[a76action]",NA
"[fed_biz_opps]","[fedbizopps]",NA
"[local_area_set_aside]","[localareasetaside]",NA
"[clinger_cohen_act_planning]","[clingercohenact]",NA
"[materials_supplies_articles_equipment]","[walshhealyact]",NA
"[labor_standards]","[servicecontractact]",NA
"[construction_wage_rate_requirements]","[davisbaconact]",NA
"[interagency_contracting_authority]","[interagencycontractingauthority]",NA
"[national_interest_action]","[nationalinterestactioncode]",NA
"[cost_or_pricing_data]","[costorpricingdata]",NA
"[cost_accounting_standards_clause]","[costaccountingstandardsclause]",NA
"[sea_transportation]","[seatransportation]",NA
"[undefinitized_action]","[lettercontract]",NA
"[consolidated_contract]","[consolidatedcontract]",NA
"[performance_based_service_acquisition]","[performancebasedservicecontract]",NA
"[multi_year_contract]","[multiyearcontract]",NA
"[contract_financing]","[contractfinancing]",NA
"[purchase_card_as_payment_method]","[purchasecardaspaymentmethod]",NA
"[contingency_humanitarian_or_peacekeeping_operation]","[contingencyhumanitarianpeacekeepingoperation]",NA
"[contracting_officers_determination_of_business_size]","[contractingofficerbusinesssizedetermination]",NA
"[sam_exception_description]","[ccrexception]",NA
"[foreign_funding_description]","[fundedbyforeignentity]",NA
