vendorcountrycode	MaxOfNewFKrecipient_country_name	unmatched_name_count	PKCountry3LetterCode	SKCountry3LetterCodeText	any_name_match	PrimaryKeyTable	SecondaryKeyTable
ABW	ARUBA	1	ABW	ARUBA [NETHERLANDS]	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
AIA	ANGUILLA	1	AIA	ANGUILLA [UNITED KINGDOM]	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
ATA	ANTARCTICA	1	NULL	NULL	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
BHS	BAHAMAS, THE	2	BHS	BAHAMAS,THE	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
BMU	BERMUDA	1	BMU	BERMUDA [UNITED KINGDOM]	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
CAF	CENTRAL AFRICAN REPUBLIC	1	NULL	NULL	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
CIV	COTE D'IVOIRE	1	CIV	COTE DIVOIRE	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
COD	CONGO (KINSHASA)	1	COD	CONGO,DEMOCRATIC REPUBLIC OF THE (KINSHASA)	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
COG	CONGO (BRAZZAVILLE)	1	COG	CONGO,REPUBLIC OF THE (BRAZZAVILLE)	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
CPV	CABO VERDE	1	CPV	CAPE VERDE	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
CUB	CUBA	1	NULL	NULL	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
CUW	CURACAO	1	CUW	Curaçao	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
CYM	CAYMAN ISLANDS	1	NULL	NULL	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
ERI	ERITREA	1	NULL	NULL	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
FLK	FALKLAND ISLANDS (ISLAS MALVINAS)	1	NULL	NULL	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
GBR	UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN	1	GBR	UNITED KINGDOM	1	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
GIB	GIBRALTAR	1	GIB	GIBRALTAR [UNITED KINGDOM]	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
GMB	GAMBIA, THE	2	GMB	GAMBIA,THE	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
GNQ	EQUATORIAL GUINEA	1	NULL	NULL	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
GRL	GREENLAND	1	GRL	GREENLAND [DENMARK]	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
IMN	ISLE OF MAN	1	IMN	MAN,ISLE OF	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
IRN	IRAN	1	NULL	NULL	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
KIR	KIRIBATI	1	NULL	NULL	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
KOR	KOREA, SOUTH	2	KOR	SOUTH KOREA	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
LBY	LIBYA	1	NULL	NULL	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
LCA	SAINT LUCIA	1	NULL	NULL	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
MAC	MACAU	1	NULL	NULL	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
MCO	MONACO	1	NULL	NULL	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
MMR	BURMA	1	MMR	BURMA (MYANMAR)	1	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
MSR	MONTSERRAT	1	NULL	NULL	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
NCL	NEW CALEDONIA	1	NCL	NEW CALEDONIA [FRANCE]	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
RUS	RUSSIAN FEDERATION	1	RUS	RUSSIA	1	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
SPM	SAINT PIERRE AND MIQUELON	1	NULL	NULL	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
SSD	SOUTH SUDAN	1	SSD	REPUBLIC OF SOUTH SUDAN	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
SUR	SURINAME	1	NULL	NULL	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
TCA	TURKS AND CAICOS ISLANDS	1	TCA	TURKS AND CAICOS ISLANDS [UNITED KINGDOM]	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
TKL	TOKELAU	1	NULL	NULL	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
TKM	TURKMENISTAN	1	NULL	NULL	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
TUV	TUVALU	1	NULL	NULL	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
TWN	TAIWAN, PROVINCE OF CHINA	1	TWN	Taiwan	1	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
USA	UNITED STATES OF AMERICA	1	USA	UNITED STATES	1	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
VCT	SAINT VINCENT AND THE GRENADINES	1	NULL	NULL	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
VGB	VIRGIN ISLANDS, BRITISH	2	VGB	BRITISH VIRGIN ISLANDS [UNITED KINGDOM]	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
ZZZ	NONDISTRIBUTED	1	NULL	NULL	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode



Warning: Null value is eliminated by an aggregate or other SET operation.
systemequipmentcode	MaxOfNewFKdod_acquisition_program_description	unmatched_name_count	PKAgencyIDtext	any_name_match	PrimaryKeyTable
101	H-1 UPGRADES	1	H-1 UPGRADE 	1	FPDSTypeTable.AgencyID
121	EPS	1	APS 	0	FPDSTypeTable.AgencyID
148	PAC-3	1	PATRIOT PAC-3 	1	FPDSTypeTable.AgencyID
176	NSSL	1	EELV 	1	FPDSTypeTable.AgencyID
178	NSSL	1	TRIDENT II MISSILE 	1	FPDSTypeTable.AgencyID
183	C-27J	1	FCA 	1	FPDSTypeTable.AgencyID
197	DDG 1000	1	DD(X) 	1	FPDSTypeTable.AgencyID
202	AH-64E REMANUFACTURE	1	LONGBOW APACHE BLK III 	1	FPDSTypeTable.AgencyID
212	V-22	1	V22 	1	FPDSTypeTable.AgencyID
220	C-130J	1	C130-J 	1	FPDSTypeTable.AgencyID
223	CVN 78	1	CVN 21 	1	FPDSTypeTable.AgencyID
224	B-2 EHF INC 1	1	B-2 EHF 	1	FPDSTypeTable.AgencyID
252	RQ-4A/B GLOBAL HAWK	1	GLOBAL HAWK 	1	FPDSTypeTable.AgencyID
253	MQ-8 FIRE SCOUT	1	VTUAV	0	FPDSTypeTable.AgencyID
257	HC/MC-130 RECAP	1	NCES 	1	FPDSTypeTable.AgencyID
260	GMLRS/GMLRS AW	1	GMLRS 	1	FPDSTypeTable.AgencyID
265	F-22	1	F/A-22 	1	FPDSTypeTable.AgencyID
277	AWACS BLK 40/45 UPGRADE	1	AWACS UPGRADE	0	FPDSTypeTable.AgencyID
279	JLTV	1	FSCS 	1	FPDSTypeTable.AgencyID
284	JTN	1	JTRS WAVEFORM 	1	FPDSTypeTable.AgencyID
289	TACTOM	1	TACTICAL TOMAHAWK 	1	FPDSTypeTable.AgencyID
299	STRYKER	1	STRYKER (IAV) 	1	FPDSTypeTable.AgencyID
326	WGS	1	WIDEBAND GAPFILLER 	1	FPDSTypeTable.AgencyID
333	LHA 6	1	LHA ( R ) 	1	FPDSTypeTable.AgencyID
334	P-8A	1	MMA 	1	FPDSTypeTable.AgencyID
335	MLP	2	MPF 	1	FPDSTypeTable.AgencyID
341	UH-60M BLACK HAWK	1	BLACK HAWK UPGRADE (UH-60M) 	1	FPDSTypeTable.AgencyID
349	WIN-T INC 2	1	GCSS-AF 	1	FPDSTypeTable.AgencyID
350	WIN-T INC 3	1	GCSS-AF 	1	FPDSTypeTable.AgencyID
355	JAGM	1	GCSS DOD 	1	FPDSTypeTable.AgencyID
364	E-2D AHE	1	E-2C ADVANCED HAWKEYE 	1	FPDSTypeTable.AgencyID
373	MQ-4C TRITON	1	BAMS 	1	FPDSTypeTable.AgencyID
385	HMS	1	JTRS CLUSTER 5 	0	FPDSTypeTable.AgencyID
386	G/ATOR	1	ADS 	1	FPDSTypeTable.AgencyID
387	KC-46A	1	KC-45A	0	FPDSTypeTable.AgencyID
389	DCGS-A INC 1	1	DCGS ARMY 	1	FPDSTypeTable.AgencyID
390	CH-53K	1	HLR 	1	FPDSTypeTable.AgencyID
429	VH-92A	1	VXX	0	FPDSTypeTable.AgencyID
431	B-2 BDM	1	B-2 DMS-M	1	FPDSTypeTable.AgencyID
442	AIM-9X BLK II	1	AIM-9X BLOCK II	0	FPDSTypeTable.AgencyID
515	EFV	1	EFV (AAAV) 	1	FPDSTypeTable.AgencyID
521	JOMIS	1	Joint Operational Medicine Information Systems (OMIS)	0	FPDSTypeTable.AgencyID
531	PATRIOT/MEADS CAP	1	PATRIOT/MEADS 	0	FPDSTypeTable.AgencyID
554	MIDS	1	MIDS-LVT 	1	FPDSTypeTable.AgencyID
562	MH-139A	1	UH-1N REPLACEMENT	1	FPDSTypeTable.AgencyID
606	FFG(X)	1	FFG(X) Guided Missile Frigate	0	FPDSTypeTable.AgencyID
724	TMC	1	MCS (ATCCS) 	1	FPDSTypeTable.AgencyID
AFX	F-18 HORNET	1	****AFX	0	FPDSTypeTable.AgencyID
CAA	MDA SUPPORT	1	MISSILE DEFENSE AGENCY SUPPORT	1	FPDSTypeTable.AgencyID
DAD	TRUCKS < 1T	1	TRUCKS &lt; 1T	1	FPDSTypeTable.AgencyID
GHL	AIRBORNE RECON LOW (ARL)	1	ARL	1	FPDSTypeTable.AgencyID
M07	TMIP-J INC 2	1	TMIP	1	FPDSTypeTable.AgencyID
M15	RCAS	1	DMS	1	FPDSTypeTable.AgencyID
N03	GCCS-A BLK 4	1	GCCS-A	1	FPDSTypeTable.AgencyID
N12	GCSS-MC LCM INC 1	1	GCSS-MC	0	FPDSTypeTable.AgencyID
N16	BEC INC 1	1	BIOMETRICS	0	FPDSTypeTable.AgencyID
N26	KMI INC 2	1	KMI	1	FPDSTypeTable.AgencyID
N87	DEAMS	1	DEAMS INC 1	1	FPDSTypeTable.AgencyID
ZBL	PERFORMANCE BASED LOGISTICS(PBL)	1	PERFORMANCE BASED LOGISTICS (PBL)	1	FPDSTypeTable.AgencyID
Warning: Null value is eliminated by an aggregate or other SET operation.



idvagencyid	MaxOfNewFKparent_award_agency_name	unmatched_name_count	PKAgencyIDtext	any_name_match	PrimaryKeyTable
1200	DEPARTMENT OF AGRICULTURE	1	AGRICULTURE, DEPARTMENT OF	1	FPDSTypeTable.AgencyID
1204	OFFICE OF THE INSPECTOR GENERAL	1	OFFICE OF INSPECTOR GENERAL	1	FPDSTypeTable.AgencyID
1205	USDA, DEPARTMENTAL ADMINISTRATION	2	USDA, OFFICE OF THE CHIEF FINANCIAL OFFICER	1	FPDSTypeTable.AgencyID
1215	OFFICE OF OPERATIONS	1	USDA, OFFICE OF OPERATIONS	1	FPDSTypeTable.AgencyID
1220	OFFICE OF SAFETY, SECURITY AND PROTECTION (OSSP)	1	AGRICULTURAL STABILIZATION AND CONSERVATION SERVICE	1	FPDSTypeTable.AgencyID
12A7	OFFICE OF THE CHIEF INFORMATION OFFICER	1	USDA, OFFICE OF THE CHIEF INFORMATION OFFICER	0	FPDSTypeTable.AgencyID
12B0	ASSISTANT SECRETARY FOR DEPARTMENTAL MANAGEMENT	1	USDA, ASSISTANT SECRETARY FOR DEPARTMENTAL MANAGEMENT	1	FPDSTypeTable.AgencyID
12D0	FARM PRODUCTION AND CONSERVATION BUSINESS CENTER	1	UNDER SECRETARY FOR FARM AND FOREIGN AGRICULTURAL SERVICES	0	FPDSTypeTable.AgencyID
1300	DEPARTMENT OF COMMERCE	1	COMMERCE, DEPARTMENT OF	0	FPDSTypeTable.AgencyID
1323	US CENSUS BUREAU	2	BUREAU OF THE CENSUS	0	FPDSTypeTable.AgencyID
1344	US PATENT AND TRADEMARK OFFICE	2	PATENT AND TRADEMARK OFFICE	0	FPDSTypeTable.AgencyID
